NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22223]	2657	1.0535759925842285	-0.060588587	No	
row_1	C8orf33	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]	2696	1.0428699254989624	-0.053595122	No	
row_2	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]	3266	0.9037272930145264	-0.061384533	No	
row_3	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	3535	0.8461313843727112	-0.06183783	No	
row_4	GJC1	gap junction protein gamma 1 [Source:HGNC Symbol;Acc:HGNC:4280]	3705	0.8104419708251953	-0.060006317	No	
row_5	MORF4	mortality factor 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15773]	4334	0.6957641243934631	-0.07091042	No	
row_6	PCDH17	protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]	4708	0.6395120620727539	-0.07565657	No	
row_7	UBFD1	ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]	5329	0.5957320928573608	-0.08711897	No	
row_8	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	5798	0.5419523119926453	-0.09506559	No	
row_9	SUPT7L	SPT7 like, STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632]	7640	0.511985182762146	-0.13871394	No	
row_10	ZNF587	zinc finger protein 587 [Source:HGNC Symbol;Acc:HGNC:30955]	10905	0.2209627628326416	-0.22135216	No	
row_11	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	11380	0.17999738454818726	-0.23222181	No	
