NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2	4.569709300994873	0.017067382	Yes	
row_1	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15	4.247020244598389	0.032667134	Yes	
row_2	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	18	4.212600231170654	0.048396707	Yes	
row_3	FAM83B	family with sequence similarity 83 member B [Source:HGNC Symbol;Acc:HGNC:21357]	28	3.9998743534088135	0.06314823	Yes	
row_4	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	48	3.8840267658233643	0.07720699	Yes	
row_5	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	49	3.8745083808898926	0.09172175	Yes	
row_6	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	73	3.628873825073242	0.104721144	Yes	
row_7	TCIM	transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]	76	3.6152074337005615	0.11821275	Yes	
row_8	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.13120535	Yes	
row_9	NUAK2	NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]	93	3.5577328205108643	0.14453341	Yes	
row_10	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	94	3.5525357723236084	0.15784198	Yes	
row_11	IFNL1	interferon lambda 1 [Source:HGNC Symbol;Acc:HGNC:18363]	118	3.319201946258545	0.16968128	Yes	
row_12	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	129	3.259359836578369	0.1816328	Yes	
row_13	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	134	3.228365182876587	0.19362345	Yes	
row_14	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	137	3.1948530673980713	0.20554033	Yes	
row_15	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	140	3.1854522228240967	0.21742198	Yes	
row_16	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	187	3.1277434825897217	0.22794886	Yes	
row_17	ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	205	3.0216147899627686	0.2388286	Yes	
row_18	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	206	3.0101065635681152	0.2501051	Yes	
row_19	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	209	3.0025007724761963	0.2613014	Yes	
row_20	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	262	2.800832509994507	0.27044836	Yes	
row_21	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	268	2.784642457962036	0.28075084	Yes	
row_22	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	282	2.7411341667175293	0.29068333	Yes	
row_23	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	283	2.7365469932556152	0.30093503	Yes	
row_24	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	285	2.729170083999634	0.31113324	Yes	
row_25	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	290	2.6993610858917236	0.32114214	Yes	
row_26	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	300	2.6715712547302246	0.33091754	Yes	
row_27	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	308	2.651500701904297	0.3406695	Yes	
row_28	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	348	2.547271251678467	0.34920296	Yes	
row_29	GRHL3	grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]	357	2.510376453399658	0.35840037	Yes	
row_30	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	360	2.5012478828430176	0.36771885	Yes	
row_31	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	367	2.481452465057373	0.37685964	Yes	
row_32	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	371	2.4632606506347656	0.38600993	Yes	
row_33	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	413	2.41987943649292	0.3940144	Yes	
row_34	TMEM265	transmembrane protein 265 [Source:HGNC Symbol;Acc:HGNC:51241]	511	2.326512575149536	0.40021998	Yes	
row_35	TRIM15	tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284]	525	2.326512575149536	0.40859923	Yes	
