NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.018621992	Yes	
row_1	FAM83B	family with sequence similarity 83 member B [Source:HGNC Symbol;Acc:HGNC:21357]	28	3.9998743534088135	0.037872013	Yes	
row_2	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.053431347	Yes	
row_3	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	140	3.1854522228240967	0.06754542	Yes	
row_4	KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	186	3.1313068866729736	0.08145066	Yes	
row_5	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	188	3.119262933731079	0.096436724	Yes	
row_6	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	209	3.0025007724761963	0.11036911	Yes	
row_7	MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	214	2.9848029613494873	0.124630414	Yes	
row_8	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	244	2.9105985164642334	0.13788757	Yes	
row_9	STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	249	2.874448299407959	0.15161778	Yes	
row_10	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	265	2.7910826206207275	0.16466208	Yes	
row_11	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	268	2.784642457962036	0.17801185	Yes	
row_12	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	282	2.7411341667175293	0.19086753	Yes	
row_13	VGLL3	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	296	2.675586223602295	0.20340775	Yes	
row_14	MYPN	myopalladin [Source:HGNC Symbol;Acc:HGNC:23246]	299	2.6737759113311768	0.21622396	Yes	
row_15	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	337	2.5601651668548584	0.22758755	Yes	
row_16	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	367	2.481452465057373	0.23877937	Yes	
row_17	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	413	2.41987943649292	0.24926077	Yes	
row_18	COBL	cordon-bleu WH2 repeat protein [Source:HGNC Symbol;Acc:HGNC:22199]	441	2.351759672164917	0.2598802	Yes	
row_19	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	443	2.3495006561279297	0.27116165	Yes	
row_20	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	444	2.3494842052459717	0.28246891	Yes	
row_21	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	713	2.21952748298645	0.28621456	Yes	
row_22	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	714	2.2152957916259766	0.296876	Yes	
row_23	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	732	2.176605701446533	0.3069113	Yes	
row_24	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	743	2.161039113998413	0.3170528	Yes	
row_25	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	787	2.089948892593384	0.32599813	Yes	
row_26	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	788	2.0862722396850586	0.33603865	Yes	
row_27	MAFK	MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]	840	1.9979701042175293	0.34433424	Yes	
row_28	WWC1	WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]	861	1.9781092405319214	0.35333657	Yes	
row_29	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	878	1.961810827255249	0.362364	Yes	
row_30	SERTAD2	SERTA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30784]	945	1.9057918787002563	0.36982775	Yes	
row_31	METRNL	meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]	971	1.8748067617416382	0.37820354	Yes	
row_32	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1005	1.8441689014434814	0.3862248	Yes	
row_33	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	1016	1.8285263776779175	0.39476606	Yes	
row_34	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	1090	1.7559995651245117	0.40132776	Yes	
row_35	KLF13	Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]	1093	1.7546851634979248	0.4097207	Yes	
row_36	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1252	1.6751658916473389	0.41369346	Yes	
row_37	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1262	1.6711091995239258	0.42150298	Yes	
row_38	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1315	1.6369050741195679	0.42803502	Yes	
row_39	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	1355	1.6018553972244263	0.43473485	Yes	
row_40	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	1371	1.5871020555496216	0.4419848	Yes	
row_41	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1434	1.5419299602508545	0.44780093	Yes	
row_42	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1552	1.5181673765182495	0.45207927	Yes	
row_43	ARHGAP42	Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:HGNC:26545]	1558	1.5136568546295166	0.45923457	Yes	
row_44	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	1559	1.5132931470870972	0.4665175	Yes	
row_45	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	1593	1.4918872117996216	0.47284338	Yes	
row_46	HIVEP2	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]	1650	1.4519480466842651	0.47838175	Yes	
row_47	GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	1715	1.422715663909912	0.4835724	Yes	
row_48	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]	1786	1.3918960094451904	0.48845944	Yes	
row_49	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1806	1.3801733255386353	0.49460998	Yes	
row_50	ADGRF4	adhesion G protein-coupled receptor F4 [Source:HGNC Symbol;Acc:HGNC:19011]	1812	1.378143072128296	0.5011131	Yes	
row_51	DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	1839	1.3652461767196655	0.50701064	Yes	
row_52	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1864	1.347725510597229	0.5128757	Yes	
row_53	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	1953	1.2923959493637085	0.5168179	Yes	
row_54	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	1985	1.2767269611358643	0.5221601	Yes	
row_55	CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	2021	1.25799560546875	0.5273085	Yes	
row_56	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	2151	1.2237989902496338	0.5298596	Yes	
row_57	ZC3H12C	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]	2162	1.2182539701461792	0.5354638	Yes	
row_58	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	2197	1.2028003931045532	0.5403725	Yes	
row_59	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2231	1.196176290512085	0.5452752	Yes	
row_60	KLF16	Kruppel like factor 16 [Source:HGNC Symbol;Acc:HGNC:16857]	2309	1.1698338985443115	0.54891235	Yes	
row_61	OTUD1	OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]	2330	1.1600792407989502	0.5539778	Yes	
row_62	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	2444	1.111104965209961	0.5564006	Yes	
row_63	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2462	1.1020448207855225	0.5612644	Yes	
row_64	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	2592	1.0717406272888184	0.5630836	Yes	
row_65	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	2593	1.071352243423462	0.5682397	Yes	
