NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_FEEDER_PATHWAY	9		Rejected!	
BIOCARTA_PROTEASOME_PATHWAY	19	19		
BIOCARTA_KREB_PATHWAY	8		Rejected!	
ST_INTERFERON_GAMMA_PATHWAY	10		Rejected!	
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20	20		
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47	47		
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29	29		
ST_ERK1_ERK2_MAPK_PATHWAY	32	32		
ST_GA12_PATHWAY	23	23		
ST_G_ALPHA_S_PATHWAY	16	16		
ST_G_ALPHA_I_PATHWAY	36	36		
ST_IL_13_PATHWAY	7		Rejected!	
ST_P38_MAPK_PATHWAY	37	37		
ST_JAK_STAT_PATHWAY	9		Rejected!	
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28	28		
ST_ADRENERGIC	37	37		
ST_INTEGRIN_SIGNALING_PATHWAY	82	82		
ST_GAQ_PATHWAY	28	28		
ST_GA13_PATHWAY	37	37		
ST_STAT3_PATHWAY	11		Rejected!	
ST_T_CELL_SIGNAL_TRANSDUCTION	45	45		
ST_TYPE_I_INTERFERON_PATHWAY	9		Rejected!	
ST_PAC1_RECEPTOR_PATHWAY	8		Rejected!	
ST_B_CELL_ANTIGEN_RECEPTOR	40	40		
ST_INTERLEUKIN_4_PATHWAY	26	26		
ST_WNT_BETA_CATENIN_PATHWAY	34	34		
ST_JNK_MAPK_PATHWAY	40	40		
ST_FAS_SIGNALING_PATHWAY	66	66		
ST_MYOCYTE_AD_PATHWAY	28	28		
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38	38		
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	295	294		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37	36		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41	41		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118	118		
