NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	Details ...	144	0.8158818	2.4071116	0.0	0.0	0.0	4134	tags=63%, list=11%, signal=70%	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	Details ...	338	0.75044835	2.3983915	0.0	0.0	0.0	4882	tags=59%, list=13%, signal=67%	
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	Details ...	223	0.76107085	2.3302195	0.0	0.0	0.0	4529	tags=56%, list=12%, signal=63%	
HOLLERN_EMT_BREAST_TUMOR_DN	HOLLERN_EMT_BREAST_TUMOR_DN	Details ...	122	0.7897468	2.319475	0.0	0.0	0.0	3939	tags=62%, list=10%, signal=69%	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	Details ...	204	0.7586173	2.3033426	0.0	0.0	0.0	4047	tags=58%, list=10%, signal=65%	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	Details ...	285	0.7366784	2.2957294	0.0	0.0	0.0	4046	tags=56%, list=10%, signal=62%	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	Details ...	123	0.78964245	2.2828634	0.0	0.0	0.0	4028	tags=57%, list=10%, signal=63%	
ONDER_CDH1_TARGETS_2_DN	ONDER_CDH1_TARGETS_2_DN	Details ...	472	0.7037485	2.259211	0.0	0.0	0.0	4056	tags=47%, list=10%, signal=52%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS	Details ...	94	0.7943336	2.252822	0.0	0.0	0.0	4162	tags=56%, list=11%, signal=63%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	71	0.8058009	2.2126439	0.0	0.0	0.0	4280	tags=52%, list=11%, signal=58%	
BROWNE_INTERFERON_RESPONSIVE_GENES	BROWNE_INTERFERON_RESPONSIVE_GENES	Details ...	67	0.81162435	2.1864173	0.0	0.0	0.0	4529	tags=69%, list=12%, signal=78%	
LIANG_SILENCED_BY_METHYLATION_2	LIANG_SILENCED_BY_METHYLATION_2	Details ...	58	0.8098148	2.173433	0.0	0.0	0.0	2852	tags=60%, list=7%, signal=65%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	0.7843381	2.1683326	0.0	0.0	0.0	3205	tags=13%, list=8%, signal=14%	
MISSIAGLIA_REGULATED_BY_METHYLATION_UP	MISSIAGLIA_REGULATED_BY_METHYLATION_UP	Details ...	125	0.73106396	2.166621	0.0	0.0	0.0	4457	tags=54%, list=11%, signal=61%	
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	Details ...	228	0.69988793	2.1603127	0.0	0.0	0.0	4486	tags=50%, list=12%, signal=57%	
SANA_TNF_SIGNALING_UP	SANA_TNF_SIGNALING_UP	Details ...	83	0.77903825	2.1574092	0.0	0.0	0.0	3382	tags=58%, list=9%, signal=63%	
