NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	Details ...	190	-0.7998382	-2.8909616	0.0	0.0	0.0	3679	tags=74%, list=9%, signal=81%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	140	-0.8293859	-2.8802984	0.0	0.0	0.0	3433	tags=79%, list=9%, signal=86%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	Details ...	153	-0.7896809	-2.7612908	0.0	0.0	0.0	4265	tags=73%, list=11%, signal=81%	
PUJANA_XPRSS_INT_NETWORK	PUJANA_XPRSS_INT_NETWORK	Details ...	168	-0.76978886	-2.7305872	0.0	0.0	0.0	6125	tags=73%, list=16%, signal=87%	
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	Details ...	89	-0.82680863	-2.7159212	0.0	0.0	0.0	3444	tags=74%, list=9%, signal=81%	
KONG_E2F3_TARGETS	KONG_E2F3_TARGETS	Details ...	97	-0.8215947	-2.694358	0.0	0.0	0.0	3541	tags=77%, list=9%, signal=85%	
WHITEFORD_PEDIATRIC_CANCER_MARKERS	WHITEFORD_PEDIATRIC_CANCER_MARKERS	Details ...	116	-0.79260373	-2.64365	0.0	0.0	0.0	3803	tags=71%, list=10%, signal=78%	
PUJANA_BRCA_CENTERED_NETWORK	PUJANA_BRCA_CENTERED_NETWORK	Details ...	118	-0.77880317	-2.6360536	0.0	0.0	0.0	5924	tags=75%, list=15%, signal=88%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	61	-0.8429647	-2.6196702	0.0	0.0	0.0	2161	tags=56%, list=6%, signal=59%	
LEE_EARLY_T_LYMPHOCYTE_UP	LEE_EARLY_T_LYMPHOCYTE_UP	Details ...	107	-0.7798836	-2.6134827	0.0	0.0	0.0	3540	tags=67%, list=9%, signal=74%	
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	Details ...	126	-0.7563259	-2.6052608	0.0	0.0	0.0	4265	tags=73%, list=11%, signal=82%	
KANG_DOXORUBICIN_RESISTANCE_UP	KANG_DOXORUBICIN_RESISTANCE_UP	Details ...	54	-0.87348205	-2.5953674	0.0	0.0	0.0	2927	tags=89%, list=8%, signal=96%	
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	Details ...	152	-0.7415457	-2.585719	0.0	0.0	0.0	4220	tags=63%, list=11%, signal=70%	
MORI_IMMATURE_B_LYMPHOCYTE_DN	MORI_IMMATURE_B_LYMPHOCYTE_DN	Details ...	91	-0.7794751	-2.5712492	0.0	0.0	0.0	6579	tags=82%, list=17%, signal=99%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	70	-0.8279084	-2.566647	0.0	0.0	0.0	3258	tags=61%, list=8%, signal=67%	
KOBAYASHI_EGFR_SIGNALING_24HR_DN	KOBAYASHI_EGFR_SIGNALING_24HR_DN	Details ...	252	-0.69013625	-2.5660455	0.0	0.0	0.0	3444	tags=62%, list=9%, signal=67%	
ISHIDA_E2F_TARGETS	ISHIDA_E2F_TARGETS	Details ...	51	-0.8755787	-2.5592515	0.0	0.0	0.0	3635	tags=90%, list=9%, signal=99%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	Details ...	288	-0.68539685	-2.5590148	0.0	0.0	0.0	7219	tags=61%, list=19%, signal=74%	
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	Details ...	184	-0.719459	-2.5449932	0.0	0.0	0.0	3444	tags=56%, list=9%, signal=61%	
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	Details ...	323	-0.6734164	-2.5426607	0.0	0.0	0.0	4237	tags=62%, list=11%, signal=69%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE	Details ...	136	-0.72663856	-2.5401292	0.0	0.0	0.0	4065	tags=52%, list=10%, signal=58%	
CROONQUIST_IL6_DEPRIVATION_DN	CROONQUIST_IL6_DEPRIVATION_DN	Details ...	95	-0.78244793	-2.5363407	0.0	0.0	0.0	3026	tags=73%, list=8%, signal=79%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	69	-0.8143006	-2.5323453	0.0	0.0	0.0	2132	tags=59%, list=5%, signal=63%	
WINNEPENNINCKX_MELANOMA_METASTASIS_UP	WINNEPENNINCKX_MELANOMA_METASTASIS_UP	Details ...	162	-0.7215068	-2.527021	0.0	0.0	0.0	4077	tags=60%, list=10%, signal=67%	
BENPORATH_PROLIFERATION	BENPORATH_PROLIFERATION	Details ...	147	-0.73204064	-2.5252433	0.0	0.0	0.0	3830	tags=56%, list=10%, signal=62%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	76	-0.78277254	-2.5124972	0.0	0.0	0.0	3171	tags=50%, list=8%, signal=54%	
PUJANA_BRCA2_PCC_NETWORK	PUJANA_BRCA2_PCC_NETWORK	Details ...	424	-0.6575605	-2.5062644	0.0	0.0	0.0	7283	tags=63%, list=19%, signal=77%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	63	-0.8140435	-2.5041037	0.0	0.0	0.0	2146	tags=51%, list=6%, signal=54%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	87	-0.766857	-2.5006716	0.0	0.0	0.0	2937	tags=44%, list=8%, signal=47%	
WHITFIELD_CELL_CYCLE_LITERATURE	WHITFIELD_CELL_CYCLE_LITERATURE	Details ...	44	-0.8664131	-2.485815	0.0	0.0	0.0	3011	tags=80%, list=8%, signal=86%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION		64	-0.8244852	-2.485736	0.0	0.0	0.0	2146	tags=50%, list=6%, signal=53%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		83	-0.7750514	-2.4782462	0.0	0.0	0.0	3589	tags=58%, list=9%, signal=64%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES		90	-0.7634095	-2.4720428	0.0	0.0	0.0	2146	tags=42%, list=6%, signal=45%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA		69	-0.79917824	-2.4655843	0.0	0.0	0.0	2858	tags=54%, list=7%, signal=58%	
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	MORI_LARGE_PRE_BII_LYMPHOCYTE_UP		88	-0.75886303	-2.464796	0.0	0.0	0.0	4150	tags=69%, list=11%, signal=77%	
MISSIAGLIA_REGULATED_BY_METHYLATION_DN	MISSIAGLIA_REGULATED_BY_METHYLATION_DN		122	-0.71864134	-2.4573667	0.0	0.0	0.0	4169	tags=70%, list=11%, signal=79%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION		72	-0.78375477	-2.4521143	0.0	0.0	0.0	2146	tags=47%, list=6%, signal=50%	
WONG_EMBRYONIC_STEM_CELL_CORE	WONG_EMBRYONIC_STEM_CELL_CORE		335	-0.6450722	-2.4490619	0.0	0.0	0.0	7127	tags=58%, list=18%, signal=71%	
