NAME	TITLE	SCORE	
GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	4.712593	
CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	4.706214	
IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	4.5697093	
DHRS9	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]	4.55452	
KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	4.5062404	
SERPINB4	serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]	4.484651	
CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	4.474907	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	4.464378	
EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	4.448622	
LINC02015	long intergenic non-protein coding RNA 2015 [Source:HGNC Symbol;Acc:HGNC:52850]	4.439161	
WTAPP1	Wilms tumor 1 associated protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44115]	4.4053087	
RSPO3	R-spondin 3 [Source:HGNC Symbol;Acc:HGNC:20866]	4.400502	
FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	4.3944016	
MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]	4.3179326	
RNF223	ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]	4.2564087	
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	4.2470202	
PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	4.2323666	
DENND1C	DENN domain containing 1C [Source:HGNC Symbol;Acc:HGNC:26225]	4.2134757	
CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	4.2126	
GRHL3-AS1	GRHL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41119]	4.196309	
AKIRIN1P2	akirin 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50797]	4.1374965	
IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	4.1374965	
ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6 [Source:HGNC Symbol;Acc:HGNC:28907]	4.1374965	
C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	4.1007953	
MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	4.0548296	
IQANK1	IQ motif and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:49576]	4.0470777	
MUC5AC	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]	4.0354614	
IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	4.014578	
FAM83B	family with sequence similarity 83 member B [Source:HGNC Symbol;Acc:HGNC:21357]	3.9998744	
ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	3.990287	
CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	3.9894047	
ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	3.9851549	
LINC02530	long intergenic non-protein coding RNA 2530 [Source:HGNC Symbol;Acc:HGNC:53556]	3.9851549	
LINC01215	long intergenic non-protein coding RNA 1215 [Source:HGNC Symbol;Acc:HGNC:49651]	3.9851549	
HTR3E	5-hydroxytryptamine receptor 3E [Source:HGNC Symbol;Acc:HGNC:24005]	3.98065	
HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	3.98065	
ARC	activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]	3.9721081	
SLC6A20	solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]	3.9680166	
CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	3.9619823	
MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	3.9496825	
LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	3.9245925	
HCAR2	hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]	3.8933423	
MGAT4C	MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]	3.8933423	
DMKN	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	3.8845382	
KRT8P26	keratin 8 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:33378]	3.884144	
BTLA	B and T lymphocyte associated [Source:HGNC Symbol;Acc:HGNC:21087]	3.884144	
IZUMO1	izumo sperm-egg fusion 1 [Source:HGNC Symbol;Acc:HGNC:28539]	3.884144	
OR9A4	olfactory receptor family 9 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15095]	3.884144	
CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	3.8840268	
PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	3.8745084	
MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	3.8717408	
SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	3.8677874	
WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	3.804428	
HSH2D	hematopoietic SH2 domain containing [Source:HGNC Symbol;Acc:HGNC:24920]	3.802655	
FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	3.7935925	
TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	3.7927594	
SPTSSB	serine palmitoyltransferase small subunit B [Source:HGNC Symbol;Acc:HGNC:24045]	3.761907	
RNF14P4	RNF14 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54672]	3.7608027	
RNA5SP491	RNA, 5S ribosomal pseudogene 491 [Source:HGNC Symbol;Acc:HGNC:43391]	3.7608027	
MN1	MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]	3.7608027	
RPL27P8	ribosomal protein L27 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:36012]	3.7608027	
RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]	3.7608027	
OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	3.7608027	
VSTM1	V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]	3.7608027	
RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	3.7543097	
LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	3.7211103	
SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	3.7176301	
FAM83E	family with sequence similarity 83 member E [Source:HGNC Symbol;Acc:HGNC:25972]	3.7167714	
LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	3.7003944	
AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	3.691778	
SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	3.6772778	
C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3.6319797	
CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	3.629005	
IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	3.6288738	
KRT8P45	keratin 8 pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:39879]	3.6152074	
RNU6-218P	RNA, U6 small nuclear 218, pseudogene [Source:HGNC Symbol;Acc:HGNC:47181]	3.6152074	
TCIM	transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]	3.6152074	
KLHDC7B	kelch domain containing 7B [Source:HGNC Symbol;Acc:HGNC:25145]	3.6152074	
TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	3.6152074	
ZNF492	zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]	3.6152074	
RNU6-787P	RNA, U6 small nuclear 787, pseudogene [Source:HGNC Symbol;Acc:HGNC:47750]	3.6152074	
CGB5	chorionic gonadotropin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:16452]	3.6152074	
RASA4DP	RAS p21 protein activator 4CD, pseudogene [Source:HGNC Symbol;Acc:HGNC:44226]	3.6152074	
ROPN1L-AS1	ROPN1L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39984]	3.6152074	
GZMM	granzyme M [Source:HGNC Symbol;Acc:HGNC:4712]	3.6152074	
ASB17	ankyrin repeat and SOCS box containing 17 [Source:HGNC Symbol;Acc:HGNC:19769]	3.6152074	
RNU2-72P	RNA, U2 small nuclear 72, pseudogene [Source:HGNC Symbol;Acc:HGNC:48565]	3.6152074	
TMLHE	trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]	3.6152074	
MDFI	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	3.6120424	
LINC00336	long intergenic non-protein coding RNA 336 [Source:HGNC Symbol;Acc:HGNC:33813]	3.6085203	
AADACP1	arylacetamide deacetylase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50305]	3.5870173	
FAM83H	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	3.5749722	
TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	3.571801	
NUAK2	NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]	3.5577328	
ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	3.5525358	
C1QTNF1-AS1	C1QTNF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44351]	3.5478284	
SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	3.5455594	
DHH	desert hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:2865]	3.536141	
FUT2	fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013]	3.4607	
RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	3.4546785	
MTHFD1P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7433]	3.4497085	
GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	3.4425101	
IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	3.4393103	
SOWAHB	sosondowah ankyrin repeat domain family member B [Source:HGNC Symbol;Acc:HGNC:32958]	3.4319127	
IDO1	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]	3.4223666	
FAM172BP	family with sequence similarity 172 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:34336]	3.4207206	
CGN	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]	3.4157736	
ZP4	zona pellucida glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:15770]	3.3909812	
CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	3.3909812	
TRPV6	transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006]	3.3862588	
TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	3.3782945	
SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	3.374765	
SLITRK6	SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503]	3.3612874	
ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	3.3612874	
MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	3.360279	
CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	3.3582664	
IP6K3	inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17269]	3.3563752	
RAB3B	RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]	3.3520362	
IFNL1	interferon lambda 1 [Source:HGNC Symbol;Acc:HGNC:18363]	3.319202	
UNC13A	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	3.316871	
CDH26	cadherin 26 [Source:HGNC Symbol;Acc:HGNC:15902]	3.3112552	
ZNF883	zinc finger protein 883 [Source:HGNC Symbol;Acc:HGNC:27271]	3.3112552	
CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	3.3112552	
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	3.2908077	
SULT1C2	sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]	3.2901502	
ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	3.2702382	
KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	3.2677035	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	3.2599666	
ADGRB3	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]	3.2599666	
TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3.2593598	
DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	3.2544272	
B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	3.236934	
S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	3.2342942	
PRSS3P1	PRSS3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43787]	3.2310135	
ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	3.2283652	
CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	3.226565	
VWA7	von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]	3.1976502	
ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	3.194853	
MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	3.1930606	
TRPV3	transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084]	3.1861281	
CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	3.1854522	
PHBP11	prohibitin pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:39290]	3.1754706	
TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	3.1754706	
CRTAC1	cartilage acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:14882]	3.1754706	
SPDYE7P	speedy/RINGO cell cycle regulator family member E7, pseudogene [Source:HGNC Symbol;Acc:HGNC:35466]	3.1754706	
LRATD1	LRAT domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20743]	3.1754706	
FAM240C	family with sequence similarity 240 member C [Source:HGNC Symbol;Acc:HGNC:54200]	3.1754706	
NKX1-2	NK1 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:31652]	3.1754706	
CASC4P1	cancer susceptibility 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39251]	3.1754706	
RIPOR2	RHO family interacting cell polarization regulator 2 [Source:HGNC Symbol;Acc:HGNC:13872]	3.1754706	
DUSP26	dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]	3.1754706	
AVPR2	arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]	3.1754706	
CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	3.1754706	
BRD7P5	bromodomain containing 7 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37631]	3.1754706	
LINC02507	long intergenic non-protein coding RNA 2507 [Source:HGNC Symbol;Acc:HGNC:53496]	3.1754706	
LINC02058	long intergenic non-protein coding RNA 2058 [Source:HGNC Symbol;Acc:HGNC:52901]	3.1754706	
KCNF1	potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]	3.1754706	
CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	3.1754706	
RCAN3AS	RCAN3 antisense RNA [Source:HGNC Symbol;Acc:HGNC:39009]	3.1754706	
ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	3.1754706	
FAM25A	family with sequence similarity 25 member A [Source:HGNC Symbol;Acc:HGNC:23436]	3.1754706	
C5orf66-AS1	C5orf66 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49679]	3.1754706	
LRRC32	leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]	3.1754706	
PTGIR	prostaglandin I2 receptor [Source:HGNC Symbol;Acc:HGNC:9602]	3.1754706	
MACC1-AS1	MACC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41257]	3.1754706	
KRT18P25	keratin 18 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:33394]	3.1754706	
LHFPL3-AS2	LHFPL3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:44106]	3.1754706	
RHEBP1	RHEB pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10010]	3.1754706	
AC098872.1	novel transcript (hCG2045843)	3.1754706	
RPL10P4	ribosomal protein L10 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:52342]	3.1754706	
EEF1A1P12	eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:3195]	3.1754706	
RNU6-834P	RNA, U6 small nuclear 834, pseudogene [Source:HGNC Symbol;Acc:HGNC:47797]	3.1754706	
RPL23AP75	ribosomal protein L23a pseudogene 75 [Source:HGNC Symbol;Acc:HGNC:35975]	3.1754706	
MIR4268	microRNA 4268 [Source:HGNC Symbol;Acc:HGNC:38352]	3.1754706	
RN7SL704P	RNA, 7SL, cytoplasmic 704, pseudogene [Source:HGNC Symbol;Acc:HGNC:46720]	3.1754706	
OTOAP1	OTOA pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:53869]	3.1754706	
MIR200B	microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]	3.1754706	
SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	3.1750796	
CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	3.173683	
SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	3.1633635	
ACOXL	acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]	3.1567068	
MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	3.152005	
PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	3.1425934	
FAM237B	family with sequence similarity 237 member B [Source:HGNC Symbol;Acc:HGNC:53217]	3.1389961	
CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	3.1389961	
LINC01764	long intergenic non-protein coding RNA 1764 [Source:HGNC Symbol;Acc:HGNC:52553]	3.1381836	
KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	3.131307	
KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	3.1277435	
PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	3.119263	
HIF1A-AS1	HIF1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43014]	3.1179895	
SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	3.116111	
EPHA10	EPH receptor A10 [Source:HGNC Symbol;Acc:HGNC:19987]	3.1147928	
PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	3.1065693	
UCA1	urothelial cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:37126]	3.1030653	
PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	3.0939035	
TNFRSF14-AS1	TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]	3.0924032	
PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	3.090625	
FHDC1	FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]	3.0834854	
KDR	kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]	3.0749352	
MAL2-AS1	MAL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53626]	3.0626402	
EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	3.0574198	
MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	3.0480433	
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	3.0466797	
CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	3.0364525	
PSG11	pregnancy specific beta-1-glycoprotein 11 [Source:HGNC Symbol;Acc:HGNC:9516]	3.0270822	
ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	3.0216148	
IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	3.0101066	
TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	3.006055	
CBX1P3	chromobox 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38657]	3.003111	
CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	3.0025008	
MEIS3	Meis homeobox 3 [Source:HGNC Symbol;Acc:HGNC:29537]	2.9999487	
PSG8	pregnancy specific beta-1-glycoprotein 8 [Source:HGNC Symbol;Acc:HGNC:9525]	2.9919527	
SLC16A8	solute carrier family 16 member 8 [Source:HGNC Symbol;Acc:HGNC:16270]	2.9879296	
KLRC1	killer cell lectin like receptor C1 [Source:HGNC Symbol;Acc:HGNC:6374]	2.9856365	
MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	2.984803	
IL24	interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346]	2.9802482	
RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	2.980046	
CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	2.9684687	
LINC02605	long intergenic non-protein coding RNA 2605 [Source:HGNC Symbol;Acc:HGNC:53974]	2.95907	
EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	2.9521067	
ODF3B	outer dense fiber of sperm tails 3B [Source:HGNC Symbol;Acc:HGNC:34388]	2.9477136	
MARVELD2	MARVEL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26401]	2.9428086	
SLC34A2	solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]	2.9317205	
IL21-AS1	IL21 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40299]	2.9317205	
RNA5SP449	RNA, 5S ribosomal pseudogene 449 [Source:HGNC Symbol;Acc:HGNC:43349]	2.9317205	
RNA5SP283	RNA, 5S ribosomal pseudogene 283 [Source:HGNC Symbol;Acc:HGNC:43183]	2.9317205	
LINC01983	long intergenic non-protein coding RNA 1983 [Source:HGNC Symbol;Acc:HGNC:52813]	2.9317205	
MIR3121	microRNA 3121 [Source:HGNC Symbol;Acc:HGNC:38259]	2.9317205	
CEACAMP8	CEA cell adhesion molecule pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:1830]	2.9317205	
RPL6P8	ribosomal protein L6 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:37044]	2.9317205	
GAPDHP49	glyceraldehyde 3 phosphate dehydrogenase pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:38555]	2.9317205	
RPS15AP36	ribosomal protein S15a pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:36803]	2.9317205	
CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	2.9317205	
TMEM74B	transmembrane protein 74B [Source:HGNC Symbol;Acc:HGNC:15893]	2.9301734	
CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	2.926163	
KDM7A-DT	KDM7A divergent transcript [Source:HGNC Symbol;Acc:HGNC:48959]	2.925632	
OR51B5	olfactory receptor family 51 subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:19599]	2.9223306	
GBP1P1	guanylate binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39561]	2.919561	
TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]	2.919561	
TPT1P14	tumor protein, translationally-controlled 1 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:49305]	2.919561	
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	2.917944	
RNF208	ring finger protein 208 [Source:HGNC Symbol;Acc:HGNC:25420]	2.9166362	
