NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	113	3.3612873554229736	0.039057285	Yes	
row_1	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	324	2.5854337215423584	0.06592352	Yes	
row_2	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	418	2.407580852508545	0.093587756	Yes	
row_3	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	639	2.326512575149536	0.11696277	Yes	
row_4	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	809	2.0371663570404053	0.13804059	Yes	
row_5	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	828	2.0190160274505615	0.16278794	Yes	
row_6	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	1024	1.8201498985290527	0.18048498	Yes	
row_7	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	1131	1.7250844240188599	0.19929133	Yes	
row_8	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]	1227	1.6829501390457153	0.2178554	Yes	
row_9	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	1531	1.5277713537216187	0.22911479	Yes	
row_10	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	1949	1.2954972982406616	0.23453225	Yes	
row_11	NR0B2	nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961]	2035	1.2553316354751587	0.24801458	Yes	
row_12	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	2211	1.198459506034851	0.25846452	Yes	
row_13	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	2224	1.1979875564575195	0.27311435	Yes	
row_14	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	2239	1.1915583610534668	0.28763232	Yes	
row_15	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	2248	1.187744140625	0.30225745	Yes	
row_16	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	2270	1.1809009313583374	0.3164617	Yes	
row_17	ABCA4	ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]	2482	1.0979201793670654	0.3247273	Yes	
row_18	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2527	1.0857510566711426	0.33714995	Yes	
row_19	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	2805	1.0186676979064941	0.34272295	Yes	
row_20	PEX11G	peroxisomal biogenesis factor 11 gamma [Source:HGNC Symbol;Acc:HGNC:20208]	3496	0.8549964427947998	0.33559573	Yes	
row_21	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	3911	0.7661246657371521	0.33448026	Yes	
row_22	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]	3968	0.7582549452781677	0.34250376	Yes	
row_23	PEX16	peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:HGNC:8857]	4019	0.7482829689979553	0.3505576	Yes	
row_24	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	4075	0.7370942831039429	0.35834268	Yes	
row_25	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	4108	0.731338381767273	0.36664933	Yes	
row_26	PEX26	peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]	4124	0.7288744449615479	0.3753639	Yes	
row_27	GC	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	4186	0.7171765565872192	0.38274544	Yes	
row_28	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	4785	0.6321513652801514	0.37520933	Yes	
row_29	PAOX	polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]	4928	0.6111548542976379	0.37917697	Yes	
row_30	KLF1	Kruppel like factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	4967	0.6103398203849792	0.38581792	Yes	
row_31	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	5163	0.6060828566551208	0.3883547	Yes	
row_32	AKR1D1	aldo-keto reductase family 1 member D1 [Source:HGNC Symbol;Acc:HGNC:388]	5190	0.6060828566551208	0.39525208	Yes	
row_33	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	5313	0.596996545791626	0.399559	Yes	
row_34	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	5562	0.5690473914146423	0.40026575	Yes	
row_35	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	5566	0.5688228607177734	0.40729135	Yes	
row_36	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	5588	0.5667802095413208	0.41382697	Yes	
row_37	CYP7A1	cytochrome P450 family 7 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2651]	6971	0.5303168296813965	0.38479012	No	
row_38	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	7488	0.5239626169204712	0.3780189	No	
row_39	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	7672	0.5084713101387024	0.3796464	No	
row_40	PEX19	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	7879	0.48580116033554077	0.38039738	No	
row_41	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	7922	0.48093071579933167	0.3853191	No	
row_42	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	8024	0.4700920879840851	0.38858318	No	
row_43	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	8288	0.4419828951358795	0.38731626	No	
row_44	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	8709	0.39671728014945984	0.3814331	No	
row_45	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	8822	0.38482916355133057	0.38334867	No	
row_46	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	8851	0.3813404142856598	0.38738805	No	
row_47	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	9033	0.3674774467945099	0.38730657	No	
