NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	736	2.168677806854248	0.009582596	No	
row_1	ZNF707	zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]	1746	1.4078166484832764	0.0020830159	No	
row_2	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	1969	1.2855148315429688	0.013297472	No	
row_3	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	2320	1.1666136980056763	0.01963838	No	
row_4	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	2599	1.0681403875350952	0.026540617	No	
row_5	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	2930	0.9811678528785706	0.030953163	No	
row_6	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	3475	0.8604488372802734	0.028247006	No	
row_7	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	3743	0.8010233044624329	0.03191168	No	
row_8	XPC	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	3776	0.7928962111473083	0.04153873	No	
row_9	EDF1	endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]	4107	0.731486976146698	0.042659484	No	
row_10	NME4	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	4373	0.6908162832260132	0.04492284	No	
row_11	ELL	elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]	4553	0.6625366806983948	0.04903455	No	
row_12	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	4634	0.6506075263023376	0.055545937	No	
row_13	NELFB	negative elongation factor complex member B [Source:HGNC Symbol;Acc:HGNC:24324]	4880	0.6185968518257141	0.05737371	No	
row_14	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	5355	0.5908065438270569	0.05292053	No	
row_15	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	5504	0.5763481259346008	0.056696594	No	
row_16	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	5508	0.5752608776092529	0.064203344	No	
row_17	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	5714	0.552038311958313	0.066186726	No	
row_18	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]	5728	0.549728274345398	0.07309858	No	
row_19	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	7431	0.5297905802726746	0.036124457	No	
row_20	POLB	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]	7484	0.5243966579437256	0.041695055	No	
row_21	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	7776	0.4963015615940094	0.040722407	No	
row_22	SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:11137]	7903	0.48317328095436096	0.043838263	No	
row_23	USP11	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]	8052	0.46714234352111816	0.046174556	No	
row_24	TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	8132	0.4557429552078247	0.050142676	No	
row_25	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]	8276	0.442482054233551	0.052282985	No	
row_26	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	8324	0.4405798614025116	0.056877684	No	
row_27	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	8664	0.4005346894264221	0.053402714	No	
row_28	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	9205	0.35078009963035583	0.044080395	No	
row_29	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	9313	0.34045588970184326	0.04580539	No	
row_30	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	9444	0.33005285263061523	0.046799198	No	
row_31	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	9960	0.28923144936561584	0.037311118	No	
row_32	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	10021	0.28540143370628357	0.039524183	No	
row_33	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	10048	0.28373828530311584	0.042593464	No	
row_34	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	10141	0.27442851662635803	0.04383537	No	
row_35	NT5C	5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]	10251	0.2649241089820862	0.044512905	No	
row_36	ADRM1	adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]	10410	0.25140318274497986	0.043746613	No	
row_37	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	10706	0.2282496988773346	0.039136663	No	
row_38	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	10871	0.2232111692428589	0.037843723	No	
row_39	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	11118	0.2043382227420807	0.034184083	No	
row_40	VPS28	VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]	11201	0.19744250178337097	0.034669284	No	
row_41	NFX1	nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]	11270	0.19068142771720886	0.03542694	No	
row_42	CCNO	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	11283	0.19020046293735504	0.03762461	No	
row_43	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	11300	0.18848387897014618	0.039696336	No	
row_44	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]	11428	0.17576031386852264	0.03873343	No	
row_45	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	11518	0.16951921582221985	0.038669698	No	
row_46	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	11528	0.16874247789382935	0.04066195	No	
row_47	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	11781	0.15136677026748657	0.03614897	No	
row_48	GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]	12182	0.12360017746686935	0.0274474	No	
row_49	SNAPC5	small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]	12363	0.11339139193296432	0.024293352	No	
row_50	POLR2E	RNA polymerase II subunit E [Source:HGNC Symbol;Acc:HGNC:9192]	12384	0.11131985485553741	0.025244437	No	
row_51	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]	12511	0.10284142196178436	0.023345998	No	
row_52	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	12645	0.09318912029266357	0.021139508	No	
row_53	BRF2	BRF2 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:17298]	12776	0.08224692940711975	0.01886624	No	
row_54	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	12994	0.06552204489707947	0.014125453	No	
row_55	SAC3D1	SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]	13217	0.048467814922332764	0.009030686	No	
row_56	POLR1D	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	13220	0.04827570915222168	0.009615498	No	
row_57	POLR3C	RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]	13235	0.04762406274676323	0.009881784	No	
row_58	DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	13239	0.04717265069484711	0.010426224	No	
row_59	POLR2C	RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]	13424	0.031605374068021774	0.006090598	No	
row_60	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	13433	0.031031182035803795	0.006293091	No	
row_61	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	13479	0.02638033777475357	0.005478639	No	
row_62	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	13500	0.023822128772735596	0.0052761547	No	
row_63	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	13651	0.014680711552500725	0.0015955381	No	
row_64	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	13758	0.007168582174926996	-0.001047696	No	
row_65	BOLA2	bolA family member 2 [Source:HGNC Symbol;Acc:HGNC:29488]	15174	0.0	-0.037594005	No	
row_66	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	26173	-0.0015729183796793222	-0.3216272	No	
row_67	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	26637	-0.035177286714315414	-0.33312166	No	
row_68	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	26689	-0.03907288610935211	-0.33392376	No	
row_69	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	26739	-0.04332481324672699	-0.33461812	No	
row_70	PDE6G	phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789]	26837	-0.04953407868742943	-0.33647037	No	
row_71	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	27018	-0.06217503920197487	-0.34029964	No	
row_72	TAF10	TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]	28040	-0.11904137581586838	-0.36510035	No	
