NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.02353268	Yes	
row_1	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	50	3.8717408180236816	0.046332534	Yes	
row_2	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.06683069	Yes	
row_3	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	209	3.0025007724761963	0.08195315	Yes	
row_4	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	216	2.980046033859253	0.09978475	Yes	
row_5	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	367	2.481452465057373	0.11088305	Yes	
row_6	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	398	2.447840929031372	0.124881744	Yes	
row_7	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	676	2.289825677871704	0.13153915	Yes	
row_8	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	719	2.1971898078918457	0.14371467	Yes	
row_9	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	766	2.11777925491333	0.15530743	Yes	
row_10	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	779	2.1011576652526855	0.16767912	Yes	
row_11	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	797	2.068723201751709	0.17972575	Yes	
row_12	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	829	2.0139338970184326	0.19107963	Yes	
row_13	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	896	1.9527379274368286	0.20115905	Yes	
row_14	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	942	1.9105408191680908	0.21152684	Yes	
row_15	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	976	1.8655529022216797	0.22193341	Yes	
row_16	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	978	1.865371823310852	0.23316644	Yes	
row_17	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	994	1.857553243637085	0.24399023	Yes	
row_18	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	1067	1.7760224342346191	0.25284785	Yes	
row_19	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1259	1.6740601062774658	0.25801268	Yes	
row_20	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	1287	1.6499091386795044	0.26727286	Yes	
row_21	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1386	1.571495771408081	0.27422366	Yes	
row_22	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1434	1.5419299602508545	0.28231487	Yes	
row_23	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	1453	1.5291513204574585	0.29107893	Yes	
row_24	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	1590	1.4944500923156738	0.296582	Yes	
row_25	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	1706	1.4295783042907715	0.3022366	Yes	
row_26	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1733	1.4138264656066895	0.3100977	Yes	
row_27	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	1879	1.339372992515564	0.31443202	Yes	
row_28	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1892	1.3300637006759644	0.3221496	Yes	
row_29	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	1959	1.2898290157318115	0.32822788	Yes	
row_30	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	2107	1.2388609647750854	0.33190382	Yes	
row_31	ABI3BP	ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]	2116	1.235934853553772	0.3391567	Yes	
row_32	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2118	1.2350661754608154	0.34658536	Yes	
row_33	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	2237	1.192408800125122	0.3507309	Yes	
row_34	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	2598	1.068496823310852	0.34787026	Yes	
row_35	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	2720	1.037835955619812	0.35100523	Yes	
row_36	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	2811	1.016696572303772	0.3548143	Yes	
row_37	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	2812	1.0164282321929932	0.3609492	Yes	
row_38	NID2	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	2928	0.9822955131530762	0.3639041	Yes	
row_39	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	2941	0.9779074192047119	0.36949617	Yes	
row_40	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	2947	0.9770675301551819	0.37526417	Yes	
row_41	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	3051	0.9475656747817993	0.3783198	Yes	
row_42	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	3098	0.9334694147109985	0.38276437	Yes	
row_43	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	3154	0.9281383752822876	0.38694406	Yes	
row_44	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	3357	0.8824898600578308	0.3870467	Yes	
row_45	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	3392	0.8754176497459412	0.3914512	Yes	
row_46	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	3655	0.8201499581336975	0.38962597	Yes	
