NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1	4.70621395111084	0.027328236	Yes	
row_1	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	29	3.9902870655059814	0.04982287	Yes	
row_2	TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	55	3.792759418487549	0.071221136	Yes	
row_3	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	192	3.106569290161133	0.08576044	Yes	
row_4	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	203	3.036452531814575	0.10315071	Yes	
row_5	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	283	2.7365469932556152	0.11701341	Yes	
row_6	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	298	2.675140857696533	0.13220017	Yes	
row_7	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	324	2.5854337215423584	0.14658105	Yes	
row_8	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	332	2.5775554180145264	0.16138163	Yes	
row_9	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	334	2.5676097869873047	0.17627959	Yes	
row_10	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	676	2.289825677871704	0.18077016	Yes	
row_11	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	685	2.2729392051696777	0.19377436	Yes	
row_12	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	719	2.1971898078918457	0.20569174	Yes	
row_13	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	735	2.16929292678833	0.21791248	Yes	
row_14	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	790	2.0822863578796387	0.22861893	Yes	
row_15	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	791	2.0812325477600098	0.24071576	Yes	
row_16	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]	844	1.9942710399627686	0.25096235	Yes	
row_17	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	875	1.9666584730148315	0.2616174	Yes	
row_18	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	877	1.9631775617599487	0.27300218	Yes	
row_19	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	1042	1.8021001815795898	0.27923536	Yes	
row_20	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1063	1.7796516418457031	0.28906205	Yes	
row_21	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	1067	1.7760224342346191	0.29930732	Yes	
row_22	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	1126	1.7283916473388672	0.30785337	Yes	
row_23	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	1279	1.6621217727661133	0.31358328	Yes	
row_24	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	1294	1.6448262929916382	0.3227815	Yes	
row_25	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	1302	1.6435071229934692	0.33215308	Yes	
row_26	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1315	1.6369050741195679	0.341357	Yes	
row_27	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1386	1.571495771408081	0.34868076	Yes	
row_28	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1419	1.5511538982391357	0.35686904	Yes	
row_29	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	1621	1.475090742111206	0.36024466	Yes	
row_30	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	1827	1.3711222410202026	0.36291257	Yes	
row_31	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	1841	1.3630356788635254	0.37049878	Yes	
