NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	206	3.0101065635681152	0.026251584	No	
row_1	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	639	2.326512575149536	0.039494622	No	
row_2	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	704	2.242633581161499	0.061364435	No	
row_3	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	1114	1.7330601215362549	0.06897687	No	
row_4	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	1288	1.648285150527954	0.08179671	No	
row_5	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	1343	1.6069223880767822	0.09725684	No	
row_6	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1366	1.5911526679992676	0.11337821	No	
row_7	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1380	1.5760282278060913	0.12957345	No	
row_8	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1788	1.3898764848709106	0.13363788	No	
row_9	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	1850	1.3573802709579468	0.1462997	No	
row_10	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	1921	1.310695767402649	0.15823936	No	
row_11	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	2175	1.2141199111938477	0.16443858	No	
row_12	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	2439	1.1148300170898438	0.16933799	No	
row_13	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	2501	1.0918583869934082	0.17921475	No	
row_14	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	2846	1.0078754425048828	0.18089981	No	
row_15	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2981	0.9682202339172363	0.1875939	No	
row_16	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	3466	0.8621839880943298	0.18413419	No	
row_17	ACSS1	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	3756	0.7972034215927124	0.18503033	No	
row_18	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	3988	0.7544534206390381	0.18697639	No	
row_19	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	4080	0.7364228963851929	0.19234997	No	
row_20	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	4087	0.7352277040481567	0.19990683	No	
row_21	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	4308	0.6995139122009277	0.20156078	No	
row_22	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	4459	0.6765372157096863	0.20478205	No	
row_23	MCEE	methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]	4602	0.6550770401954651	0.20798491	No	
row_24	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	4857	0.6220722794532776	0.20794825	No	
row_25	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	5074	0.6103398203849792	0.20877019	No	
row_26	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	5143	0.6060828566551208	0.21337079	No	
row_27	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	5423	0.5869146585464478	0.21231952	No	
row_28	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	5488	0.5787597298622131	0.21673685	No	
row_29	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	5933	0.5368697047233582	0.21089822	No	
row_30	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	6652	0.5303168296813965	0.19791256	No	
row_31	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	6804	0.5303168296813965	0.19957429	No	
row_32	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	7560	0.5162909626960754	0.18548569	No	
row_33	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]	7689	0.5066208839416504	0.18749304	No	
row_34	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	7738	0.5009192824363708	0.19150722	No	
row_35	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	7913	0.48162660002708435	0.19206408	No	
row_36	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	8017	0.4705581068992615	0.19433898	No	
row_37	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	8024	0.4700920879840851	0.1991148	No	
row_38	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	8207	0.45124900341033936	0.19914636	No	
row_39	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	8314	0.4419828951358795	0.20104404	No	
row_40	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	8367	0.43562158942222595	0.20426998	No	
row_41	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	8468	0.42527076601982117	0.20614736	No	
row_42	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	8552	0.41308876872062683	0.20833613	No	
row_43	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	8686	0.3989937901496887	0.20908539	No	
row_44	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	8708	0.39676156640052795	0.21270455	No	
row_45	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	8709	0.39671728014945984	0.21686575	No	
row_46	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	8822	0.38482916355133057	0.21800894	No	
row_47	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	9321	0.33987194299697876	0.20870899	No	
row_48	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	9360	0.33748164772987366	0.21126719	No	
row_49	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	9800	0.3066745698451996	0.20314318	No	
row_50	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	10317	0.25832855701446533	0.19252293	No	
row_51	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	10494	0.24472759664058685	0.19054325	No	
row_52	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	10523	0.2426656186580658	0.19236526	No	
row_53	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	10712	0.22790606319904327	0.18989916	No	
row_54	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	11210	0.19669109582901	0.17912321	No	
row_55	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	11341	0.1847614049911499	0.17770287	No	
row_56	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	11359	0.1828209012746811	0.17918134	No	
row_57	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	11433	0.1751817762851715	0.17913301	No	
row_58	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	11460	0.17312335968017578	0.18027724	No	
row_59	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	11592	0.1631840020418167	0.17860477	No	
row_60	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	12229	0.12170449644327164	0.16345146	No	
row_61	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	12892	0.07377815246582031	0.1471238	No	
row_62	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	13469	0.027432797476649284	0.13253167	No	
row_63	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	13559	0.021042879670858383	0.13045324	No	
row_64	ACOT2	acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]	13776	0.005204455461353064	0.12492788	No	
row_65	CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	13951	0.0	0.12043292	No	
row_66	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	18533	0.0	0.002091402	No	
row_67	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	21054	0.0	-0.063008055	No	
row_68	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	22476	0.0	-0.09971692	No	
row_69	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	22767	0.0	-0.10720852	No	
row_70	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	25840	0.0	-0.18656786	No	
