NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	714	2.2152957916259766	-0.004288137	No	
row_1	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	1595	1.489021897315979	-0.017517006	No	
row_2	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1733	1.4138264656066895	-0.012012232	No	
row_3	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	2534	1.0844799280166626	-0.025761064	No	
row_4	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2974	0.97147136926651	-0.03089721	No	
row_5	PML	promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]	4251	0.7104083895683289	-0.059349827	No	
row_6	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	5110	0.6062596440315247	-0.07765897	No	
row_7	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	5353	0.5913441777229309	-0.08013308	No	
row_8	HOXC10	homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]	6058	0.5368697047233582	-0.09490366	No	
row_9	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	7989	0.4734058678150177	-0.14178619	No	
row_10	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	8064	0.46525025367736816	-0.14072254	No	
row_11	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	8339	0.4389236569404602	-0.14499962	No	
row_12	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	8387	0.4329036474227905	-0.14344475	No	
row_13	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	8643	0.40317389369010925	-0.14745924	No	
