NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	4	4.506240367889404	0.03866388	Yes	
row_1	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	71	3.6319797039031982	0.06820307	Yes	
row_2	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	246	2.900545835494995	0.08865671	Yes	
row_3	ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	681	2.283848524093628	0.097080976	Yes	
row_4	PDZK1IP1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	773	2.1104042530059814	0.11288348	Yes	
row_5	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	1088	1.7573305368423462	0.119881436	Yes	
row_6	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	1143	1.70486581325531	0.13315195	Yes	
row_7	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	1376	1.5843671560287476	0.1407825	Yes	
row_8	LRP10	LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]	1432	1.5422964096069336	0.15262857	Yes	
row_9	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	1755	1.4025636911392212	0.15636757	Yes	
row_10	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	1870	1.3452612161636353	0.16499272	Yes	
row_11	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	1969	1.2855148315429688	0.17351764	Yes	
row_12	FN3K	fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822]	2244	1.1909481287002563	0.17667744	Yes	
row_13	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	2281	1.1809009313583374	0.18590577	Yes	
row_14	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	2561	1.0761001110076904	0.18794823	Yes	
row_15	RBM38	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]	2565	1.0744420289993286	0.1971141	Yes	
row_16	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2666	1.0505236387252808	0.20356566	Yes	
row_17	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	2695	1.043004035949707	0.21181455	Yes	
row_18	CIR1	corepressor interacting with RBPJ, CIR1 [Source:HGNC Symbol;Acc:HGNC:24217]	2779	1.024190902709961	0.21847922	Yes	
row_19	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	3149	0.92995285987854	0.21693686	Yes	
