NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.02639237	Yes	
row_1	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.04883999	Yes	
row_2	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	203	3.036452531814575	0.066485435	Yes	
row_3	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	265	2.7910826206207275	0.0837423	Yes	
row_4	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	280	2.743237018585205	0.10189178	Yes	
row_5	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	283	2.7365469932556152	0.12030644	Yes	
row_6	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	324	2.5854337215423584	0.13671866	Yes	
row_7	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	413	2.41987943649292	0.15077238	Yes	
row_8	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	444	2.3494842052459717	0.16585101	Yes	
row_9	TMEM45A	transmembrane protein 45A [Source:HGNC Symbol;Acc:HGNC:25480]	680	2.2840747833251953	0.17518671	Yes	
row_10	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	685	2.2729392051696777	0.1904212	Yes	
row_11	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	807	2.0379836559295654	0.20104444	Yes	
row_12	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	872	1.9673532247543335	0.21266514	Yes	
row_13	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	896	1.9527379274368286	0.22524753	Yes	
row_14	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	1044	1.7981836795806885	0.2335802	Yes	
row_15	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1063	1.7796516418457031	0.2451239	Yes	
row_16	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	1159	1.692044973373413	0.2540851	Yes	
row_17	B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24136]	1313	1.6387592554092407	0.2611868	Yes	
row_18	HOXB9	homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]	1342	1.609660267829895	0.27132478	Yes	
row_19	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1422	1.547574520111084	0.27972487	Yes	
row_20	BRS3	bombesin receptor subtype 3 [Source:HGNC Symbol;Acc:HGNC:1113]	1477	1.5277713537216187	0.28863785	Yes	
row_21	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	1549	1.51957106590271	0.29705587	Yes	
