NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.04921655	Yes	
row_1	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	72	3.629004955291748	0.09320101	Yes	
row_2	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	78	3.6152074337005615	0.13801947	Yes	
row_3	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	115	3.3582663536071777	0.17884414	Yes	
row_4	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	127	3.2599666118621826	0.21909125	Yes	
row_5	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	209	3.0025007724761963	0.25433248	Yes	
row_6	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	293	2.6913511753082275	0.28565368	Yes	
row_7	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	308	2.651500701904297	0.31825846	Yes	
row_8	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	336	2.5603315830230713	0.3493946	Yes	
row_9	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	351	2.5329837799072266	0.38052586	Yes	
row_10	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	360	2.5012478828430176	0.41141725	Yes	
row_11	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	815	2.0311782360076904	0.42496505	Yes	
row_12	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	929	1.930860996246338	0.4460577	Yes	
row_13	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	1041	1.8022353649139404	0.4656027	Yes	
row_14	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	1058	1.7837995290756226	0.4873679	Yes	
row_15	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1262	1.6711091995239258	0.5029106	Yes	
row_16	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1599	1.4863898754119873	0.51272756	Yes	
row_17	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	1696	1.4365265369415283	0.5281125	Yes	
row_18	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	1719	1.4212878942489624	0.54521596	Yes	
row_19	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1733	1.4138264656066895	0.5624587	Yes	
row_20	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1771	1.4005546569824219	0.5789176	Yes	
row_21	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	1807	1.3800644874572754	0.59517336	Yes	
row_22	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	2066	1.2532835006713867	0.6041032	Yes	
row_23	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2118	1.2350661754608154	0.6181437	Yes	
row_24	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	2150	1.2249339818954468	0.6325738	Yes	
row_25	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	2167	1.2166950702667236	0.64728826	Yes	
row_26	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	2885	0.9923495650291443	0.6411395	Yes	
row_27	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	2947	0.9770675301551819	0.65171444	Yes	
row_28	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	2971	0.9725664854049683	0.66321325	Yes	
row_29	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	3043	0.9490092992782593	0.67318153	Yes	
row_30	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	3249	0.9063770174980164	0.6791648	Yes	
row_31	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	3369	0.8809671401977539	0.6870496	Yes	
row_32	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3638	0.8239075541496277	0.69038326	Yes	
row_33	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3971	0.7576203346252441	0.69124264	Yes	
row_34	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	4346	0.6945310235023499	0.6902347	Yes	
row_35	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4429	0.6820888519287109	0.6966008	Yes	
row_36	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	4622	0.6527089476585388	0.6997655	Yes	
row_37	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	4906	0.6146165132522583	0.7001103	Yes	
row_38	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	5540	0.571846604347229	0.69089925	No	
row_39	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	5755	0.5463321208953857	0.69217414	No	
row_40	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	6646	0.5303168296813965	0.67582047	No	
row_41	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	7614	0.5149306654930115	0.6572902	No	
row_42	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	8017	0.4705581068992615	0.65277576	No	
row_43	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	8067	0.46448007225990295	0.6572872	No	
row_44	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	8126	0.45683351159095764	0.66147155	No	
row_45	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	8879	0.3794472813606262	0.6468002	No	
row_46	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	9020	0.3684881627559662	0.64777195	No	
row_47	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	9174	0.3542200028896332	0.6482311	No	
row_48	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	9434	0.3308197259902954	0.64566624	No	
row_49	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	9496	0.32648906111717224	0.6481527	No	
row_50	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	9893	0.2959035038948059	0.6416215	No	
row_51	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	9949	0.28994861245155334	0.6438083	No	
row_52	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	10323	0.25790369510650635	0.63739765	No	
row_53	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	10694	0.22961997985839844	0.63071275	No	
row_54	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	11835	0.14567992091178894	0.6031311	No	
row_55	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	11977	0.1358962506055832	0.6011853	No	
row_56	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	12136	0.12481534481048584	0.5986634	No	
row_57	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	12834	0.07706450670957565	0.5816506	No	
row_58	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	13149	0.05376235395669937	0.57422316	No	
row_59	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	13842	9.032422676682472E-4	0.55639243	No	
row_60	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	15771	0.0	0.50668246	No	
row_61	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	16107	0.0	0.49804512	No	
row_62	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	19881	0.0	0.40076524	No	
row_63	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	21370	0.0	0.3623999	No	
row_64	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	23615	0.0	0.30454248	No	
row_65	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	24444	0.0	0.28319404	No	
row_66	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	25584	0.0	0.253827	No	
row_67	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	26816	-0.048860762268304825	0.2226954	No	
row_68	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	27970	-0.11414787173271179	0.1943866	No	
row_69	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	28625	-0.13803747296333313	0.17924061	No	
row_70	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	29264	-0.18274585902690887	0.16506301	No	
row_71	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	29991	-0.23812547326087952	0.14930502	No	
row_72	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	30071	-0.24233242869377136	0.15028103	No	
row_73	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	30162	-0.2502921223640442	0.1510724	No	
row_74	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	30671	-0.29194164276123047	0.14160421	No	
row_75	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	31806	-0.3727964162826538	0.117001034	No	
row_76	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	31839	-0.3766572177410126	0.1208589	No	
row_77	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	32415	-0.4329136908054352	0.11141594	No	
row_78	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	33186	-0.5076421499252319	0.09787434	No	
row_79	DNTT	DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]	33727	-0.5653150081634521	0.09097992	No	
row_80	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	36292	-0.8176944851875305	0.035038173	No	
row_81	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	37424	-1.0558037757873535	0.019004079	No	
row_82	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	38215	-1.4618638753890991	0.016810533	No	
