NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	786	2.0903680324554443	-0.0038576748	No	
row_1	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	904	1.944262146949768	0.008434257	No	
row_2	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	1161	1.689603328704834	0.01512528	No	
row_3	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	1314	1.6377888917922974	0.024097584	No	
row_4	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	1686	1.4416078329086304	0.025860852	No	
row_5	CLIP2	CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]	1882	1.3363317251205444	0.031346165	No	
row_6	BCR	BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]	1968	1.2855802774429321	0.03927629	No	
row_7	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	2006	1.2678520679473877	0.048308056	No	
row_8	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2126	1.2330058813095093	0.054944728	No	
row_9	CDC42EP1	CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]	2196	1.2029917240142822	0.06263796	No	
row_10	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	2300	1.1709644794464111	0.06919962	No	
row_11	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	2338	1.1549948453903198	0.07734225	No	
row_12	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	2538	1.0825331211090088	0.080724604	No	
row_13	MAP1S	microtubule associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	2699	1.0414388179779053	0.08479176	No	
row_14	CDC42EP4	CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]	2946	0.9771074652671814	0.086128086	No	
row_15	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	2980	0.9684910774230957	0.09290481	No	
row_16	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:HGNC:31813]	3008	0.9618208408355713	0.09978416	No	
row_17	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	3091	0.9359263181686401	0.10503717	No	
row_18	MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	3171	0.9220752716064453	0.11025864	No	
row_19	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]	3266	0.9037272930145264	0.11494764	No	
row_20	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	3338	0.8873321413993835	0.12010227	No	
row_21	SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	3592	0.8319074511528015	0.12011364	No	
row_22	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	3637	0.8240444660186768	0.1254679	No	
row_23	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	3880	0.7745387554168701	0.12531176	No	
row_24	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	3925	0.7646170258522034	0.13019782	No	
row_25	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	4197	0.716313898563385	0.12883301	No	
