NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	288	2.7168006896972656	0.014840651	Yes	
row_1	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	456	2.326512575149536	0.029608577	Yes	
row_2	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	707	2.236607313156128	0.04149244	Yes	
row_3	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	735	2.16929292678833	0.058591098	Yes	
row_4	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	779	2.1011576652526855	0.07471699	Yes	
row_5	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	875	1.9666584730148315	0.08839468	Yes	
row_6	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	877	1.9631775617599487	0.10447475	Yes	
row_7	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	1119	1.7299691438674927	0.1124349	Yes	
row_8	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1163	1.6873594522476196	0.125166	Yes	
row_9	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	1304	1.6421862840652466	0.13501795	Yes	
row_10	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1409	1.5530949831008911	0.14507	Yes	
row_11	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	1518	1.5277713537216187	0.15481085	Yes	
row_12	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	1557	1.5144431591033936	0.16625264	Yes	
row_13	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1597	1.4876019954681396	0.17744836	Yes	
row_14	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1733	1.4138264656066895	0.18555616	Yes	
row_15	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	1756	1.4022085666656494	0.19649094	Yes	
row_16	MYBPH	myosin binding protein H [Source:HGNC Symbol;Acc:HGNC:7552]	1762	1.401594638824463	0.20786035	Yes	
row_17	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	1780	1.3958325386047363	0.21887213	Yes	
row_18	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	1791	1.3874037265777588	0.2299958	Yes	
row_19	GAA	glucosidase alpha, acid [Source:HGNC Symbol;Acc:HGNC:4065]	1858	1.3531992435455322	0.23939063	Yes	
row_20	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1892	1.3300637006759644	0.24944907	Yes	
row_21	PICK1	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]	1912	1.3155678510665894	0.25975063	Yes	
row_22	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2126	1.2330058813095093	0.2643578	Yes	
row_23	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	2236	1.1944265365600586	0.27133805	Yes	
row_24	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	2246	1.190322995185852	0.2808707	Yes	
row_25	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	2526	1.0860415697097778	0.28256536	Yes	
row_26	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	2534	1.0844799280166626	0.2912814	Yes	
row_27	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2666	1.0505236387252808	0.2965121	Yes	
row_28	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	2807	1.017623782157898	0.30124015	Yes	
row_29	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	2855	1.0027498006820679	0.30825123	Yes	
row_30	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	3000	0.9648900628089905	0.3124432	Yes	
row_31	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	3024	0.9558011889457703	0.3196898	Yes	
row_32	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	3066	0.9439606666564941	0.32637376	Yes	
row_33	MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	3107	0.9313449859619141	0.33298007	Yes	
row_34	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	3186	0.9206053614616394	0.33851555	Yes	
row_35	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	3205	0.9160419702529907	0.3455653	Yes	
row_36	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	3311	0.8956961035728455	0.35019815	Yes	
row_37	KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	3504	0.8534253239631653	0.35223433	Yes	
row_38	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	3571	0.8368573188781738	0.3573931	Yes	
row_39	PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	3779	0.7919824719429016	0.35853726	Yes	
row_40	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	3816	0.7838298082351685	0.3640368	Yes	
row_41	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	4000	0.7517710328102112	0.36547175	Yes	
row_42	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4074	0.7372170090675354	0.369632	Yes	
row_43	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	4116	0.7301589846611023	0.37456194	Yes	
row_44	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	4174	0.7183915376663208	0.37898156	Yes	
row_45	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	4302	0.700538158416748	0.3814444	Yes	
row_46	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	4322	0.6976950168609619	0.38667694	Yes	
row_47	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	4470	0.6752465963363647	0.3884151	Yes	
row_48	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	4689	0.6406884789466858	0.38803357	Yes	
row_49	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	4727	0.636628270149231	0.39229962	Yes	
row_50	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	4851	0.6225341558456421	0.39422596	Yes	
row_51	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	5099	0.6075700521469116	0.39282277	Yes	
row_52	CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	5109	0.6063212156295776	0.3975643	Yes	
row_53	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	5111	0.6061094403266907	0.40251094	Yes	
row_54	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	5255	0.6046419143676758	0.4037733	Yes	
