NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	352	2.526655673980713	0.021252625	No	
row_1	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	1573	1.506748080253601	0.0078050443	No	
row_2	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	2439	1.1148300170898438	-0.0011706029	No	
row_3	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	2930	0.9811678528785706	-0.0020543924	No	
row_4	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	2936	0.9804112315177917	0.009595075	No	
row_5	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	3186	0.9206053614616394	0.014216064	No	
row_6	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	3240	0.9075849652290344	0.023749284	No	
row_7	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	4080	0.7364228963851929	0.010899784	No	
row_8	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	4317	0.6981896758079529	0.013184832	No	
row_9	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	4843	0.6243436932563782	0.007109001	No	
row_10	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]	4860	0.6214745044708252	0.014161697	No	
row_11	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	4861	0.6214555501937866	0.021627933	No	
row_12	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	5499	0.5772098302841187	0.012089453	No	
row_13	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	5535	0.573082447052002	0.01806941	No	
row_14	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	5735	0.5484769344329834	0.019512633	No	
row_15	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	6631	0.5322109460830688	0.0027615195	No	
row_16	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	8024	0.4700920879840851	-0.02758857	No	
row_17	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	8182	0.45499667525291443	-0.026182288	No	
row_18	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]	8201	0.4523819386959076	-0.02121281	No	
row_19	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	8367	0.43562158942222595	-0.02024619	No	
row_20	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	8468	0.42527076601982117	-0.017722989	No	
row_21	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	8586	0.40881556272506714	-0.015837112	No	
row_22	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	8618	0.40535417199134827	-0.011768817	No	
row_23	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	8686	0.3989937901496887	-0.008707915	No	
row_24	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	8715	0.39571085572242737	-0.0046778955	No	
row_25	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	8805	0.38690489530563354	-0.002331162	No	
row_26	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]	9006	0.369712233543396	-0.0030614997	No	
row_27	MRPS12	mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]	9064	0.3636917769908905	-1.6611512E-4	No	
row_28	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	9114	0.3597654104232788	0.002888982	No	
row_29	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	9404	0.3337821960449219	-5.746084E-4	No	
row_30	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	9422	0.3320848345756531	0.0029754674	No	
row_31	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	9550	0.32191139459609985	0.0035586623	No	
row_32	MRPS11	mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]	9569	0.32023128867149353	0.0069404677	No	
row_33	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	9708	0.3140478730201721	0.0071447236	No	
row_34	TIMM9	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	9726	0.3124832510948181	0.010459304	No	
row_35	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	9798	0.3069499433040619	0.012310938	No	
row_36	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	9800	0.3066745698451996	0.0159695	No	
row_37	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	9909	0.2931155264377594	0.016698088	No	
row_38	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	9996	0.2877950668334961	0.017931687	No	
row_39	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	10114	0.27616432309150696	0.018223876	No	
row_40	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]	10255	0.26467886567115784	0.017783286	No	
row_41	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	10283	0.262111097574234	0.020234084	No	
row_42	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]	10308	0.25933101773262024	0.022729063	No	
row_43	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	10494	0.24472759664058685	0.020885054	No	
row_44	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	10526	0.24187146127223969	0.022989249	No	
row_45	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	10727	0.22657082974910736	0.020539194	No	
row_46	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	10895	0.22198453545570374	0.018887438	No	
row_47	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	10975	0.21604667603969574	0.019440066	No	
row_48	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	11170	0.20023198425769806	0.016828736	No	
row_49	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	11187	0.1987336128950119	0.018802576	No	
row_50	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	11341	0.1847614049911499	0.017065663	No	
row_51	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	11387	0.17920681834220886	0.018054951	No	
