NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15	4.247020244598389	0.07792638	Yes	
row_1	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	869	1.9685746431350708	0.09222059	Yes	
row_2	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1478	1.5277713537216187	0.10470702	Yes	
row_3	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	1696	1.4365265369415283	0.12559786	Yes	
row_4	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	1719	1.4212878942489624	0.15123829	Yes	
row_5	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	2167	1.2166950702667236	0.16214205	Yes	
row_6	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2308	1.1698895692825317	0.18010266	Yes	
row_7	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2527	1.0857510566711426	0.19449955	Yes	
row_8	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	2569	1.0737422704696655	0.21324122	Yes	
row_9	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	2603	1.0669716596603394	0.23206443	Yes	
row_10	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	2866	0.9986625909805298	0.24372034	Yes	
row_11	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	2871	0.9979058504104614	0.26201814	Yes	
row_12	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	2910	0.9830068945884705	0.27916408	Yes	
row_13	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	3149	0.92995285987854	0.29017216	Yes	
row_14	RPTOR	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	3491	0.8565529584884644	0.2971696	Yes	
row_15	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	3670	0.8158205151557922	0.307621	Yes	
row_16	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]	3866	0.7769995927810669	0.316918	Yes	
row_17	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	3980	0.755519688129425	0.32793432	Yes	
row_18	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4074	0.7372170090675354	0.3391291	Yes	
row_19	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	4606	0.6545922756195068	0.3375009	Yes	
row_20	FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	4781	0.6326720714569092	0.34467828	Yes	
row_21	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	5096	0.6079319715499878	0.3477878	Yes	
row_22	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	5135	0.6060828566551208	0.3579834	Yes	
row_23	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	5589	0.5659552812576294	0.356733	Yes	
row_24	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	5799	0.5415982007980347	0.36132812	Yes	
row_25	GNGT1	G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]	6677	0.5303168296813965	0.34848228	No	
row_26	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	7866	0.4861549139022827	0.326799	No	
row_27	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	8112	0.45874184370040894	0.32893756	No	
row_28	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	8511	0.418302983045578	0.32638338	No	
row_29	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	9007	0.3696803152561188	0.32043022	No	
row_30	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	9087	0.3617543578147888	0.32506278	No	
row_31	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	9117	0.35954025387763977	0.33094445	No	
row_32	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	9434	0.3308197259902954	0.32889253	No	
row_33	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	9552	0.3217412233352661	0.33180696	No	
row_34	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	9893	0.2959035038948059	0.32849205	No	
row_35	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	9953	0.28962257504463196	0.3323105	No	
row_36	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	9958	0.2892860174179077	0.33754164	No	
row_37	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	10050	0.28352853655815125	0.34042218	No	
row_38	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	10086	0.2797998785972595	0.34467864	No	
row_39	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	10362	0.25547105073928833	0.34229505	No	
row_40	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	10952	0.21767808496952057	0.33111402	No	
row_41	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	11291	0.18924580514431	0.32588398	No	
row_42	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	11423	0.17603766918182373	0.32575056	No	
row_43	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	11708	0.15758027136325836	0.32132968	No	
row_44	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	11831	0.14587196707725525	0.3208722	No	
row_45	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	12346	0.114464171230793	0.30972278	No	
row_46	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	12371	0.1123894527554512	0.31117606	No	
row_47	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	12483	0.10446230322122574	0.31023875	No	
row_48	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	12558	0.09925664216279984	0.31015995	No	
row_49	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12944	0.06963606923818588	0.30151188	No	
row_50	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	13201	0.0495479553937912	0.29582128	No	
row_51	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	13449	0.02922145649790764	0.28998804	No	
row_52	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	13678	0.014173636212944984	0.2843675	No	
row_53	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	13850	3.0158209847286344E-4	0.27996165	No	
row_54	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	23351	0.0	0.03488258	No	
row_55	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	24944	0.0	-0.0061875153	No	
