NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.035797764	Yes	
row_1	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	94	3.5525357723236084	0.06638776	Yes	
row_2	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	111	3.374764919281006	0.09665334	Yes	
row_3	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	123	3.2908077239990234	0.12628487	Yes	
row_4	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	216	2.980046033859253	0.15099888	Yes	
row_5	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	268	2.784642457962036	0.17499569	Yes	
row_6	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	301	2.6703314781188965	0.19844417	Yes	
row_7	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	345	2.548173666000366	0.22049798	Yes	
row_8	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	413	2.41987943649292	0.24076553	Yes	
row_9	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	443	2.3495006561279297	0.26137492	Yes	
row_10	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	651	2.326512575149536	0.27717707	Yes	
row_11	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	682	2.28337025642395	0.29715946	Yes	
row_12	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	824	2.0255980491638184	0.31193107	Yes	
row_13	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	848	1.9858767986297607	0.32938987	Yes	
row_14	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	869	1.9685746431350708	0.34676892	Yes	
row_15	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	1261	1.6719419956207275	0.35186726	Yes	
row_16	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1380	1.5760282278060913	0.36314613	Yes	
row_17	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1697	1.436266541481018	0.3680395	Yes	
row_18	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1864	1.347725510597229	0.37600294	Yes	
row_19	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	1870	1.3452612161636353	0.38810313	Yes	
row_20	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2462	1.1020448207855225	0.3828541	Yes	
row_21	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	2488	1.095879316329956	0.39217055	Yes	
row_22	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	2710	1.0401383638381958	0.395917	Yes	
row_23	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	2885	0.9923495650291443	0.40044317	Yes	
row_24	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	2890	0.9887744784355164	0.4093285	Yes	
row_25	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	2925	0.9826263189315796	0.4173829	Yes	
row_26	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2981	0.9682202339172363	0.42476386	Yes	
row_27	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	3220	0.91298508644104	0.42691523	Yes	
row_28	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3638	0.8239075541496277	0.4236327	Yes	
row_29	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	3876	0.7757274508476257	0.42456216	Yes	
row_30	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	3900	0.7695948481559753	0.43096414	Yes	
row_31	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	4000	0.7517710328102112	0.43524078	Yes	
row_32	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	4088	0.7349013686180115	0.43967405	Yes	
row_33	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	4089	0.7344483733177185	0.4463507	Yes	
row_34	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	4259	0.7083708643913269	0.44842446	Yes	
row_35	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	4346	0.6945310235023499	0.4525166	Yes	
row_36	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	4449	0.677618682384491	0.4560416	Yes	
row_37	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	4498	0.669887125492096	0.46089137	Yes	
row_38	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	5074	0.6103398203849792	0.4515857	Yes	
row_39	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	5469	0.5816499590873718	0.44669506	Yes	
row_40	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	5475	0.5810196399688721	0.45184776	Yes	
row_41	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	5488	0.5787597298622131	0.4567991	Yes	
row_42	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	5657	0.5578346848487854	0.45753023	Yes	
row_43	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	5795	0.542248010635376	0.45892048	Yes	
row_44	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	6015	0.5368697047233582	0.45814356	Yes	
row_45	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	6022	0.5368697047233582	0.46286908	Yes	
row_46	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	6629	0.5325844287872314	0.45205575	No	
row_47	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]	6875	0.5303168296813965	0.45054758	No	
row_48	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	7436	0.5285114049911499	0.44088557	No	
row_49	KLHDC3	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	7864	0.48662102222442627	0.43427855	No	
row_50	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	7890	0.4850124716758728	0.4380418	No	
row_51	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	8119	0.4575706124305725	0.43631148	No	
row_52	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	8367	0.43562158942222595	0.4338908	No	
row_53	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	8673	0.39981934428215027	0.42964634	No	
row_54	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	8926	0.3750712275505066	0.42654604	No	
row_55	SELENOW	selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]	9043	0.3665747344493866	0.42688182	No	
row_56	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	9266	0.34530535340309143	0.42428592	No	
row_57	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	9492	0.3267047703266144	0.42144343	No	
row_58	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	9842	0.30230215191841125	0.41517583	No	
row_59	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	9996	0.2877950668334961	0.4138396	No	
row_60	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	10145	0.27390092611312866	0.41250625	No	
row_61	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	10224	0.26684316992759705	0.41291705	No	
row_62	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	10282	0.26214689016342163	0.41382766	No	
