NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	7	4.4643778800964355	0.03610381	Yes	
row_1	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	187	3.1277434825897217	0.05689582	Yes	
row_2	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	240	2.9179439544677734	0.079267025	Yes	
row_3	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	301	2.6703314781188965	0.09941884	Yes	
row_4	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	374	2.4502854347229004	0.11747187	Yes	
row_5	XDH	xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]	430	2.383235454559326	0.13541958	Yes	
row_6	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	715	2.205174446105957	0.14599785	Yes	
row_7	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	1249	1.6776928901672363	0.14584953	Yes	
row_8	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	1343	1.6069223880767822	0.15650491	Yes	
row_9	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1366	1.5911526679992676	0.16886827	Yes	
row_10	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1380	1.5760282278060913	0.18134147	Yes	
row_11	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1386	1.571495771408081	0.1939847	Yes	
row_12	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1419	1.5511538982391357	0.20576437	Yes	
row_13	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	1423	1.5469896793365479	0.21826015	Yes	
row_14	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	1445	1.5338201522827148	0.2301834	Yes	
row_15	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	1531	1.5277713537216187	0.24040237	Yes	
row_16	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	1573	1.506748080253601	0.25158834	Yes	
row_17	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1697	1.436266541481018	0.26008087	Yes	
row_18	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	1755	1.4025636911392212	0.27000633	Yes	
row_19	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1771	1.4005546569824219	0.2810016	Yes	
row_20	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	2320	1.1666136980056763	0.2763115	Yes	
row_21	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	2538	1.0825331211090088	0.27949804	Yes	
row_22	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	2587	1.0730665922164917	0.28697821	Yes	
row_23	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	2644	1.0569425821304321	0.29412043	Yes	
row_24	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2666	1.0505236387252808	0.30211562	Yes	
row_25	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	2710	1.0401383638381958	0.30945745	Yes	
row_26	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	2877	0.9955641627311707	0.31325608	Yes	
