NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.7689784	2.3603158	0.0	0.0	0.0	4569	tags=63%, list=12%, signal=71%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	0.7802476	2.1959932	0.0	0.0	0.0	4460	tags=62%, list=11%, signal=70%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	0.71351516	2.1840768	0.0	0.0	0.0	4460	tags=52%, list=11%, signal=58%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.6655081	2.0399742	0.0	0.0	0.0	4471	tags=41%, list=12%, signal=46%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	83	0.7001103	1.9608632	0.0	0.0	0.0	4906	tags=46%, list=13%, signal=52%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	0.56236833	1.7251104	0.0	4.507519E-4	0.003	4882	tags=35%, list=13%, signal=40%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	0.5661101	1.7237477	0.0	3.8635876E-4	0.003	6077	tags=35%, list=16%, signal=41%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.5524337	1.6974658	0.0	4.4520674E-4	0.003	5444	tags=44%, list=14%, signal=51%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.5546759	1.691638	0.0	4.909774E-4	0.004	4606	tags=37%, list=12%, signal=41%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	137	0.5668146	1.6768262	0.0	6.931331E-4	0.007	4935	tags=34%, list=13%, signal=39%	
