cell_morphogenesis_	GO:0000902
cell_morphogenesis_involved_in_differentiation_	GO:0000904
motor_activity_	GO:0003774
microtubule_motor_activity_	GO:0003777
cytoskeleton_	GO:0005856
intermediate_filament_	GO:0005882
integral_component_of_plasma_membrane_	GO:0005887
cell-cell_junction_	GO:0005911
movement_of_cell_or_subcellular_component_	GO:0006928
chemotaxis_	GO:0006935
cell-cell_junction_assembly_	GO:0007043
cell_adhesion_	GO:0007155
negative_regulation_of_cell_adhesion_	GO:0007162
axonogenesis_	GO:0007409
axon_guidance_	GO:0007411
regulation_of_cell_shape_	GO:0008360
attachment_of_spindle_microtubules_to_kinetochore_	GO:0008608
response_to_virus_	GO:0009615
anatomical_structure_morphogenesis_	GO:0009653
tissue_development_	GO:0009888
positive_regulation_of_cell_development_	GO:0010720
regulation_of_cell_morphogenesis_involved_in_differentiation_	GO:0010769
regulation_of_neuron_projection_development_	GO:0010975
positive_regulation_of_neuron_projection_development_	GO:0010976
membrane_	GO:0016020
integral_component_of_membrane_	GO:0016021
cellular_component_organization_	GO:0016043
cell_migration_	GO:0016477
regulation_of_phosphate_metabolic_process_	GO:0019220
regulation_of_anatomical_structure_morphogenesis_	GO:0022603
regulation_of_cell_morphogenesis_	GO:0022604
biological_adhesion_	GO:0022610
regulation_of_cell_adhesion_	GO:0030155
extracellular_matrix_organization_	GO:0030198
regulation_of_cell_migration_	GO:0030334
extracellular_matrix_	GO:0031012
intrinsic_component_of_membrane_	GO:0031224
intrinsic_component_of_plasma_membrane_	GO:0031226
regulation_of_cell_projection_organization_	GO:0031344
positive_regulation_of_cell_projection_organization_	GO:0031346
regulation_of_stress-activated_MAPK_cascade_	GO:0032872
regulation_of_localization_	GO:0032879
cellular_component_morphogenesis_	GO:0032989
cell_part_morphogenesis_	GO:0032990
locomotion_	GO:0040011
regulation_of_locomotion_	GO:0040012
taxis_	GO:0042330
extracellular_structure_organization_	GO:0043062
regulation_of_GTPase_activity_	GO:0043087
receptor_complex_	GO:0043235
apical_junction_complex_	GO:0043296
skin_development_	GO:0043588
intermediate_filament_cytoskeleton_organization_	GO:0045104
intermediate_filament_cytoskeleton_	GO:0045111
cell-cell_junction_organization_	GO:0045216
regulation_of_cell_differentiation_	GO:0045595
positive_regulation_of_cell_differentiation_	GO:0045597
regulation_of_neuron_differentiation_	GO:0045664
positive_regulation_of_neuron_differentiation_	GO:0045666
positive_regulation_of_biological_process_	GO:0048518
positive_regulation_of_cellular_process_	GO:0048522
negative_regulation_of_response_to_stimulus_	GO:0048585
cell_morphogenesis_involved_in_neuron_differentiation_	GO:0048667
neuron_projection_morphogenesis_	GO:0048812
cell_projection_morphogenesis_	GO:0048858
cell_motility_	GO:0048870
regulation_of_neurogenesis_	GO:0050767
positive_regulation_of_neurogenesis_	GO:0050769
regulation_of_axonogenesis_	GO:0050770
positive_regulation_of_axonogenesis_	GO:0050772
regulation_of_catalytic_activity_	GO:0050790
regulation_of_developmental_process_	GO:0050793
cell_adhesion_molecule_binding_	GO:0050839
positive_regulation_of_developmental_process_	GO:0051094
regulation_of_cellular_component_organization_	GO:0051128
positive_regulation_of_cellular_component_organization_	GO:0051130
regulation_of_phosphorus_metabolic_process_	GO:0051174
regulation_of_multicellular_organismal_process_	GO:0051239
positive_regulation_of_multicellular_organismal_process_	GO:0051240
regulation_of_cellular_component_movement_	GO:0051270
regulation_of_hydrolase_activity_	GO:0051336
stress-activated_MAPK_cascade_	GO:0051403
localization_of_cell_	GO:0051674
regulation_of_nervous_system_development_	GO:0051960
positive_regulation_of_nervous_system_development_	GO:0051962
regulation_of_cell_development_	GO:0060284
axon_development_	GO:0061564
collagen-containing_extracellular_matrix_	GO:0062023
regulation_of_molecular_function_	GO:0065009
anchoring_junction_	GO:0070161
regulation_of_stress-activated_protein_kinase_signaling_cascade_	GO:0070302
cellular_component_organization_or_biogenesis_	GO:0071840
neuron_projection_guidance_	GO:0097485
supramolecular_complex_	GO:0099080
supramolecular_polymer_	GO:0099081
supramolecular_fiber_	GO:0099512
polymeric_cytoskeletal_fiber_	GO:0099513
cellular_anatomical_entity_	GO:0110165
regulation_of_plasma_membrane_bounded_cell_projection_organization_	GO:0120035
plasma_membrane_bounded_cell_projection_morphogenesis_	GO:0120039
ribonucleoprotein_complex_	GO:1990904
regulation_of_multicellular_organismal_development_	GO:2000026
regulation_of_cell_motility_	GO:2000145
