NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	127	0.59413743	1.9369076	0.0	0.0042178016	0.0042	5368	tags=50%, list=14%, signal=58%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	Details ...	35	0.6182065	1.6311573	0.0055658626	0.15458621	0.2646	5341	tags=43%, list=14%, signal=50%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	125	0.4948592	1.6095502	0.0	0.12737903	0.318	7710	tags=47%, list=20%, signal=59%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	25	0.65747494	1.6057059	0.013673656	0.099711195	0.3292	8128	tags=36%, list=21%, signal=45%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	0.5132361	1.408803	0.03430451	0.45209175	0.896	4693	tags=43%, list=12%, signal=49%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	59	0.48078033	1.4007195	0.027924892	0.40124708	0.9116	4024	tags=39%, list=10%, signal=43%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	Details ...	89	0.43329135	1.3344389	0.034859523	0.56764823	0.9824	7280	tags=45%, list=19%, signal=55%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER	Details ...	29	0.52180463	1.3078403	0.093457945	0.60260195	0.9938	4259	tags=45%, list=11%, signal=50%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	150	0.39386833	1.3034623	0.01521511	0.5521968	0.9948	7476	tags=30%, list=19%, signal=37%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	73	0.42593482	1.2854024	0.061660863	0.5629782	0.9974	7099	tags=41%, list=18%, signal=50%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	113	0.3971624	1.2717007	0.04137931	0.56391186	0.9988	7776	tags=39%, list=20%, signal=48%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	Details ...	64	0.4314923	1.2672648	0.078392945	0.5332125	0.9988	8531	tags=27%, list=22%, signal=34%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	135	0.387801	1.2658671	0.03552492	0.4967935	0.999	8064	tags=41%, list=21%, signal=52%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Details ...	25	0.5029449	1.2264038	0.16491228	0.602962	0.9998	7224	tags=20%, list=18%, signal=25%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	Details ...	62	0.41797698	1.2220694	0.10387065	0.5786183	1.0	4619	tags=37%, list=12%, signal=42%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION	Details ...	70	0.40738836	1.2131436	0.10840378	0.5760408	1.0	8751	tags=44%, list=22%, signal=57%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	126	0.37200075	1.2086091	0.072115384	0.55799085	1.0	4619	tags=31%, list=12%, signal=35%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	Details ...	57	0.41394705	1.1986212	0.12874532	0.5625132	1.0	8524	tags=47%, list=22%, signal=60%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	Details ...	73	0.39452994	1.1816604	0.13523994	0.5930224	1.0	8619	tags=51%, list=22%, signal=65%	
KEGG_MELANOMA	KEGG_MELANOMA	Details ...	71	0.39050052	1.1645862	0.15868263	0.6264985	1.0	7300	tags=35%, list=19%, signal=43%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		151	0.35212848	1.1637682	0.10015983	0.59958315	1.0	8302	tags=42%, list=21%, signal=53%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		24	0.4788363	1.1627711	0.22073877	0.5758413	1.0	6061	tags=38%, list=16%, signal=44%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		85	0.37481028	1.1553767	0.14727908	0.57681715	1.0	7679	tags=39%, list=20%, signal=48%	
