NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	259	-0.63640434	-1.9917642	0.0	1.8947368E-4	2.0E-4	5789	tags=35%, list=15%, signal=41%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	54	-0.75315905	-1.98309	0.0	1.9394943E-4	4.0E-4	4296	tags=37%, list=11%, signal=42%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	71	-0.71408	-1.9497223	0.0	1.2929962E-4	4.0E-4	5129	tags=41%, list=13%, signal=47%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	102	-0.66038966	-1.8845497	0.0	3.394666E-4	0.0014	4296	tags=34%, list=11%, signal=38%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	82	-0.6669606	-1.8580356	0.0	5.480353E-4	0.0028	8666	tags=54%, list=22%, signal=69%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	37	-0.7425044	-1.8318647	2.9994E-4	7.853393E-4	0.0048	2858	tags=30%, list=7%, signal=32%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	150	-0.6077478	-1.8126953	0.0	0.0010665363	0.0076	8250	tags=41%, list=21%, signal=52%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	Details ...	44	-0.7028302	-1.7890537	0.0	0.0014366591	0.0116	5883	tags=55%, list=15%, signal=64%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	62	-0.65757596	-1.7611196	5.51116E-4	0.0025553796	0.023	3171	tags=29%, list=8%, signal=32%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	70	-0.64090645	-1.7546235	5.38648E-4	0.0026280074	0.026	6139	tags=39%, list=16%, signal=46%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	75	-0.6156871	-1.6914251	0.0	0.0082323	0.088	2943	tags=27%, list=8%, signal=29%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	Details ...	187	-0.5444603	-1.651216	0.0	0.014867632	0.1662	5540	tags=28%, list=14%, signal=33%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	69	-0.60795605	-1.6491463	0.0013379717	0.014215719	0.172	5272	tags=45%, list=13%, signal=52%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	132	-0.5593946	-1.6443602	0.0	0.014316133	0.1848	6978	tags=32%, list=18%, signal=39%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	129	-0.53829634	-1.5789415	2.4431958E-4	0.036347073	0.4376	5103	tags=33%, list=13%, signal=37%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	84	-0.5414757	-1.5136404	0.0028863815	0.080355294	0.7386	8173	tags=49%, list=21%, signal=62%	
