NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	127	0.6160365	2.090609	0.0	0.0	0.0	9056	tags=62%, list=23%, signal=81%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	125	0.60069776	2.038764	0.0	2.0833334E-4	4.0E-4	7459	tags=57%, list=19%, signal=70%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	0.7382354	2.0251129	0.0	2.722222E-4	8.0E-4	5239	tags=69%, list=13%, signal=80%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	133	0.5762228	1.9730036	0.0	0.0011073432	0.0042	2167	tags=30%, list=6%, signal=32%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	0.6502798	1.8536181	6.747638E-4	0.0041758628	0.02	5365	tags=50%, list=14%, signal=58%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	28	0.6635261	1.7344809	0.004002287	0.016343055	0.0896	7689	tags=64%, list=20%, signal=80%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	0.66694766	1.6535503	0.008465012	0.03307375	0.1958	8614	tags=78%, list=22%, signal=100%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	129	0.45145455	1.543366	0.0020768433	0.08288083	0.4592	7957	tags=43%, list=20%, signal=53%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	88	0.4783546	1.5413817	0.0057424116	0.0747852	0.4648	9913	tags=57%, list=25%, signal=76%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	113	0.45460686	1.5253297	0.0030456854	0.07803662	0.5194	8608	tags=51%, list=22%, signal=66%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE	Details ...	29	0.57436806	1.5160844	0.023851076	0.076544255	0.5474	10664	tags=55%, list=27%, signal=76%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	85	0.45958433	1.4855614	0.0017182131	0.089094356	0.6316	3687	tags=27%, list=9%, signal=30%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	68	0.47041377	1.4544697	0.017815648	0.10454768	0.72	7128	tags=49%, list=18%, signal=59%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	59	0.48028135	1.4503524	0.018811136	0.10031117	0.732	9125	tags=56%, list=23%, signal=73%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	35	0.52234775	1.4263668	0.042016808	0.11164859	0.795	6891	tags=54%, list=18%, signal=66%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	Details ...	22	0.5740807	1.411285	0.05952381	0.11727636	0.8304	3300	tags=36%, list=8%, signal=40%	
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	Details ...	16	0.6235558	1.4072595	0.07489224	0.11346307	0.841	8382	tags=44%, list=21%, signal=56%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	Details ...	17	0.5968826	1.3671055	0.08960763	0.14223601	0.9148	6252	tags=59%, list=16%, signal=70%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	24	0.5437694	1.3574489	0.08488372	0.14452845	0.9284	8771	tags=63%, list=22%, signal=81%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	34	0.4792112	1.3028048	0.0957782	0.19769123	0.977	5370	tags=35%, list=14%, signal=41%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM		25	0.5146204	1.2949151	0.11940298	0.19778526	0.981	5354	tags=24%, list=14%, signal=28%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		181	0.35419744	1.2607548	0.01604278	0.23371404	0.9942	8868	tags=44%, list=23%, signal=56%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		98	0.37245616	1.2343415	0.059252508	0.26379818	0.9984	6405	tags=37%, list=16%, signal=44%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		31	0.4557503	1.2062523	0.170441	0.29985896	0.9994	9747	tags=55%, list=25%, signal=73%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		44	0.41410506	1.199288	0.14856021	0.30050293	0.9998	5370	tags=34%, list=14%, signal=39%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		33	0.4452384	1.1983192	0.17224589	0.29059902	0.9998	6477	tags=42%, list=17%, signal=51%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION		132	0.3393134	1.1680516	0.092491835	0.33396956	1.0	7957	tags=35%, list=20%, signal=44%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.40951702	1.1633515	0.19130434	0.3311566	1.0	7700	tags=43%, list=20%, signal=53%	
KEGG_PROTEASOME	KEGG_PROTEASOME		46	0.39852327	1.1512748	0.2026578	0.3421441	1.0	9763	tags=57%, list=25%, signal=75%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		35	0.41308564	1.1339058	0.22912858	0.3654813	1.0	11142	tags=57%, list=28%, signal=80%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS		15	0.5090866	1.1318047	0.2800207	0.3577246	1.0	8493	tags=60%, list=22%, signal=77%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		159	0.3102571	1.0869972	0.2014742	0.44440022	1.0	7073	tags=33%, list=18%, signal=41%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		49	0.36547112	1.0765294	0.29592517	0.45619053	1.0	5750	tags=29%, list=15%, signal=33%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		44	0.37648416	1.0667944	0.31364563	0.46681246	1.0	9389	tags=55%, list=24%, signal=72%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		49	0.36057156	1.0585309	0.32277226	0.4730354	1.0	5568	tags=29%, list=14%, signal=33%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS		28	0.39578912	1.0284433	0.39015606	0.53775775	1.0	5217	tags=21%, list=13%, signal=25%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		22	0.39487585	0.96607494	0.4816237	0.7118506	1.0	5370	tags=32%, list=14%, signal=37%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		166	0.26569733	0.9414117	0.6710183	0.77557546	1.0	8258	tags=40%, list=21%, signal=50%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA		55	0.30549932	0.9164127	0.629682	0.8401248	1.0	2364	tags=18%, list=6%, signal=19%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM		31	0.34292546	0.90876466	0.59940296	0.84453154	1.0	3029	tags=16%, list=8%, signal=17%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		41	0.3212153	0.9082416	0.63417804	0.8256804	1.0	11053	tags=51%, list=28%, signal=71%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		46	0.31317872	0.907365	0.655548	0.8089306	1.0	8375	tags=50%, list=21%, signal=64%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		71	0.28490263	0.8925333	0.728125	0.8348603	1.0	5784	tags=18%, list=15%, signal=21%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		62	0.28573504	0.8722005	0.7477745	0.8737926	1.0	4224	tags=19%, list=11%, signal=22%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		69	0.27711743	0.8642663	0.7953846	0.8756022	1.0	5784	tags=19%, list=15%, signal=22%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		25	0.3351556	0.8432636	0.71428573	0.9086511	1.0	7187	tags=40%, list=18%, signal=49%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		27	0.3207755	0.82899535	0.7457227	0.92007846	1.0	8302	tags=41%, list=21%, signal=52%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		44	0.26649034	0.7623144	0.9392077	1.0	1.0	5996	tags=25%, list=15%, signal=29%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		41	0.26784945	0.76096636	0.930625	0.9879119	1.0	10623	tags=39%, list=27%, signal=54%	
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS		16	0.32955483	0.74712616	0.8339445	0.9820819	1.0	7759	tags=38%, list=20%, signal=47%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		17	0.310074	0.7169138	0.8990924	0.9853327	1.0	6944	tags=35%, list=18%, signal=43%	
