TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006403", "RNA localization", 1.206, -0.880, -6.364, 2.334, 0.962, 0.000, -1, False
"GO:0007163", "establishment or maintenance of cell polarity", 1.077, -0.975, 5.887, 2.286, 0.995, 0.000, -1, False
"GO:0030900", "forebrain development", 2.007, 0.448, 7.982, 2.555, 1.000, 0.000, -1, False
"GO:0097006", "regulation of plasma lipoprotein particle levels", 0.421, 2.999, 0.180, 1.881, 0.981, 0.000, -1, False
"GO:0052696", "flavonoid glucuronidation", 0.050, -0.746, -1.740, 1.000, 0.949, 0.003, -1, False
"GO:0052697", "xenobiotic glucuronidation", 0.062, null, null, 1.079, 0.928, 0.913, 52696, True
"GO:0007059", "chromosome segregation", 1.564, -1.228, 7.882, 2.447, 0.995, 0.004, -1, False
"GO:0051321", "meiotic cell cycle", 1.262, -0.546, 2.695, 2.354, 0.891, 0.004, -1, False
"GO:0098813", "nuclear chromosome segregation", 1.234, null, null, 2.344, 0.856, 0.543, 51321, True
"GO:0140014", "mitotic nuclear division", 1.026, null, null, 2.265, 0.781, 0.603, 51321, True
"GO:0007052", "mitotic spindle organization", 0.521, null, null, 1.973, 0.760, 0.659, 51321, True
"GO:1902850", "microtubule cytoskeleton organization involved in mitosis", 0.678, null, null, 2.086, 0.754, 0.677, 51321, True
"GO:0007051", "spindle organization", 0.970, null, null, 2.241, 0.750, 0.707, 51321, True
"GO:0008608", "attachment of spindle microtubules to kinetochore", 0.129, null, null, 1.380, 0.878, 0.741, 51321, True
"GO:0007062", "sister chromatid cohesion", 0.269, null, null, 1.690, 0.738, 0.794, 51321, True
"GO:0000070", "mitotic sister chromatid segregation", 0.650, null, null, 2.068, 0.710, 0.873, 51321, True
"GO:0000819", "sister chromatid segregation", 0.807, null, null, 2.161, 0.715, 0.888, 51321, True
"GO:0007018", "microtubule-based movement", 1.906, -2.875, 7.540, 2.533, 0.911, 0.004, -1, False
"GO:0051298", "centrosome duplication", 0.202, null, null, 1.568, 0.782, 0.593, 7018, True
"GO:0031023", "microtubule organizing center organization", 0.572, null, null, 2.013, 0.812, 0.661, 7018, True
"GO:0010970", "transport along microtubule", 0.847, null, null, 2.182, 0.869, 0.690, 7018, True
"GO:0045229", "external encapsulating structure organization", 2.013, 2.788, 4.637, 2.556, 0.902, 0.004, -1, False
"GO:1905818", "regulation of chromosome separation", 0.398, -2.992, -1.370, 1.857, 0.895, 0.025, -1, False
"GO:0045787", "positive regulation of cell cycle", 2.120, null, null, 2.579, 0.881, 0.543, 1905818, True
"GO:0045930", "negative regulation of mitotic cell cycle", 1.609, null, null, 2.459, 0.868, 0.638, 1905818, True
"GO:1901987", "regulation of cell cycle phase transition", 2.490, null, null, 2.648, 0.875, 0.675, 1905818, True
"GO:0090068", "positive regulation of cell cycle process", 1.609, null, null, 2.459, 0.869, 0.776, 1905818, True
