TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0017053", "transcription repressor complex", 0.399, -3.134, -5.237, 1.881, 0.927, 0.000, -1, False
"GO:0031300", "intrinsic component of organelle membrane", 2.138, -3.149, 6.048, 2.605, 0.926, 0.000, -1, False
"GO:0005788", "endoplasmic reticulum lumen", 1.622, 5.042, 4.566, 2.486, 0.870, 0.032, -1, False
"GO:0000793", "condensed chromosome", 1.170, 5.644, -2.364, 2.344, 0.755, 0.033, -1, False
"GO:0019814", "immunoglobulin complex", 1.005, -5.823, -0.685, 2.279, 0.922, 0.172, -1, False
"GO:0098803", "respiratory chain complex", 0.457, -4.804, -4.123, 1.940, 0.915, 0.175, -1, False
"GO:0005814", "centriole", 0.755, 3.272, -5.305, 2.155, 0.692, 0.195, -1, False
"GO:0005819", "spindle", 2.026, null, null, 2.582, 0.665, 0.569, 5814, True
"GO:0072686", "mitotic spindle", 0.835, null, null, 2.199, 0.653, 0.575, 5814, True
"GO:0005874", "microtubule", 2.255, null, null, 2.628, 0.610, 0.649, 5814, True
"GO:0097431", "mitotic spindle pole", 0.181, null, null, 1.544, 0.691, 0.688, 5814, True
"GO:0000922", "spindle pole", 0.883, null, null, 2.223, 0.651, 0.803, 5814, True
"GO:0034399", "nuclear periphery", 0.681, 2.566, 5.280, 2.111, 0.858, 0.198, -1, False
"GO:0035770", "ribonucleoprotein granule", 1.303, 4.769, -4.601, 2.391, 0.753, 0.207, -1, False
"GO:0000776", "kinetochore", 0.728, null, null, 2.140, 0.713, 0.536, 35770, True
"GO:0005667", "transcription regulator complex", 2.217, -5.192, -2.386, 2.621, 0.916, 0.208, -1, False
"GO:0005681", "spliceosomal complex", 1.016, -3.340, -1.004, 2.283, 0.806, 0.208, -1, False
"GO:0071013", "catalytic step 2 spliceosome", 0.463, null, null, 1.944, 0.817, 0.642, 5681, True
"GO:0016605", "PML body", 0.548, 3.270, 4.162, 2.017, 0.827, 0.219, -1, False
"GO:0016607", "nuclear speck", 2.175, null, null, 2.613, 0.809, 0.668, 16605, True
"GO:0005774", "vacuolar membrane", 2.313, -3.982, 5.505, 2.639, 0.847, 0.352, -1, False
"GO:0005775", "vacuolar lumen", 0.915, null, null, 2.238, 0.824, 0.714, 5774, True
"GO:0098687", "chromosomal region", 1.787, 4.983, -2.655, 2.528, 0.746, 0.466, -1, False
"GO:0000228", "nuclear chromosome", 1.212, 4.531, 0.065, 2.360, 0.667, 0.468, -1, False
