TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001594", "trace-amine receptor activity", 0.039, -4.801, -5.441, 0.903, 0.990, 0.000, -1, False
"GO:0003735", "structural constituent of ribosome", 0.906, -4.217, 3.937, 2.217, 1.000, 0.000, -1, False
"GO:0017171", "serine hydrolase activity", 1.049, 6.597, -0.108, 2.281, 0.922, 0.000, -1, False
"GO:0030882", "lipid antigen binding", 0.028, 5.457, 4.512, 0.778, 0.998, 0.000, -1, False
"GO:0005549", "odorant binding", 0.712, -6.153, -2.224, 2.114, 0.998, 0.002, -1, False
"GO:0005132", "type I interferon receptor binding", 0.088, 3.868, -7.552, 1.230, 0.993, 0.002, -1, False
"GO:0036002", "pre-mRNA binding", 0.204, -0.944, -7.281, 1.580, 0.954, 0.002, -1, False
"GO:0003823", "antigen binding", 1.033, -1.246, 5.894, 2.274, 0.997, 0.002, -1, False
"GO:0042393", "histone binding", 1.331, 2.360, 5.856, 2.384, 0.991, 0.011, -1, False
"GO:0015631", "tubulin binding", 2.049, -1.574, -1.988, 2.571, 0.922, 0.015, -1, False
"GO:0008017", "microtubule binding", 1.491, null, null, 2.433, 0.923, 0.682, 15631, True
"GO:0140297", "DNA-binding transcription factor binding", 2.082, 0.124, 2.011, 2.577, 0.911, 0.016, -1, False
"GO:0061629", "RNA polymerase II-specific DNA-binding transcription factor binding", 1.508, null, null, 2.438, 0.911, 0.798, 140297, True
"GO:0003712", "transcription coregulator activity", 2.717, -5.843, 1.093, 2.693, 0.889, 0.030, -1, False
"GO:0003713", "transcription coactivator activity", 1.486, null, null, 2.431, 0.888, 0.511, 3712, True
"GO:0001216", "DNA-binding transcription activator activity", 2.474, null, null, 2.652, 0.884, 0.556, 3712, True
"GO:0008194", "UDP-glycosyltransferase activity", 0.806, 6.058, -3.400, 2.167, 0.920, 0.165, -1, False
"GO:0004175", "endopeptidase activity", 2.463, 6.415, -1.154, 2.650, 0.890, 0.403, -1, False
"GO:0003729", "mRNA binding", 1.618, -0.255, -7.312, 2.468, 0.954, 0.420, -1, False
"GO:0019787", "ubiquitin-like protein transferase activity", 2.530, 6.217, -2.344, 2.662, 0.887, 0.486, -1, False
