TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001906", "cell killing", 0.505, 6.924, -5.439, 1.959, 0.998, 0.000, -1, False
"GO:0015850", "organic hydroxy compound transport", 0.830, -3.286, 5.039, 2.173, 0.970, 0.000, -1, False
"GO:0022610", "biological adhesion", 5.310, 5.585, -5.603, 2.977, 1.000, 0.000, -1, False
"GO:0040007", "growth", 1.890, 2.134, -8.266, 2.529, 1.000, 0.000, -1, False
"GO:0040008", "regulation of growth", 3.533, 2.813, -8.142, 2.800, 0.967, 0.000, -1, False
"GO:0040011", "locomotion", 7.351, 2.439, -7.537, 3.118, 1.000, 0.000, -1, False
"GO:0042060", "wound healing", 2.428, -2.813, -6.329, 2.637, 0.945, 0.000, -1, False
"GO:0090130", "tissue migration", 0.533, 5.910, 1.400, 1.982, 0.969, 0.000, -1, False
"GO:0110148", "biomineralization", 0.488, -1.392, -1.027, 1.944, 1.000, 0.000, -1, False
"GO:0048659", "smooth muscle cell proliferation", 0.011, 2.484, -5.608, 0.477, 0.996, 0.002, -1, False
"GO:1904019", "epithelial cell apoptotic process", 0.146, -2.494, -0.400, 1.431, 0.990, 0.003, -1, False
"GO:0097190", "apoptotic signaling pathway", 1.525, null, null, 2.436, 0.913, 0.528, 1904019, True
"GO:0006915", "apoptotic process", 5.091, null, null, 2.959, 0.987, 0.747, 1904019, True
"GO:0031640", "killing of cells of other organism", 0.292, -2.882, -2.577, 1.724, 0.976, 0.003, -1, False
"GO:0031589", "cell-substrate adhesion", 1.032, 4.715, -6.288, 2.267, 0.991, 0.004, -1, False
"GO:0007160", "cell-matrix adhesion", 0.701, null, null, 2.100, 0.991, 0.585, 31589, True
"GO:0098609", "cell-cell adhesion", 2.860, null, null, 2.708, 0.990, 0.686, 31589, True
"GO:0045444", "fat cell differentiation", 0.533, 6.560, -3.143, 1.982, 0.947, 0.004, -1, False
"GO:0072593", "reactive oxygen species metabolic process", 0.634, -3.255, 0.665, 2.057, 0.985, 0.004, -1, False
"GO:0098813", "nuclear chromosome segregation", 1.234, 0.597, -3.153, 2.344, 0.979, 0.004, -1, False
"GO:0051321", "meiotic cell cycle", 1.262, null, null, 2.354, 0.979, 0.543, 98813, True
"GO:1903046", "meiotic cell cycle process", 0.914, null, null, 2.215, 0.978, 0.595, 98813, True
"GO:0140014", "mitotic nuclear division", 1.026, null, null, 2.265, 0.948, 0.603, 98813, True
"GO:0000070", "mitotic sister chromatid segregation", 0.650, null, null, 2.068, 0.934, 0.868, 98813, True
"GO:0000819", "sister chromatid segregation", 0.807, null, null, 2.161, 0.934, 0.888, 98813, True
"GO:0007059", "chromosome segregation", 1.564, 3.985, -7.641, 2.447, 0.997, 0.004, -1, False
"GO:0061919", "process utilizing autophagic mechanism", 1.615, 1.253, -1.945, 2.461, 0.997, 0.004, -1, False
"GO:0008283", "cell population proliferation", 2.596, 3.396, -7.827, 2.667, 0.997, 0.004, -1, False
"GO:0045229", "external encapsulating structure organization", 2.013, -6.418, -2.227, 2.556, 0.969, 0.005, -1, False
"GO:0046649", "lymphocyte activation", 2.097, 3.039, -3.150, 2.574, 0.943, 0.005, -1, False
"GO:0002274", "myeloid leukocyte activation", 3.269, null, null, 2.766, 0.940, 0.773, 46649, True
"GO:0030029", "actin filament-based process", 3.336, 4.679, -5.262, 2.775, 0.997, 0.005, -1, False
"GO:0001775", "cell activation", 5.961, 5.656, -6.568, 3.027, 0.997, 0.006, -1, False
"GO:0030104", "water homeostasis", 0.437, -0.295, 2.394, 1.898, 0.955, 0.024, -1, False
"GO:0055065", "metal ion homeostasis", 3.437, null, null, 2.788, 0.944, 0.594, 30104, True
"GO:0048871", "multicellular organismal homeostasis", 1.946, null, null, 2.542, 0.916, 0.597, 30104, True
"GO:0048878", "chemical homeostasis", 6.168, null, null, 3.042, 0.940, 0.709, 30104, True
"GO:0043547", "positive regulation of GTPase activity", 2.299, 1.492, 0.097, 2.614, 0.930, 0.030, -1, False
"GO:0043087", "regulation of GTPase activity", 2.708, null, null, 2.685, 0.932, 0.660, 43547, True
"GO:0052547", "regulation of peptidase activity", 2.523, null, null, 2.654, 0.886, 0.668, 43547, True
"GO:0051345", "positive regulation of hydrolase activity", 4.334, null, null, 2.889, 0.924, 0.722, 43547, True
"GO:2000116", "regulation of cysteine-type endopeptidase activity", 1.301, null, null, 2.367, 0.895, 0.766, 43547, True
"GO:0045862", "positive regulation of proteolysis", 2.052, null, null, 2.565, 0.881, 0.812, 43547, True
"GO:0045682", "regulation of epidermis development", 0.381, 2.103, 3.496, 1.839, 0.953, 0.031, -1, False
"GO:1904892", "regulation of receptor signaling pathway via STAT", 0.404, 1.174, 6.759, 1.863, 0.931, 0.031, -1, False
"GO:0048661", "positive regulation of smooth muscle cell proliferation", 0.454, 3.911, 2.761, 1.914, 0.934, 0.032, -1, False
"GO:0008285", "negative regulation of cell population proliferation", 3.740, null, null, 2.825, 0.923, 0.506, 48661, True
"GO:0050679", "positive regulation of epithelial cell proliferation", 1.037, null, null, 2.270, 0.926, 0.570, 48661, True
"GO:0060054", "positive regulation of epithelial cell proliferation involved in wound healing", 0.050, null, null, 1.000, 0.910, 0.644, 48661, True
"GO:1903589", "positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis", 0.050, null, null, 1.000, 0.944, 0.644, 48661, True
"GO:0008284", "positive regulation of cell population proliferation", 5.030, null, null, 2.953, 0.914, 0.699, 48661, True
"GO:1904035", "regulation of epithelial cell apoptotic process", 0.465, -3.456, -0.776, 1.924, 0.964, 0.032, -1, False
"GO:0010942", "positive regulation of cell death", 3.409, null, null, 2.785, 0.919, 0.502, 1904035, True
"GO:2001233", "regulation of apoptotic signaling pathway", 1.884, null, null, 2.528, 0.909, 0.598, 1904035, True
"GO:0060548", "negative regulation of cell death", 5.377, null, null, 2.982, 0.923, 0.697, 1904035, True
"GO:0045926", "negative regulation of growth", 1.335, 3.722, 6.243, 2.378, 0.947, 0.036, -1, False
"GO:0019216", "regulation of lipid metabolic process", 2.170, 6.753, 3.950, 2.589, 0.941, 0.039, -1, False
"GO:0032970", "regulation of actin filament-based process", 2.176, 3.757, -5.395, 2.590, 0.966, 0.039, -1, False
"GO:0002697", "regulation of immune effector process", 2.596, 6.429, -5.638, 2.667, 0.943, 0.040, -1, False
"GO:0002698", "negative regulation of immune effector process", 0.695, null, null, 2.097, 0.931, 0.514, 2697, True
"GO:0002920", "regulation of humoral immune response", 0.785, null, null, 2.149, 0.918, 0.521, 2697, True
"GO:0002819", "regulation of adaptive immune response", 0.936, null, null, 2.225, 0.916, 0.569, 2697, True
"GO:0002683", "negative regulation of immune system process", 2.153, null, null, 2.585, 0.921, 0.591, 2697, True
"GO:0050778", "positive regulation of immune response", 4.093, null, null, 2.864, 0.867, 0.688, 2697, True
"GO:0002684", "positive regulation of immune system process", 5.804, null, null, 3.015, 0.903, 0.733, 2697, True
"GO:0050776", "regulation of immune response", 5.669, null, null, 3.005, 0.897, 0.774, 2697, True
"GO:0010810", "regulation of cell-substrate adhesion", 1.189, 4.557, -7.335, 2.328, 0.958, 0.041, -1, False
"GO:0001952", "regulation of cell-matrix adhesion", 0.678, null, null, 2.086, 0.959, 0.655, 10810, True
"GO:0045785", "positive regulation of cell adhesion", 2.361, null, null, 2.625, 0.921, 0.755, 10810, True
"GO:0010811", "positive regulation of cell-substrate adhesion", 0.678, null, null, 2.086, 0.931, 0.877, 10810, True
"GO:0030155", "regulation of cell adhesion", 4.004, 3.801, -6.673, 2.854, 0.963, 0.048, -1, False
"GO:0043254", "regulation of protein-containing complex assembly", 2.506, -0.349, -2.030, 2.651, 0.956, 0.049, -1, False
"GO:0044087", "regulation of cellular component biogenesis", 5.484, 2.881, -6.826, 2.991, 0.961, 0.056, -1, False
"GO:0070371", "ERK1 and ERK2 cascade", 0.157, -5.356, -4.557, 1.462, 0.934, 0.079, -1, False
"GO:1903409", "reactive oxygen species biosynthetic process", 0.163, -6.433, 1.452, 1.477, 0.978, 0.082, -1, False
"GO:1901615", "organic hydroxy compound metabolic process", 2.613, -4.319, 1.229, 2.669, 0.985, 0.098, -1, False
"GO:0009636", "response to toxic substance", 1.290, 0.071, -7.776, 2.364, 0.942, 0.100, -1, False
"GO:0022600", "digestive system process", 0.409, 7.818, 1.676, 1.869, 0.961, 0.112, -1, False
"GO:0030277", "maintenance of gastrointestinal epithelium", 0.112, null, null, 1.322, 0.928, 0.818, 22600, True
"GO:0018212", "peptidyl-tyrosine modification", 0.892, -5.387, 3.326, 2.204, 0.973, 0.114, -1, False
"GO:0007586", "digestion", 0.634, 7.311, 1.944, 2.057, 0.969, 0.117, -1, False
"GO:0060435", "bronchiole development", 0.028, 7.275, -3.062, 0.778, 0.939, 0.118, -1, False
"GO:0009628", "response to abiotic stimulus", 6.286, -0.293, -4.983, 3.050, 0.959, 0.124, -1, False
"GO:0032922", "circadian regulation of gene expression", 0.376, 6.383, 2.770, 1.833, 0.924, 0.126, -1, False
"GO:0001816", "cytokine production", 0.454, 3.520, 0.224, 1.914, 0.952, 0.142, -1, False
"GO:0006629", "lipid metabolic process", 6.740, -4.358, 2.153, 3.080, 0.981, 0.150, -1, False
"GO:0002221", "pattern recognition receptor signaling pathway", 0.723, -4.948, -5.503, 2.114, 0.929, 0.159, -1, False
"GO:0008156", "negative regulation of DNA replication", 0.191, 4.825, 5.471, 1.544, 0.931, 0.162, -1, False
"GO:0009894", "regulation of catabolic process", 5.624, 6.398, 3.897, 3.002, 0.938, 0.177, -1, False
"GO:0061061", "muscle structure development", 2.473, 7.811, -1.717, 2.645, 0.943, 0.178, -1, False
