TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0044815", "DNA packaging complex", 0.447, 5.619, 3.222, 1.929, 0.978, 0.000, -1, False
"GO:0072562", "blood microparticle", 0.760, 1.379, 1.526, 2.158, 1.000, 0.000, -1, False
"GO:0045178", "basal part of cell", 1.388, 0.364, -8.336, 2.418, 1.000, 0.000, -1, False
"GO:0001726", "ruffle", 0.936, -1.854, -8.233, 2.248, 0.983, 0.000, -1, False
"GO:0045177", "apical part of cell", 2.207, 2.096, 6.746, 2.619, 1.000, 0.000, -1, False
"GO:0009986", "cell surface", 4.807, -7.030, 2.894, 2.957, 1.000, 0.000, -1, False
"GO:0030312", "external encapsulating structure", 3.004, 3.875, -5.414, 2.753, 0.924, 0.000, -1, False
"GO:0098552", "side of membrane", 3.361, 7.372, -0.130, 2.801, 0.958, 0.000, -1, False
"GO:0048471", "perinuclear region of cytoplasm", 3.813, 4.314, 5.592, 2.856, 0.964, 0.000, -1, False
"GO:0070161", "anchoring junction", 4.398, 2.690, 4.316, 2.918, 0.921, 0.000, -1, False
"GO:0005911", "cell-cell junction", 2.579, null, null, 2.687, 0.898, 0.583, 70161, True
"GO:0070160", "tight junction", 0.659, null, null, 2.097, 0.900, 0.688, 70161, True
"GO:0043296", "apical junction complex", 0.728, null, null, 2.140, 0.899, 0.717, 70161, True
"GO:0005912", "adherens junction", 0.915, null, null, 2.238, 0.897, 0.741, 70161, True
"GO:0005657", "replication fork", 0.346, -5.511, -3.243, 1.820, 0.886, 0.012, -1, False
"GO:0031983", "vesicle lumen", 1.739, -2.041, 2.800, 2.516, 0.873, 0.017, -1, False
"GO:0031984", "organelle subcompartment", 9.449, -7.002, 1.132, 3.250, 0.955, 0.040, -1, False
"GO:0005773", "vacuole", 4.259, -8.001, -0.497, 2.904, 0.949, 0.054, -1, False
"GO:0005774", "vacuolar membrane", 2.313, -0.128, 6.493, 2.639, 0.878, 0.090, -1, False
"GO:0001533", "cornified envelope", 0.239, 5.719, -2.849, 1.663, 0.923, 0.154, -1, False
"GO:0022626", "cytosolic ribosome", 0.585, -5.069, -5.370, 2.045, 0.878, 0.169, -1, False
"GO:0044391", "ribosomal subunit", 0.994, null, null, 2.274, 0.860, 0.896, 22626, True
"GO:0032993", "protein-DNA complex", 0.931, 6.346, 2.380, 2.246, 0.977, 0.173, -1, False
"GO:0016323", "basolateral plasma membrane", 1.159, 5.134, -4.517, 2.340, 0.879, 0.184, -1, False
"GO:0016324", "apical plasma membrane", 1.877, null, null, 2.549, 0.873, 0.608, 16323, True
"GO:0031253", "cell projection membrane", 1.797, null, null, 2.530, 0.857, 0.642, 16323, True
"GO:0005796", "Golgi lumen", 0.532, -4.062, 3.567, 2.004, 0.870, 0.188, -1, False
"GO:0098791", "Golgi apparatus subcompartment", 4.727, null, null, 2.949, 0.850, 0.541, 5796, True
"GO:0005882", "intermediate filament", 1.175, -3.682, -4.952, 2.346, 0.854, 0.190, -1, False
"GO:0000776", "kinetochore", 0.728, null, null, 2.140, 0.854, 0.530, 5882, True
"GO:0045095", "keratin filament", 0.537, null, null, 2.009, 0.863, 0.872, 5882, True
"GO:0005938", "cell cortex", 1.595, 2.944, -5.872, 2.479, 0.900, 0.192, -1, False
"GO:0009897", "external side of plasma membrane", 2.239, 4.149, -4.269, 2.625, 0.902, 0.201, -1, False
"GO:0062023", "collagen-containing extracellular matrix", 2.249, 2.582, -4.438, 2.627, 0.927, 0.201, -1, False
"GO:0098796", "membrane protein complex", 7.056, 5.397, 1.830, 3.123, 0.927, 0.238, -1, False
"GO:0098590", "plasma membrane region", 6.450, 3.475, -3.393, 3.084, 0.889, 0.250, -1, False
"GO:0005794", "Golgi apparatus", 8.593, -4.030, 5.341, 3.209, 0.849, 0.276, -1, False
"GO:0031226", "intrinsic component of plasma membrane", 9.215, 3.937, -3.007, 3.239, 0.883, 0.319, -1, False
"GO:0030864", "cortical actin cytoskeleton", 0.415, -1.070, -4.245, 1.898, 0.830, 0.370, -1, False
"GO:0012506", "vesicle membrane", 4.254, -0.676, 4.973, 2.904, 0.827, 0.387, -1, False
"GO:0000793", "condensed chromosome", 1.170, -5.181, -3.741, 2.344, 0.872, 0.390, -1, False
"GO:0030141", "secretory granule", 4.509, -2.881, 4.718, 2.929, 0.755, 0.399, -1, False
"GO:0099503", "secretory vesicle", 5.355, null, null, 3.003, 0.826, 0.596, 30141, True
"GO:0005768", "endosome", 5.227, null, null, 2.993, 0.785, 0.611, 30141, True
"GO:0035579", "specific granule membrane", 0.484, null, null, 1.964, 0.765, 0.657, 30141, True
"GO:0042581", "specific granule", 0.851, null, null, 2.207, 0.791, 0.704, 30141, True
"GO:0070820", "tertiary granule", 0.872, null, null, 2.217, 0.791, 0.707, 30141, True
"GO:0030667", "secretory granule membrane", 1.622, null, null, 2.486, 0.735, 0.767, 30141, True
"GO:0045111", "intermediate filament cytoskeleton", 1.393, -3.518, -4.459, 2.420, 0.883, 0.422, -1, False
"GO:0005783", "endoplasmic reticulum", 10.470, -4.330, 5.013, 3.294, 0.845, 0.451, -1, False
"GO:0098687", "chromosomal region", 1.787, -4.775, -3.464, 2.528, 0.867, 0.466, -1, False
"GO:0000228", "nuclear chromosome", 1.212, -4.415, -2.307, 2.360, 0.853, 0.468, -1, False
