TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003823", "antigen binding", 1.033, -4.356, 5.903, 2.274, 0.997, 0.000, -1, False
"GO:0005198", "structural molecule activity", 3.811, -1.135, -2.642, 2.839, 1.000, 0.000, -1, False
"GO:0005215", "transporter activity", 6.539, 2.386, -7.342, 3.074, 1.000, 0.000, -1, False
"GO:0017056", "structural constituent of nuclear pore", 0.155, -2.823, -7.222, 1.462, 0.968, 0.000, -1, False
"GO:0030674", "protein-macromolecule adaptor activity", 1.453, -1.982, 0.483, 2.422, 1.000, 0.000, -1, False
"GO:0060090", "molecular adaptor activity", 1.801, 1.882, 0.819, 2.515, 1.000, 0.000, -1, False
"GO:0019838", "growth factor binding", 0.762, -0.091, -7.959, 2.143, 0.987, 0.002, -1, False
"GO:0001594", "trace-amine receptor activity", 0.039, -6.098, -4.651, 0.903, 0.940, 0.002, -1, False
"GO:0008289", "lipid binding", 4.325, 4.338, -5.769, 2.894, 0.996, 0.003, -1, False
"GO:0004713", "protein tyrosine kinase activity", 0.768, 5.781, -3.878, 2.146, 0.963, 0.003, -1, False
"GO:0019199", "transmembrane receptor protein kinase activity", 0.458, null, null, 1.924, 0.925, 0.650, 4713, True
"GO:0044877", "protein-containing complex binding", 6.826, 6.456, -1.554, 3.092, 0.996, 0.004, -1, False
"GO:0043565", "sequence-specific DNA binding", 9.345, -3.696, 3.504, 3.229, 0.959, 0.004, -1, False
"GO:0000987", "cis-regulatory region sequence-specific DNA binding", 6.771, null, null, 3.089, 0.959, 0.679, 43565, True
"GO:0051019", "mitogen-activated protein kinase binding", 0.188, 3.801, 4.659, 1.544, 0.947, 0.011, -1, False
"GO:0050839", "cell adhesion molecule binding", 2.938, 3.241, -2.236, 2.727, 0.985, 0.015, -1, False
"GO:0005126", "cytokine receptor binding", 1.469, -6.889, 0.414, 2.427, 0.865, 0.016, -1, False
"GO:0001664", "G protein-coupled receptor binding", 1.585, null, null, 2.459, 0.864, 0.519, 5126, True
"GO:0045296", "cadherin binding", 1.789, -0.191, 3.880, 2.512, 0.986, 0.017, -1, False
"GO:0008134", "transcription factor binding", 3.557, -6.540, 4.098, 2.810, 0.985, 0.018, -1, False
"GO:0005102", "signaling receptor binding", 9.174, -1.849, 6.575, 3.221, 0.982, 0.022, -1, False
"GO:0042802", "identical protein binding", 10.637, 1.054, -4.988, 3.285, 0.982, 0.027, -1, False
"GO:0001217", "DNA-binding transcription repressor activity", 1.701, 5.786, 1.788, 2.490, 0.903, 0.028, -1, False
"GO:0001216", "DNA-binding transcription activator activity", 2.474, null, null, 2.652, 0.899, 0.598, 1217, True
"GO:0003700", "DNA-binding transcription factor activity", 8.008, null, null, 3.162, 0.891, 0.642, 1217, True
"GO:0019899", "enzyme binding", 11.217, 0.716, 6.605, 3.308, 0.982, 0.029, -1, False
"GO:0030234", "enzyme regulator activity", 6.915, -7.600, -2.336, 3.098, 0.936, 0.031, -1, False
"GO:0008509", "anion transmembrane transporter activity", 2.563, -3.922, -6.512, 2.667, 0.918, 0.206, -1, False
"GO:0015075", "ion transmembrane transporter activity", 5.280, null, null, 2.981, 0.917, 0.804, 8509, True
"GO:0051020", "GTPase binding", 1.823, 3.373, 4.993, 2.520, 0.937, 0.378, -1, False
"GO:0019900", "kinase binding", 4.087, null, null, 2.870, 0.934, 0.539, 51020, True
"GO:0140110", "transcription regulator activity", 10.676, 5.890, 1.318, 3.286, 0.911, 0.423, -1, False
"GO:0042379", "chemokine receptor binding", 0.365, -7.302, 0.652, 1.826, 0.863, 0.441, -1, False
"GO:0045236", "CXCR chemokine receptor binding", 0.099, null, null, 1.279, 0.874, 0.664, 42379, True
"GO:0022850", "serotonin-gated cation-selective channel activity", 0.028, -4.868, -5.569, 0.778, 0.885, 0.470, -1, False
"GO:0008083", "growth factor activity", 0.895, -7.017, -1.143, 2.212, 0.806, 0.486, -1, False
"GO:0005125", "cytokine activity", 1.287, null, null, 2.369, 0.800, 0.777, 8083, True
