TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003674", "molecular_function", 100.000, -5.786, -0.328, 4.258, 1.000, 0.000, -1, False
"GO:0004930", "G protein-coupled receptor activity", 4.877, 2.110, -6.733, 2.946, 0.700, 0.000, -1, False
"GO:0004888", "transmembrane signaling receptor activity", 7.274, null, null, 3.120, 0.689, 0.807, 4930, True
"GO:0038023", "signaling receptor activity", 8.334, null, null, 3.179, 0.686, 0.892, 4930, True
"GO:0005488", "binding", 89.628, -3.381, -5.273, 4.210, 1.000, 0.000, -1, False
"GO:0005515", "protein binding", 76.433, -3.337, 4.595, 4.141, 1.000, 0.000, -1, False
"GO:0016411", "acylglycerol O-acyltransferase activity", 0.144, 5.989, 1.199, 1.431, 0.917, 0.000, -1, False
"GO:0060089", "molecular transducer activity", 8.334, 2.167, 6.006, 3.179, 1.000, 0.000, -1, False
"GO:0017111", "nucleoside-triphosphatase activity", 4.761, 5.975, -1.960, 2.936, 0.718, 0.162, -1, False
"GO:0003777", "microtubule motor activity", 0.381, null, null, 1.845, 0.751, 0.657, 17111, True
"GO:0003774", "motor activity", 0.718, null, null, 2.117, 0.740, 0.709, 17111, True
