TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0002376", "immune system process", 15.644, -4.385, -7.849, 3.446, 1.000, 0.000, -1, False
"GO:0003014", "renal system process", 0.611, -5.362, 2.940, 2.041, 0.945, 0.000, -1, False
"GO:0008150", "biological_process", 100.000, -5.663, -7.035, 4.251, 1.000, 0.000, -1, False
"GO:0008283", "cell population proliferation", 2.596, -2.192, -8.539, 2.667, 0.998, 0.000, -1, False
"GO:0009987", "cellular process", 87.294, -7.638, -4.945, 4.192, 1.000, 0.000, -1, False
"GO:0022610", "biological adhesion", 5.310, -3.684, -8.025, 2.977, 1.000, 0.000, -1, False
"GO:0023052", "signaling", 30.274, -0.765, -8.584, 3.732, 1.000, 0.000, -1, False
"GO:0032501", "multicellular organismal process", 37.956, -1.389, -7.800, 3.831, 1.000, 0.000, -1, False
"GO:0032502", "developmental process", 31.401, -6.688, -5.153, 3.748, 1.000, 0.000, -1, False
"GO:0040008", "regulation of growth", 3.533, -5.961, -5.647, 2.800, 0.960, 0.000, -1, False
"GO:0040011", "locomotion", 7.351, -4.137, -6.964, 3.118, 1.000, 0.000, -1, False
"GO:0050896", "response to stimulus", 46.849, -4.227, -4.812, 3.922, 1.000, 0.000, -1, False
"GO:0051179", "localization", 32.118, -5.149, -5.216, 3.758, 1.000, 0.000, -1, False
"GO:0051606", "detection of stimulus", 4.004, 0.560, -5.876, 2.854, 0.965, 0.000, -1, False
"GO:0060021", "roof of mouth development", 0.482, -7.486, -2.189, 1.940, 0.909, 0.000, -1, False
"GO:0065007", "biological regulation", 70.248, -3.510, -5.847, 4.098, 1.000, 0.000, -1, False
"GO:0070085", "glycosylation", 1.441, 5.228, -2.052, 2.412, 0.989, 0.000, -1, False
"GO:0045216", "cell-cell junction organization", 1.021, 4.179, 4.328, 2.262, 0.976, 0.004, -1, False
"GO:0034329", "cell junction assembly", 1.531, null, null, 2.438, 0.973, 0.801, 45216, True
"GO:0031589", "cell-substrate adhesion", 1.032, -1.428, -8.603, 2.267, 0.990, 0.004, -1, False
"GO:0098609", "cell-cell adhesion", 2.860, null, null, 2.708, 0.989, 0.686, 31589, True
"GO:0007155", "cell adhesion", 5.271, null, null, 2.974, 0.988, 0.856, 31589, True
"GO:0072659", "protein localization to plasma membrane", 1.077, 6.381, -0.573, 2.286, 0.985, 0.004, -1, False
"GO:0008219", "cell death", 6.039, -3.052, -8.360, 3.033, 0.997, 0.005, -1, False
"GO:0006928", "movement of cell or subcellular component", 8.742, -6.778, -6.089, 3.193, 0.997, 0.007, -1, False
"GO:0007154", "cell communication", 30.711, -5.052, -7.450, 3.739, 0.996, 0.010, -1, False
"GO:0071840", "cellular component organization or biogenesis", 32.472, -3.181, -4.529, 3.763, 0.996, 0.015, -1, False
"GO:0010883", "regulation of lipid storage", 0.292, -5.703, 4.848, 1.724, 0.936, 0.030, -1, False
"GO:1902893", "regulation of pri-miRNA transcription by RNA polymerase II", 0.292, -0.927, 6.733, 1.724, 0.944, 0.030, -1, False
"GO:0048145", "regulation of fibroblast proliferation", 0.432, -4.460, 5.944, 1.892, 0.950, 0.032, -1, False
"GO:0051347", "positive regulation of transferase activity", 3.791, 1.165, 6.435, 2.831, 0.934, 0.032, -1, False
"GO:0051338", "regulation of transferase activity", 5.647, null, null, 3.003, 0.938, 0.550, 51347, True
"GO:0051336", "regulation of hydrolase activity", 7.245, null, null, 3.112, 0.935, 0.615, 51347, True
"GO:0043085", "positive regulation of catalytic activity", 7.850, null, null, 3.146, 0.932, 0.722, 51347, True
"GO:0045859", "regulation of protein kinase activity", 4.430, null, null, 2.898, 0.859, 0.849, 51347, True
"GO:0043549", "regulation of kinase activity", 5.047, null, null, 2.955, 0.869, 0.889, 51347, True
"GO:0010717", "regulation of epithelial to mesenchymal transition", 0.516, -0.444, 2.923, 1.968, 0.926, 0.032, -1, False
"GO:0030278", "regulation of ossification", 0.617, -1.616, 1.027, 2.045, 0.948, 0.033, -1, False
"GO:0032970", "regulation of actin filament-based process", 2.176, -2.470, -7.753, 2.590, 0.959, 0.039, -1, False
"GO:0002695", "negative regulation of leukocyte activation", 0.992, 3.267, 1.944, 2.250, 0.937, 0.040, -1, False
"GO:0050866", "negative regulation of cell activation", 1.088, null, null, 2.290, 0.936, 0.703, 2695, True
"GO:0040017", "positive regulation of locomotion", 3.039, -2.621, 6.079, 2.735, 0.900, 0.041, -1, False
"GO:0010594", "regulation of endothelial cell migration", 0.942, null, null, 2.228, 0.897, 0.675, 40017, True
"GO:0010632", "regulation of epithelial cell migration", 1.284, null, null, 2.362, 0.893, 0.702, 40017, True
"GO:0030334", "regulation of cell migration", 4.850, null, null, 2.938, 0.896, 0.845, 40017, True
"GO:0030335", "positive regulation of cell migration", 2.843, null, null, 2.706, 0.866, 0.851, 40017, True
"GO:2000145", "regulation of cell motility", 5.198, null, null, 2.968, 0.895, 0.921, 40017, True
"GO:2000147", "positive regulation of cell motility", 2.966, null, null, 2.724, 0.865, 0.958, 40017, True
"GO:0010810", "regulation of cell-substrate adhesion", 1.189, -4.974, -6.337, 2.328, 0.943, 0.041, -1, False
"GO:0010811", "positive regulation of cell-substrate adhesion", 0.678, null, null, 2.086, 0.913, 0.655, 10810, True
"GO:0022408", "negative regulation of cell-cell adhesion", 1.009, null, null, 2.258, 0.922, 0.684, 10810, True
"GO:0007162", "negative regulation of cell adhesion", 1.553, null, null, 2.444, 0.919, 0.719, 10810, True
"GO:0045785", "positive regulation of cell adhesion", 2.361, null, null, 2.625, 0.899, 0.781, 10810, True
"GO:1903038", "negative regulation of leukocyte cell-cell adhesion", 0.712, null, null, 2.107, 0.925, 0.860, 10810, True
"GO:0090287", "regulation of cellular response to growth factor stimulus", 1.525, 5.743, 1.998, 2.436, 0.938, 0.042, -1, False
"GO:0040012", "regulation of locomotion", 5.428, -1.832, -6.747, 2.986, 0.957, 0.044, -1, False
"GO:0065009", "regulation of molecular function", 21.762, -2.005, -2.433, 3.589, 0.956, 0.047, -1, False
"GO:0030155", "regulation of cell adhesion", 4.004, -6.206, -6.579, 2.854, 0.954, 0.048, -1, False
"GO:0050793", "regulation of developmental process", 13.351, -2.061, -5.560, 3.377, 0.949, 0.059, -1, False
"GO:0010941", "regulation of cell death", 8.960, -7.303, -5.491, 3.204, 0.947, 0.063, -1, False
"GO:0065008", "regulation of biological quality", 21.964, -0.995, -1.603, 3.593, 0.956, 0.069, -1, False
"GO:0042127", "regulation of cell population proliferation", 8.972, -3.032, -6.889, 3.204, 0.947, 0.070, -1, False
"GO:0051239", "regulation of multicellular organismal process", 14.484, -2.524, -3.504, 3.412, 0.948, 0.071, -1, False
"GO:0032879", "regulation of localization", 14.938, -1.637, -4.330, 3.426, 0.948, 0.073, -1, False
"GO:0051128", "regulation of cellular component organization", 13.115, 0.305, -1.874, 3.369, 0.943, 0.077, -1, False
"GO:0023051", "regulation of signaling", 18.925, -0.665, -2.874, 3.528, 0.945, 0.078, -1, False
"GO:0048583", "regulation of response to stimulus", 23.001, 3.983, -1.227, 3.613, 0.943, 0.089, -1, False
"GO:0010646", "regulation of cell communication", 18.728, 5.610, -4.282, 3.524, 0.939, 0.092, -1, False
"GO:0048519", "negative regulation of biological process", 29.533, 3.437, -0.272, 3.722, 0.939, 0.103, -1, False
"GO:0031668", "cellular response to extracellular stimulus", 1.267, 1.529, -4.315, 2.356, 0.942, 0.106, -1, False
"GO:0009267", "cellular response to starvation", 0.880, null, null, 2.199, 0.941, 0.887, 31668, True
