TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003674", "molecular_function", 100.000, -1.574, -6.600, 4.258, 1.000, 0.000, -1, False
"GO:0005198", "structural molecule activity", 3.811, 5.836, 3.827, 2.839, 1.000, 0.000, -1, False
"GO:0005201", "extracellular matrix structural constituent", 0.939, -2.495, 7.017, 2.233, 0.948, 0.000, -1, False
"GO:0030020", "extracellular matrix structural constituent conferring tensile strength", 0.226, null, null, 1.623, 0.948, 0.584, 5201, True
"GO:0005488", "binding", 89.628, 3.497, 6.165, 4.210, 1.000, 0.000, -1, False
"GO:0016758", "transferase activity, transferring hexosyl groups", 1.132, -6.825, 2.298, 2.314, 0.987, 0.000, -1, False
"GO:0017154", "semaphorin receptor activity", 0.066, 2.320, 2.036, 1.114, 0.996, 0.000, -1, False
"GO:0019838", "growth factor binding", 0.762, 1.488, -6.578, 2.143, 0.985, 0.000, -1, False
"GO:0044877", "protein-containing complex binding", 6.826, 1.603, -2.316, 3.092, 0.995, 0.003, -1, False
"GO:0003676", "nucleic acid binding", 21.877, 4.439, -5.061, 3.598, 0.994, 0.005, -1, False
"GO:0098632", "cell-cell adhesion mediator activity", 0.271, -4.477, -5.531, 1.699, 0.872, 0.012, -1, False
"GO:0005178", "integrin binding", 0.784, null, null, 2.155, 0.864, 0.636, 98632, True
"GO:0045296", "cadherin binding", 1.789, null, null, 2.512, 0.859, 0.772, 98632, True
"GO:0005515", "protein binding", 76.433, 0.601, 7.136, 4.141, 0.992, 0.013, -1, False
"GO:0050839", "cell adhesion molecule binding", 2.938, -1.920, 2.884, 2.727, 0.982, 0.015, -1, False
"GO:0031625", "ubiquitin protein ligase binding", 1.613, -6.675, -3.103, 2.467, 0.894, 0.017, -1, False
"GO:0019901", "protein kinase binding", 3.640, null, null, 2.820, 0.887, 0.522, 31625, True
"GO:0019900", "kinase binding", 4.087, null, null, 2.870, 0.886, 0.597, 31625, True
"GO:0005102", "signaling receptor binding", 9.174, -5.332, 5.381, 3.221, 0.979, 0.021, -1, False
"GO:0098772", "molecular function regulator", 12.957, 6.633, 0.686, 3.371, 0.996, 0.022, -1, False
"GO:0042802", "identical protein binding", 10.637, -2.680, -1.750, 3.285, 0.979, 0.027, -1, False
"GO:0019899", "enzyme binding", 11.217, 6.152, -2.320, 3.308, 0.979, 0.029, -1, False
"GO:0140326", "ATPase-coupled intramembrane lipid transporter activity", 0.138, -7.148, 0.298, 1.415, 0.983, 0.140, -1, False
