"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005911","GO:0005911","cell-cell junction","66/896","470/19703",2.59948512178772e-16,2.59948512178772e-16,1.2504891585863e-13,"BAIAP2L1/CDH1/CDH3/COL17A1/PRKCZ/FSCN1/TRAF4/GRHL2/AKR1B1/B4GALT1/EPB41L4B/DSP/SMAD7/LSR/CYTH1/PMP22/CCND1/KRT18/PERP/KLHL24/PARD3B/PPL/EPCAM/PARD6B/CRB3/PATJ/DSC2/CCN3/TRIM29/SHROOM3/CDH11/WTIP/EPHA2/CNKSR1/ATP1B1/CGN/ANK2/FRMD4A/MARVELD2/PCDH1/MYO1E/F11R/MXRA8/FZD5/CLDN1/STEAP1/AQP3/JCAD/CLMP/PLEKHA7/EVPL/KRT8/SYNPO/HEG1/JUP/BAIAP2/CDC42EP4/CLDN7/IQGAP3/SCN5A/TACSTD2/PKP3/GJB3/CLDN4/OCLN/EPPK1",66
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","55/896","418/19703",1.28866444138014e-12,1.28866444138014e-12,3.09957710374066e-10,"SEMA3B/TNC/COL9A2/LAMC2/COL17A1/NTN4/COL4A4/LAMB1/CCDC80/TGFB2/TIMP3/PDGFB/SRPX/RARRES2/MEGF9/OGN/ASPN/ECM2/COL1A1/CTSC/MDK/LAMA4/FN1/F3/CTSD/TGFBI/FMOD/OMD/GDF15/LAMA5/MATN2/COL4A2/CCN3/FRAS1/LUM/MFGE8/COL6A1/COL6A2/HSPG2/ECM1/FLG/ADAMTS1/COL6A3/ADAMTS9/EDIL3/COL1A2/HTRA1/TNXB/SDC2/VWA1/COL18A1/GPC6/COL27A1/SERPINA1/TGM2",55
"GO:0043296","GO:0043296","apical junction complex","29/896","143/19703",9.22538840119702e-12,9.22538840119702e-12,1.47929912257791e-09,"CDH1/PRKCZ/TRAF4/EPB41L4B/CYTH1/PMP22/CCND1/PARD3B/EPCAM/PARD6B/CRB3/PATJ/SHROOM3/CGN/FRMD4A/MARVELD2/F11R/MXRA8/FZD5/CLDN1/CLMP/PLEKHA7/SYNPO/JUP/CLDN7/TACSTD2/CLDN4/OCLN/EPPK1",29
"GO:0070160","GO:0070160","tight junction","27/896","128/19703",1.83259808839694e-11,1.83259808839694e-11,2.20394033262474e-09,"PRKCZ/TRAF4/EPB41L4B/LSR/CYTH1/PMP22/CCND1/PARD3B/EPCAM/PARD6B/CRB3/PATJ/EPHA2/CGN/FRMD4A/MARVELD2/F11R/MXRA8/FZD5/CLDN1/CLMP/SYNPO/CLDN7/TACSTD2/CLDN4/OCLN/EPPK1",27
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","44/896","318/19703",4.51512208323435e-11,4.51512208323435e-11,4.34402272008021e-09,"TNC/COL9A2/COL17A1/FSTL3/MGAT4A/PTGS2/EDN1/COL4A4/TXNDC16/LAMB1/TSPAN15/PDGFB/APOL1/MSLN/COL1A1/WFS1/CTSC/FN1/BMP4/C3/COL4A2/IL6/MFGE8/COL6A1/COL6A2/RCN3/IGFBP1/MXRA8/COL6A3/EOGT/POGLUT1/COL1A2/PCSK9/SDC2/PNPLA2/POGLUT3/VWA1/COL18A1/GAS6/ARSI/CSF1/COL27A1/SERPINA1/COLGALT2",44
"GO:0005923","GO:0005923","bicellular tight junction","25/896","123/19703",2.37066725640579e-10,2.37066725640579e-10,1.90069287048674e-08,"PRKCZ/TRAF4/EPB41L4B/CYTH1/PMP22/CCND1/PARD3B/EPCAM/PARD6B/CRB3/PATJ/CGN/FRMD4A/MARVELD2/F11R/MXRA8/FZD5/CLDN1/CLMP/SYNPO/CLDN7/TACSTD2/CLDN4/OCLN/EPPK1",25
"GO:0005604","GO:0005604","basement membrane","21/896","94/19703",1.04940778865964e-09,1.04940778865964e-09,7.21171969048803e-08,"TNC/COL9A2/LAMC2/COL17A1/NTN4/COL4A4/LAMB1/CCDC80/TIMP3/MEGF9/LAMA4/FN1/TGFBI/LAMA5/MATN2/COL4A2/FRAS1/HSPG2/ADAMTS1/VWA1/COL18A1",21
"GO:0002116","GO:0002116","semaphorin receptor complex","7/896","11/19703",1.10476177379643e-07,1.10476177379643e-07,6.64310698190749e-06,"PLXNA2/PLXNA1/PLXNA3/PLXNB1/PLXNB2/PLXNB3/PLXNA4",7
"GO:0016324","GO:0016324","apical plasma membrane","37/896","331/19703",4.51855754820768e-07,4.51855754820768e-07,2.41518222167358e-05,"RAB27B/SLC9A3R2/ERBB3/ASPM/PRKCZ/SLC23A2/ITPK1/ARHGEF18/FOLR1/SCNN1A/FN1/PARD3B/EPCAM/PARD6B/RAB17/CRB3/HIP1R/PATJ/LMO7/SHROOM3/ATP1B1/ANK2/ATP6V0D2/MAL2/SLC39A4/MARVELD2/CNKSR3/STC1/IL6R/AQP5/SHANK2/CLDN1/SLC6A20/MUC1/CLDN4/OCLN/AQP1",37
"GO:0016323","GO:0016323","basolateral plasma membrane","28/896","222/19703",1.04969849091878e-06,1.04969849091878e-06,5.04960221420931e-05,"CD38/ANK1/ERBB3/B4GALT1/SLC4A11/SLC23A2/DSP/PDGFB/FOLR1/EPCAM/RAB17/MAP7/ATP1B1/ANK2/ST14/MARVELD2/SLC7A7/IL6R/AQP5/TGFA/CLDN1/HPGD/AQP3/CLDN7/TACSTD2/CLDN4/AQP1/EPPK1",28
