"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","35/868","176/18066",5.72643333147873e-13,5.72643333147873e-13,4.34606150736438e-10,"ANOS1/TNC/COL9A2/LAMC2/COL17A1/COL4A4/LAMB1/SRPX/OGN/ASPN/COL1A1/LAMA4/FN1/TGFBI/FMOD/LAMA5/MATN2/COL4A2/FRAS1/LUM/MFGE8/COL6A1/COL6A2/HSPG2/TUFT1/ECM1/MUC4/COL6A3/EDIL3/COL1A2/TNXB/VWA1/COL18A1/COL27A1/MUC5AC",35
"GO:0019838","GO:0019838","growth factor binding","23/868","137/18066",1.48146885445102e-07,1.48146885445102e-07,5.62178444241678e-05,"CCN5/ERBB3/TGFBR3/PDGFB/COL1A1/IL1R1/DUSP1/KDR/TWSG1/ITGB4/CCN3/FGFBP1/BMPR1B/IGF1R/COL6A1/IGFBP1/IL6R/COL1A2/HTRA1/IGFBP6/VASN/SCN5A/ITGB3",23
"GO:0017154","GO:0017154","semaphorin receptor activity","7/868","12/18066",3.69735373646754e-07,3.69735373646754e-07,8.55868172283988e-05,"PLXNA2/PLXNA1/PLXNA3/PLXNB1/PLXNB2/PLXNB3/PLXNA4",7
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","13/868","50/18066",4.51081699678107e-07,4.51081699678107e-07,8.55868172283988e-05,"BAIAP2L1/DSP/KRT18/EPCAM/VSTM2L/DSC2/TRIM29/ROBO4/JUP/BAIAP2/TACSTD2/PKP3/PLXNB3",13
"GO:0098631","GO:0098631","cell adhesion mediator activity","13/868","59/18066",3.4447333073023e-06,3.4447333073023e-06,0.000522874255697887,"BAIAP2L1/DSP/KRT18/EPCAM/VSTM2L/DSC2/TRIM29/ROBO4/JUP/BAIAP2/TACSTD2/PKP3/PLXNB3",13
"GO:0045296","GO:0045296","cadherin binding","36/868","333/18066",4.87239761715653e-06,4.87239761715653e-06,0.000616315558240326,"BAIAP2L1/GPRC5A/CDH1/CDH3/SLC9A3R2/FSCN1/GOLGA3/TBC1D2/UBFD1/KRT18/PPL/EPCAM/GIPC1/MMP24/KDR/ARHGEF16/TES/FLNB/TRIM29/CDH11/EPHA2/CGN/PHLDB2/ARHGAP18/CCNB2/FMNL2/F11R/S100P/GOLGA2/EVPL/VASN/JUP/BAIAP2/EPS8L2/TACSTD2/PKP3",36
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","11/868","47/18066",1.04956395822336e-05,1.04956395822336e-05,0.00103280760574338,"COL9A2/COL17A1/COL4A4/COL1A1/COL4A2/COL6A1/COL6A2/COL6A3/COL1A2/COL18A1/COL27A1",11
"GO:0005178","GO:0005178","integrin binding","20/868","139/18066",1.08867375917472e-05,1.08867375917472e-05,0.00103280760574338,"CX3CL1/CCN5/LAMB1/ITGB8/ECM2/ITGB6/FN1/TGFBI/TSPAN8/KDR/LAMA5/ITGB4/CCN3/MFGE8/NRG1/ITGB2/EDIL3/TNXB/ISG15/ITGB3",20
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","7/868","19/18066",1.74843398894802e-05,1.74843398894802e-05,0.00147441041641114,"BAIAP2L1/KRT18/EPCAM/TRIM29/BAIAP2/TACSTD2/PKP3",7
"GO:0005520","GO:0005520","insulin-like growth factor binding","8/868","28/18066",3.61908347271705e-05,3.61908347271705e-05,0.00274669387771473,"CCN5/ITGB4/CCN3/IGF1R/IGFBP1/HTRA1/IGFBP6/ITGB3",8
"GO:0008083","GO:0008083","growth factor activity","21/868","164/18066",4.01234252460297e-05,4.01234252460297e-05,0.00276832436386482,"TYMP/GRN/TGFB2/PDGFB/OGN/DKK1/MDK/PGF/INHBA/EREG/BMP4/GDF15/IL6/CCN3/NRG1/IL6R/INHBB/TGFA/BDNF/CSF1/JAG2",21
"GO:0097110","GO:0097110","scaffold protein binding","11/868","59/18066",9.95900496172072e-05,9.95900496172072e-05,0.00629863383982512,"DSP/CAV2/KRT18/CIT/ITPR2/LRP4/NLGN1/KRT8/KRT15/BAIAP2/SCN5A",11
