TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001101", "response to acid chemical", 0.662, 2.825, -1.715, 2.076, 0.960, 0.000, -1, False
"GO:0031099", "regeneration", 0.858, -6.738, 4.401, 2.188, 0.853, 0.000, -1, False
"GO:0032963", "collagen metabolic process", 0.342, -3.927, 8.172, 1.792, 0.985, 0.000, -1, False
"GO:0043030", "regulation of macrophage activation", 0.308, 1.198, 0.957, 1.748, 0.983, 0.000, -1, False
"GO:0048144", "fibroblast proliferation", 0.006, 0.027, -3.710, 0.301, 0.992, 0.000, -1, False
"GO:0090130", "tissue migration", 0.533, -3.835, -3.028, 1.982, 0.897, 0.000, -1, False
"GO:0031589", "cell-substrate adhesion", 1.032, -5.064, 7.978, 2.267, 0.990, 0.002, -1, False
"GO:0034446", "substrate adhesion-dependent cell spreading", 0.314, null, null, 1.756, 0.769, 0.539, 31589, True
"GO:0007411", "axon guidance", 1.497, null, null, 2.428, 0.627, 0.685, 31589, True
"GO:1902287", "semaphorin-plexin signaling pathway involved in axon guidance", 0.062, null, null, 1.079, 0.692, 0.713, 31589, True
"GO:0097485", "neuron projection guidance", 1.503, null, null, 2.430, 0.630, 0.841, 31589, True
"GO:1902285", "semaphorin-plexin signaling pathway involved in neuron projection guidance", 0.073, null, null, 1.146, 0.689, 0.844, 31589, True
"GO:0001667", "ameboidal-type cell migration", 0.976, 3.481, 5.915, 2.243, 0.947, 0.004, -1, False
"GO:0043542", "endothelial cell migration", 0.376, null, null, 1.833, 0.844, 0.544, 1667, True
"GO:0050900", "leukocyte migration", 2.103, null, null, 2.575, 0.943, 0.654, 1667, True
"GO:0010631", "epithelial cell migration", 0.482, null, null, 1.940, 0.841, 0.966, 1667, True
"GO:0090132", "epithelium migration", 0.499, null, null, 1.954, 0.875, 0.979, 1667, True
"GO:0030198", "extracellular matrix organization", 1.996, -2.002, -6.740, 2.553, 0.975, 0.004, -1, False
"GO:0030278", "regulation of ossification", 0.617, 1.638, 7.108, 2.045, 0.948, 0.026, -1, False
"GO:1902895", "positive regulation of pri-miRNA transcription by RNA polymerase II", 0.224, 3.802, 3.777, 1.613, 0.961, 0.029, -1, False
"GO:0032970", "regulation of actin filament-based process", 2.176, 0.562, -0.975, 2.590, 0.979, 0.035, -1, False
"GO:0048145", "regulation of fibroblast proliferation", 0.432, 5.149, -1.143, 1.892, 0.966, 0.037, -1, False
"GO:0010717", "regulation of epithelial to mesenchymal transition", 0.516, -1.662, 7.963, 1.968, 0.934, 0.037, -1, False
"GO:0090287", "regulation of cellular response to growth factor stimulus", 1.525, 0.495, -6.271, 2.436, 0.968, 0.042, -1, False
"GO:0007162", "negative regulation of cell adhesion", 1.553, -0.148, 5.235, 2.444, 0.966, 0.043, -1, False
"GO:0061614", "pri-miRNA transcription by RNA polymerase II", 0.006, 3.419, 1.246, 0.301, 0.967, 0.055, -1, False
"GO:0071526", "semaphorin-plexin signaling pathway", 0.207, 4.066, -3.748, 1.580, 0.950, 0.072, -1, False
"GO:0070085", "glycosylation", 1.441, 1.634, 2.735, 2.412, 0.983, 0.086, -1, False
"GO:0003014", "renal system process", 0.611, -5.566, -4.383, 2.041, 0.893, 0.116, -1, False
"GO:0018108", "peptidyl-tyrosine phosphorylation", 0.875, 5.198, 1.568, 2.196, 0.956, 0.119, -1, False
"GO:0018212", "peptidyl-tyrosine modification", 0.892, null, null, 2.204, 0.956, 0.605, 18108, True
"GO:0001503", "ossification", 1.424, -7.804, -2.961, 2.407, 0.887, 0.129, -1, False
"GO:0048871", "multicellular organismal homeostasis", 1.946, -6.667, -3.190, 2.542, 0.864, 0.147, -1, False
"GO:0050730", "regulation of peptidyl-tyrosine phosphorylation", 1.435, 4.346, 4.679, 2.410, 0.956, 0.151, -1, False
"GO:0061097", "regulation of protein tyrosine kinase activity", 0.550, null, null, 1.996, 0.950, 0.535, 50730, True
"GO:0061098", "positive regulation of protein tyrosine kinase activity", 0.359, null, null, 1.813, 0.941, 0.772, 50730, True
"GO:0050731", "positive regulation of peptidyl-tyrosine phosphorylation", 1.077, null, null, 2.286, 0.935, 0.859, 50730, True
"GO:0031668", "cellular response to extracellular stimulus", 1.267, 3.126, -4.632, 2.356, 0.935, 0.155, -1, False
"GO:0009267", "cellular response to starvation", 0.880, null, null, 2.199, 0.936, 0.887, 31668, True
"GO:0031669", "cellular response to nutrient levels", 1.133, null, null, 2.307, 0.934, 0.936, 31668, True
