GO:0070060	'de_novo'_actin_filament_nucleation
GO:0044208	'de_novo'_amp_biosynthetic_process
GO:0051083	'de_novo'_cotranslational_protein_folding
GO:0044210	'de_novo'_ctp_biosynthetic_process
GO:0042351	'de_novo'_gdp_l_fucose_biosynthetic_process
GO:0006189	'de_novo'_imp_biosynthetic_process
GO:0071266	'de_novo'_l_methionine_biosynthetic_process
GO:0034627	'de_novo'_nad_biosynthetic_process
GO:0034628	'de_novo'_nad_biosynthetic_process_from_aspartate
GO:0034354	'de_novo'_nad_biosynthetic_process_from_tryptophan
GO:0051084	'de_novo'_posttranslational_protein_folding
GO:0006458	'de_novo'_protein_folding
GO:0036001	'de_novo'_pyridoxal_5'_phosphate_biosynthetic_process
GO:0006207	'de_novo'_pyrimidine_nucleobase_biosynthetic_process
GO:0044205	'de_novo'_ump_biosynthetic_process
GO:0097294	'de_novo'_xmp_biosynthetic_process
GO:0102201	(+)_2_epi_prezizaene_synthase_activity
GO:1901708	(+)_3'_hydroxylarreatricin_biosynthetic_process
GO:0010295	(+)_abscisic_acid_8'_hydroxylase_activity
GO:1902418	(+)_abscisic_acid_d_glucopyranosyl_ester_transmembrane_transport
GO:1902417	(+)_abscisic_acid_d_glucopyranosyl_ester_transmembrane_transporter_activity
GO:0102878	(+)_alpha_barbatene_synthase_activity
GO:0102881	(+)_beta_barbatene_synthase_activity
GO:0102883	(+)_beta_chamigrene_synthase_activity
GO:0047500	(+)_borneol_dehydrogenase_activity
GO:0046211	(+)_camphor_biosynthetic_process
GO:0019383	(+)_camphor_catabolic_process
GO:0018882	(+)_camphor_metabolic_process
GO:0102947	(+)_delta_cadinene_8_hydroxylase_activity
GO:0047461	(+)_delta_cadinene_synthase_activity
GO:1901943	(+)_epi_alpha_bisabolol_biosynthetic_process
GO:1901942	(+)_epi_alpha_bisabolol_catabolic_process
GO:1901941	(+)_epi_alpha_bisabolol_metabolic_process
GO:1900596	(+)_kotanin_biosynthetic_process
GO:1900595	(+)_kotanin_catabolic_process
GO:1900594	(+)_kotanin_metabolic_process
GO:1902132	(+)_lariciresinol_biosynthetic_process
GO:1902131	(+)_lariciresinol_catabolic_process
GO:1902130	(+)_lariciresinol_metabolic_process
GO:1901709	(+)_larreatricin_metabolic_process
GO:0052582	(+)_menthofuran_synthase_activity
GO:0047501	(+)_neomenthol_dehydrogenase_activity
GO:1902126	(+)_pinoresinol_biosynthetic_process
GO:1902125	(+)_pinoresinol_catabolic_process
GO:1902124	(+)_pinoresinol_metabolic_process
GO:0052579	(+)_pulegone_reductase,_(+)_isomenthone_as_substrate,_activity
GO:0052580	(+)_pulegone_reductase,_(_)_menthone_as_substrate,_activity
GO:0047502	(+)_sabinol_dehydrogenase_activity
GO:1902135	(+)_secoisolariciresinol_biosynthetic_process
GO:1902134	(+)_secoisolariciresinol_catabolic_process
GO:0102610	(+)_secoisolariciresinol_glucosyltransferase_activity
GO:1902133	(+)_secoisolariciresinol_metabolic_process
GO:0102611	(+)_secoisolariciresinol_monoglucoside_glucosyltransferase_activity
GO:0102423	(+)_sesaminol_2_o_glucosyltransferase_activity
GO:0102405	(+)_taxifolin_5'_hydroxylase_activity
GO:0102879	(+)_thujopsene_synthase_activity
GO:0033702	(+)_trans_carveol_dehydrogenase_activity
GO:0047470	(1,4)_alpha_d_glucan_1_alpha_d_glucosylmutase_activity
GO:0102518	(11z)_eicosenoate_14_hydroxylase_activity
GO:0102305	(13e)_labda_7,13_dien_15_ol_synthase_activity
GO:0062204	(13s)_vitexifolin_a_synthase_activity
GO:1900581	(17z)_protosta_17(20),24_dien_3beta_ol_biosynthetic_process
GO:1900580	(17z)_protosta_17(20),24_dien_3beta_ol_catabolic_process
GO:1900579	(17z)_protosta_17(20),24_dien_3beta_ol_metabolic_process
GO:2001077	(1_>3),(1_>4)_beta_glucan_binding
GO:0070596	(1_>3)_alpha_glucan_biosynthetic_process
GO:0070595	(1_>3)_alpha_glucan_metabolic_process
GO:0001872	(1_>3)_beta_d_glucan_binding
GO:0006075	(1_>3)_beta_d_glucan_biosynthetic_process
GO:0006076	(1_>3)_beta_d_glucan_catabolic_process
GO:0001874	(1_>3)_beta_d_glucan_immune_receptor_activity
GO:0006074	(1_>3)_beta_d_glucan_metabolic_process
GO:0070630	(1_>4)_alpha_glucan_biosynthetic_process
GO:0070629	(1_>4)_alpha_glucan_metabolic_process
GO:2001081	(1_>4)_beta_d_galactan_binding
GO:2001078	(1_>6)_beta_d_glucan_binding
GO:0006078	(1_>6)_beta_d_glucan_biosynthetic_process
GO:0006079	(1_>6)_beta_d_glucan_catabolic_process
GO:0006077	(1_>6)_beta_d_glucan_metabolic_process
GO:0047446	(1_hydroxycyclohexan_1_yl)acetyl_coa_lyase_activity
GO:0034579	(1_methylpentyl)succinate_synthase_activity
GO:0008668	(2,3_dihydroxybenzoyl)adenylate_synthase_activity
GO:0102097	(22s)_22_hydroxy_5alpha_campestan_3_one_c_23_hydroxylase_activity
GO:0102135	(22s)_22_hydroxy_campest_4_en_3_one_c_23_hydroxylase_activity
GO:0102134	(22s)_22_hydroxy_campesterol_c_23_hydroxylase_activity
GO:1902051	(25s)_delta(4)_dafachronate_binding
GO:1902057	(25s)_delta(4)_dafachronate_metabolic_process
GO:1902052	(25s)_delta(7)_dafachronate_binding
GO:1902056	(25s)_delta(7)_dafachronate_metabolic_process
GO:0052920	(2r)_2_hydroxy_2_methylbutanenitrile_lyase_activity
GO:0061923	(2s,3r,6s,9s)_(_)_protoillud_7_ene_synthase_activity
GO:0034830	(2z)_2,4_dihydroxydec_2_enedioate_aldolase_activity
GO:0018749	(3,5_dichlorophenylurea)acetate_amidohydrolase_activity
GO:0046550	(3_aminopropyl)(l_aspartyl_1_amino)phosphoryl_5'_adenosine_biosynthetic_process_from_asparagine
GO:0097008	(3e)_4,8_dimethyl_1,3,7_nonatriene_synthase_activity
GO:0102145	(3r)_(e)_nerolidol_synthase_activity
GO:0052687	(3r)_3_isopropenyl_6_oxoheptanoate:coa_ligase_(adp_forming)_activity
GO:0052688	(3r)_3_isopropenyl_6_oxoheptanoate:coa_ligase_(amp_forming)_activity
GO:0008659	(3r)_hydroxymyristoyl_[acyl_carrier_protein]_dehydratase_activity
GO:0120086	(3s)_(+)_asterisca_2(9),6_diene_synthase_activity
GO:0047120	(3s,4r)_3,4_dihydroxycyclohexa_1,5_diene_1,4_dicarboxylate_dehydrogenase_activity
GO:0106009	(4s)_4_hydroxy_2_oxoglutarate_aldolase_activity
GO:0002952	(4s)_4_hydroxy_5_phosphonooxypentane_2,3_dione_isomerase_activity
GO:0050552	(4s)_limonene_synthase_activity
GO:0102679	(5alpha)_campestan_3_one_hydroxylase_activity
GO:0047503	(_)_borneol_dehydrogenase_activity
GO:0080016	(_)_e_beta_caryophyllene_synthase_activity
GO:0050437	(_)_endo_fenchol_synthase_activity
GO:1901940	(_)_exo_alpha_bergamotene_biosynthetic_process
GO:1901939	(_)_exo_alpha_bergamotene_catabolic_process
GO:1901938	(_)_exo_alpha_bergamotene_metabolic_process
GO:0052581	(_)_isopiperitenone_reductase_activity
GO:0102053	(_)_jasmonoyl_isoleucine_synthetase_activity
GO:0102912	(_)_lactol_dehydrogenase_activity
GO:1902129	(_)_lariciresinol_biosynthetic_process
GO:1902128	(_)_lariciresinol_catabolic_process
GO:1902127	(_)_lariciresinol_metabolic_process
GO:0047504	(_)_menthol_dehydrogenase_activity
GO:0047505	(_)_menthol_monooxygenase_activity
GO:1901512	(_)_microperfuranone_biosynthetic_process
GO:1901511	(_)_microperfuranone_catabolic_process
GO:1901510	(_)_microperfuranone_metabolic_process
GO:1901599	(_)_pinoresinol_biosynthetic_process
GO:1902123	(_)_pinoresinol_catabolic_process
GO:1901598	(_)_pinoresinol_metabolic_process
GO:1902138	(_)_secoisolariciresinol_biosynthetic_process
GO:1902137	(_)_secoisolariciresinol_catabolic_process
GO:0102911	(_)_secoisolariciresinol_dehydrogenase_activity
GO:1902136	(_)_secoisolariciresinol_metabolic_process
GO:1900994	(_)_secologanin_biosynthetic_process
GO:1900993	(_)_secologanin_catabolic_process
GO:1900992	(_)_secologanin_metabolic_process
GO:0047290	(alpha_n_acetylneuraminyl_2,3_beta_galactosyl_1,3)_n_acetyl_galactosaminide_6_alpha_sialyltransferase_activity
GO:0034027	(carboxyethyl)arginine_beta_lactam_synthase_activity
GO:0099615	(d)_2_hydroxyglutarate_pyruvate_transhydrogenase_activity
GO:0047506	(deoxy)adenylate_kinase_activity
GO:0047507	(deoxy)nucleoside_phosphate_kinase_activity
GO:0034768	(e)_beta_ocimene_synthase_activity
GO:0106286	(e)_caffeate_coa_ligase_activity
GO:0080013	(e,e)_geranyllinalool_synthase_activity
GO:0102738	(gibberellin_14),_2_oxoglutarate:oxygen_oxidoreductase_activity
GO:0102739	(gibberellin_36),_2_oxoglutarate:oxygen_oxidoreductase_activity
GO:0018824	(hydroxyamino)benzene_mutase_activity
GO:0050630	(iso)eugenol_o_methyltransferase_activity
GO:0003947	(n_acetylneuraminyl)_galactosylglucosylceramide_n_acetylgalactosaminyltransferase_activity
GO:0034831	(r)_(_)_1,2,3,4_tetrahydronaphthol_dehydrogenase_activity
GO:0033975	(r)_2_haloacid_dehalogenase_activity
GO:1902609	(r)_2_hydroxy_alpha_linolenic_acid_biosynthetic_process
GO:0047049	(r)_2_hydroxy_fatty_acid_dehydrogenase_activity
GO:0050578	(r)_2_hydroxyacid_dehydrogenase_activity
GO:0051990	(r)_2_hydroxyglutarate_dehydrogenase_activity
GO:0043713	(r)_2_hydroxyisocaproate_dehydrogenase_activity
GO:0047508	(r)_2_methylmalate_dehydratase_activity
GO:0047305	(r)_3_amino_2_methylpropionate_pyruvate_transaminase_activity
GO:0047108	(r)_3_hydroxyacid_ester_dehydrogenase_activity
GO:0019599	(r)_4_hydroxymandelate_catabolic_process
GO:0046431	(r)_4_hydroxymandelate_metabolic_process
GO:0047029	(r)_4_hydroxyphenyllactate_dehydrogenase_activity
GO:0018530	(r)_6_hydroxynicotine_oxidase_activity
GO:0019147	(r)_aminopropanol_dehydrogenase_activity
GO:0033734	(r)_benzylsuccinyl_coa_dehydrogenase_activity
GO:0044667	(r)_carnitine:4_(trimethylammonio)butanoate_antiporter_activity
GO:1902270	(r)_carnitine_transmembrane_transport
GO:1901235	(r)_carnitine_transmembrane_transporter_activity
GO:1900749	(r)_carnitine_transport
GO:0043714	(r)_citramalate_synthase_activity
GO:0044101	(r)_citramalyl_coa_lyase_activity
GO:0047509	(r)_dehydropantoate_dehydrogenase_activity
GO:0102641	(r)_lactaldehyde_dehydrogenase_activity
GO:0018635	(r)_limonene_1,2_monooxygenase_activity
GO:0106319	(r)_limonene_1,2_monooxygenase_nadh_activity
GO:0106320	(r)_limonene_1,2_monooxygenase_nadph_activity
GO:0052741	(r)_limonene_6_monooxygenase_activity
GO:0034002	(r)_limonene_synthase_activity
GO:0019597	(r)_mandelate_catabolic_process_to_benzoate
GO:0019598	(r)_mandelate_catabolic_process_to_catechol
GO:0097620	(r)_mandelate_dehydrogenase_activity
GO:1901737	(r)_mevalonic_acid_biosynthetic_process
GO:1901736	(r)_mevalonic_acid_catabolic_process
GO:1901735	(r)_mevalonic_acid_metabolic_process
GO:0047060	(r)_pantolactone_dehydrogenase_(flavin)_activity
GO:0102918	(r)_reticuline_7_o_methyltransferase_activity
GO:0102157	(r)_sulfopropanediol_2_dehydrogenase_activity
GO:0000721	(r,r)_butanediol_dehydrogenase_activity
GO:0030776	(rs)_1_benzyl_1,2,3,4_tetrahydroisoquinoline_n_methyltransferase_activity
GO:0030786	(rs)_norcoclaurine_6_o_methyltransferase_activity
GO:0043888	(s)_2,3_di_o_geranylgeranylglyceryl_phosphate_synthase_activity
GO:0070626	(s)_2_(5_amino_1_(5_phospho_d_ribosyl)imidazole_4_carboxamido)succinate_amp_lyase_(fumarate_forming)_activity
