TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0033627", "cell adhesion mediated by integrin", 0.140, 4.001, -6.358, 1.415, 0.998, 0.000, -1, False
"GO:0048543", "phytochrome chromophore biosynthetic process", 0.055, 4.829, -5.840, 1.000, 0.982, 0.000, -1, False
"GO:0052221", "(obsolete) positive chemotaxis in environment of other organism involved in symbiotic interaction", 0.495, 5.678, -5.103, 1.924, 1.000, 0.000, -1, False
"GO:0060899", "(obsolete) regulation of transcription involved in eye field cell fate commitment of camera-type eye", 0.495, 3.315, -4.829, 1.924, 1.000, 0.000, -1, False
"GO:0075100", "(obsolete) positive regulation by host of symbiont protein kinase-mediated signal transduction", 0.495, 4.579, -4.825, 1.924, 1.000, 0.000, -1, False
"GO:0090719", "adaptive immune effector response involving T cells and B lineage cells", 0.955, 7.289, 2.102, 2.233, 0.977, 0.000, -1, False
"GO:0097752", "regulation of DNA stability", 0.022, 1.305, -7.478, 0.699, 0.986, 0.000, -1, False
"GO:0098689", "latency-replication decision", 0.173, 2.606, 2.262, 1.491, 0.962, 0.000, -1, False
"GO:1900061", "(obsolete) positive regulation of transcription from RNA polymerase II promoter involved in calcium-mediated signaling", 0.495, 3.107, -3.349, 1.924, 1.000, 0.000, -1, False
"GO:1900435", "(obsolete) negative regulation of filamentous growth of a population of unicellular organisms in response to starvation", 0.495, 1.645, -4.011, 1.924, 1.000, 0.000, -1, False
"GO:1901226", "(obsolete) positive regulation of transcription from RNA polymerase II promoter involved in heart development", 0.495, 2.739, -0.179, 1.924, 1.000, 0.000, -1, False
"GO:1990045", "sclerotium development", 0.984, 5.383, -1.004, 2.246, 0.958, 0.000, -1, False
"GO:0098925", "retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission", 0.006, 0.599, -0.140, 0.301, 0.982, 0.002, -1, False
"GO:1905584", "outer hair cell apoptotic process", 0.006, 0.795, -2.603, 0.301, 0.993, 0.002, -1, False
"GO:0035350", "FAD transmembrane transport", 0.011, 4.294, 6.248, 0.477, 0.974, 0.002, -1, False
"GO:1905071", "tight junction disassembly", 0.174, -0.027, 5.406, 1.505, 0.984, 0.003, -1, False
"GO:1905023", "positive regulation of threonine-tRNA ligase activity", 0.006, -3.807, 0.314, 0.301, 0.977, 0.012, -1, False
"GO:2000674", "regulation of type B pancreatic cell apoptotic process", 0.050, 0.858, 3.638, 1.000, 0.983, 0.013, -1, False
"GO:0061168", "regulation of hair follicle placode formation", 0.006, -3.159, -6.474, 0.301, 0.961, 0.016, -1, False
"GO:0034444", "regulation of plasma lipoprotein oxidation", 0.017, 0.494, -6.436, 0.602, 0.957, 0.021, -1, False
"GO:2000705", "regulation of dense core granule biogenesis", 0.017, 2.723, -6.614, 0.602, 0.974, 0.021, -1, False
"GO:0000960", "regulation of mitochondrial RNA catabolic process", 0.028, -7.619, -0.698, 0.778, 0.954, 0.022, -1, False
"GO:0106056", "regulation of calcineurin-mediated signaling", 0.202, -5.629, -4.117, 1.568, 0.952, 0.025, -1, False
"GO:0120235", "regulation of posttranslational protein targeting to membrane, translocation", 0.197, -1.927, -2.211, 1.556, 0.928, 0.027, -1, False
"GO:1904154", "positive regulation of retrograde protein transport, ER to cytosol", 0.017, null, null, 0.602, 0.926, 0.563, 120235, True
"GO:1902274", "positive regulation of (R)-carnitine transmembrane transport", 0.105, null, null, 1.279, 0.925, 0.776, 120235, True
"GO:0018322", "protein tyrosinylation", 0.006, -2.489, 7.446, 0.301, 0.969, 0.049, -1, False
"GO:0019604", "toluene oxidation to catechol", 0.138, -3.466, 4.259, 1.398, 0.960, 0.060, -1, False
"GO:0042361", "menaquinone catabolic process", 0.022, -6.143, 4.087, 0.699, 0.949, 0.064, -1, False
"GO:0014889", "muscle atrophy", 0.056, 2.321, -1.869, 1.041, 0.968, 0.066, -1, False
"GO:0032619", "interleukin-16 production", 0.024, 5.448, 5.722, 0.699, 0.958, 0.079, -1, False
"GO:0035901", "cellular response to isolation stress", 0.573, -0.958, 2.921, 2.013, 0.973, 0.082, -1, False
"GO:0061482", "response to irinotecan", 2.657, 6.677, 3.660, 2.676, 0.970, 0.097, -1, False
"GO:0048010", "vascular endothelial growth factor receptor signaling pathway", 0.381, -0.687, 1.313, 1.839, 0.955, 0.115, -1, False
"GO:0051383", "kinetochore organization", 0.107, -0.168, 7.682, 1.301, 0.977, 0.121, -1, False
"GO:0070199", "establishment of protein localization to chromosome", 0.084, 2.785, 6.963, 1.204, 0.967, 0.125, -1, False
"GO:1900899", "regulation of heptadecane metabolic process", 4.067, -7.352, 1.041, 2.856, 0.953, 0.125, -1, False
