NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	802	1.9375196695327759	0.006415304	No	
row_1	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	1123	1.5863860845565796	0.02035539	No	
row_2	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1937	1.1509507894515991	0.015480664	No	
row_3	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	2599	0.9440261125564575	0.011632894	No	
row_4	MYCN	MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]	5109	0.5539348721504211	-0.045361143	No	
row_5	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5608	0.5374714136123657	-0.050691452	No	
row_6	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	6501	0.5220195651054382	-0.066405185	No	
row_7	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	7061	0.46124717593193054	-0.07437619	No	
row_8	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:8576]	7207	0.4448419213294983	-0.07189342	No	
row_9	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	7598	0.4082295298576355	-0.0762452	No	
row_10	ZNF300	zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091]	8079	0.36746954917907715	-0.0834898	No	
row_11	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	8800	0.3036443293094635	-0.0978207	No	
row_12	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	9320	0.26987025141716003	-0.10743736	No	
row_13	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	10125	0.21620824933052063	-0.12515935	No	
row_14	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.17136419	No	
row_15	RRP1	ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]	13191	0.012580320239067078	-0.20272201	No	
row_16	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]	13407	0.0	-0.2082701	No	
row_17	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	14408	0.0	-0.23407523	No	
row_18	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	16035	0.0	-0.27603436	No	
row_19	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	23548	0.0	-0.46988243	No	
row_20	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	26951	-0.04562819376587868	-0.557033	No	
row_21	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	28397	-0.12196484953165054	-0.59261477	No	
row_22	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	28457	-0.12622855603694916	-0.592371	No	
