NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	60	3.7221055030822754	0.027763182	Yes	
row_1	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	112	3.4202568531036377	0.053381793	Yes	
row_2	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	122	3.3115663528442383	0.07923054	Yes	
row_3	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	137	3.2639341354370117	0.10457484	Yes	
row_4	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	154	3.2559516429901123	0.12980454	Yes	
row_5	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	172	3.0883848667144775	0.15368864	Yes	
row_6	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	221	2.7981297969818115	0.17448504	Yes	
row_7	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	265	2.596877098083496	0.1938257	Yes	
row_8	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	326	2.4227302074432373	0.21135516	Yes	
row_9	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	364	2.4227302074432373	0.22947943	Yes	
row_10	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	592	2.1703598499298096	0.24070244	Yes	
row_11	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	609	2.138669490814209	0.25713256	Yes	
row_12	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	638	2.0659282207489014	0.27267945	Yes	
row_13	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	665	2.042234420776367	0.28809145	Yes	
row_14	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	848	1.8810368776321411	0.29819953	Yes	
row_15	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	939	1.7604507207870483	0.30973712	Yes	
row_16	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1246	1.4956021308898926	0.31360278	Yes	
row_17	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	1248	1.494897723197937	0.32535055	Yes	
row_18	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1263	1.478367567062378	0.33663195	Yes	
row_19	CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	1398	1.3950588703155518	0.34415385	Yes	
row_20	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	1459	1.3870929479599	0.35352677	Yes	
row_21	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	1461	1.385754942893982	0.36441496	Yes	
row_22	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	1534	1.3525826930999756	0.37320572	Yes	
row_23	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	1601	1.308995246887207	0.38180837	Yes	
row_24	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1657	1.2768150568008423	0.39044204	Yes	
row_25	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1896	1.1707322597503662	0.39350763	Yes	
row_26	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	2456	0.9862420558929443	0.38681877	Yes	
row_27	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	2728	0.9012953042984009	0.38690886	Yes	
row_28	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	2911	0.8520466089248657	0.38891277	Yes	
row_29	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	3010	0.8266634345054626	0.39288905	Yes	
row_30	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	3173	0.7896283864974976	0.39491856	Yes	
row_31	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	3196	0.7856284976005554	0.40053713	Yes	
row_32	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	3336	0.7574499249458313	0.40290803	Yes	
row_33	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	3688	0.6826074123382568	0.39920688	Yes	
row_34	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	3724	0.6738528609275818	0.40360892	Yes	
row_35	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3806	0.6639777421951294	0.4067436	Yes	
row_36	SIT1	signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	4048	0.6370401978492737	0.40552828	Yes	
row_37	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	4364	0.6120355129241943	0.40220234	Yes	
row_38	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	4419	0.6069682836532593	0.40558624	Yes	
row_39	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	4737	0.580342710018158	0.40195894	Yes	
row_40	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	4808	0.5718414783477783	0.40465242	Yes	
row_41	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	4991	0.5539348721504211	0.4043084	Yes	
row_42	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	5264	0.5539348721504211	0.4016369	Yes	
row_43	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	5414	0.5539348721504211	0.4021463	Yes	
row_44	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	5657	0.5349166989326477	0.40010083	Yes	
row_45	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	5693	0.5316740274429321	0.4033831	Yes	
row_46	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	5723	0.5316740274429321	0.40682054	Yes	
