NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2974	0.97147136926651	-0.066562794	No	
row_1	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	7954	0.47703495621681213	-0.19024411	No	
row_2	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	8338	0.4391990303993225	-0.19547048	No	
row_3	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	9164	0.3547411561012268	-0.21302716	No	
row_4	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	9176	0.35404878854751587	-0.20954023	No	
row_5	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	9390	0.3347395956516266	-0.21148293	No	
row_6	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	9730	0.31223276257514954	-0.21692389	No	
row_7	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	9866	0.2999180555343628	-0.21722035	No	
row_8	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	10594	0.2368064969778061	-0.2334989	No	
row_9	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	10695	0.22952252626419067	-0.23364009	No	
row_10	PSMD3	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]	11148	0.20194275677204132	-0.2431782	No	
row_11	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	11611	0.16187021136283875	-0.2534018	No	
row_12	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	11808	0.14864714443683624	-0.25688714	No	
row_13	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]	11949	0.13834889233112335	-0.25903398	No	
row_14	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	12138	0.12468092143535614	-0.26256776	No	
row_15	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	12333	0.1152922585606575	-0.2663567	No	
row_16	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	12657	0.0917520821094513	-0.2737325	No	
row_17	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	12807	0.07913140952587128	-0.2767429	No	
row_18	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	12849	0.07703723013401031	-0.27698258	No	
row_19	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	13096	0.057725682854652405	-0.28272954	No	
row_20	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	13207	0.0491395927965641	-0.2850508	No	
