NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	138	3.1930606365203857	0.02304809	Yes	
row_1	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	232	2.931720495223999	0.045081437	Yes	
row_2	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	251	2.8623507022857666	0.06847611	Yes	
row_3	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	311	2.645613670349121	0.089003794	Yes	
row_4	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	314	2.6228013038635254	0.1108154	Yes	
row_5	ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	369	2.4707021713256836	0.13001435	Yes	
row_6	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	450	2.3336586952209473	0.14739852	Yes	
row_7	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	456	2.326512575149536	0.16666271	Yes	
row_8	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	786	2.0903680324554443	0.17557941	Yes	
row_9	NPHS1	NPHS1 adhesion molecule, nephrin [Source:HGNC Symbol;Acc:HGNC:7908]	907	1.9433408975601196	0.18867551	Yes	
row_10	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	925	1.934456467628479	0.20436125	Yes	
row_11	SERPINA10	serpin family A member 10 [Source:HGNC Symbol;Acc:HGNC:15996]	981	1.8628122806549072	0.21846704	Yes	
row_12	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1005	1.8441689014434814	0.23324499	Yes	
row_13	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	1006	1.8429714441299438	0.24860774	Yes	
row_14	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	1031	1.814788579940796	0.26311493	Yes	
row_15	SLC6A14	solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047]	1134	1.7219922542572021	0.27483138	Yes	
row_16	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	1297	1.6446577310562134	0.28435153	Yes	
row_17	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	1320	1.633937120437622	0.29740286	Yes	
row_18	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	1540	1.5226362943649292	0.30443177	Yes	
row_19	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	1582	1.5018558502197266	0.31589073	Yes	
row_20	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	1724	1.4163004159927368	0.3240504	Yes	
row_21	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	1769	1.401594638824463	0.334596	Yes	
row_22	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	1773	1.3996399641036987	0.34618562	Yes	
row_23	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1788	1.3898764848709106	0.3574094	Yes	
row_24	CDH16	cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]	2034	1.2553316354751587	0.3615377	Yes	
row_25	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	2180	1.2112410068511963	0.36788458	Yes	
row_26	TFF2	trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]	2490	1.0955294370651245	0.36902565	Yes	
row_27	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	2514	1.0892032384872437	0.3775103	Yes	
row_28	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	2594	1.0708942413330078	0.3843941	Yes	
row_29	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	2736	1.0320074558258057	0.38935035	Yes	
row_30	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	2759	1.0271681547164917	0.39734375	Yes	
row_31	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	2791	1.0221359729766846	0.40506244	Yes	
row_32	KMT2D	lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]	2889	0.9899345636367798	0.41080588	Yes	
row_33	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	2999	0.9650013446807861	0.41603112	Yes	
