NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	0	4.838791847229004	0.11188707	Yes	
row_1	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	54	3.809542655944824	0.19860938	Yes	
row_2	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	284	2.5368287563323975	0.25136837	Yes	
row_3	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	501	2.418534755706787	0.301727	Yes	
row_4	ID3	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	578	2.2102365493774414	0.3508761	Yes	
row_5	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	593	2.169386148452759	0.40067798	Yes	
row_6	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	600	2.158111810684204	0.45042527	Yes	
row_7	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	1349	1.4158178567886353	0.46389174	Yes	
row_8	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	2122	1.101274847984314	0.46946672	Yes	
row_9	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2168	1.0844634771347046	0.49338332	Yes	
row_10	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	2230	1.0575724840164185	0.5162659	Yes	
row_11	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	2466	0.9836542010307312	0.53295636	Yes	
row_12	KLF10	Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	2898	0.8554346561431885	0.5416323	Yes	
