NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15	4.247020244598389	0.03850896	No	
row_1	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	683	2.2829408645629883	0.04216816	No	
row_2	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	869	1.9685746431350708	0.055413283	No	
row_3	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	1106	1.7404018640518188	0.06524974	No	
row_4	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1478	1.5277713537216187	0.06964753	No	
row_5	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2231	1.196176290512085	0.06115526	No	
row_6	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	2353	1.1502772569656372	0.06856102	No	
row_7	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2386	1.1348907947540283	0.0781275	No	
row_8	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	2603	1.0669716596603394	0.082313485	No	
row_9	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	2780	1.023905873298645	0.08713949	No	
row_10	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	2852	1.0045888423919678	0.094504	No	
row_11	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	2871	0.9979058504104614	0.10317795	No	
row_12	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2981	0.9682202339172363	0.10922665	No	
row_13	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	3024	0.9558011889457703	0.116894305	No	
row_14	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	3149	0.92995285987854	0.12220462	No	
row_15	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	3204	0.9161255359649658	0.12919857	No	
row_16	ARPC5L	actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]	3231	0.9099242687225342	0.13685983	No	
row_17	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	3309	0.8957394361495972	0.14307226	No	
row_18	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	3416	0.8713420629501343	0.14831127	No	
row_19	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	3535	0.8461313843727112	0.15300906	No	
row_20	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	3605	0.8289445638656616	0.15881664	No	
row_21	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	3664	0.816978394985199	0.16479908	No	
row_22	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	4046	0.7425793409347534	0.16174698	No	
row_23	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4074	0.7372170090675354	0.16780064	No	
row_24	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	4569	0.6593371033668518	0.16106384	No	
row_25	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	4606	0.6545922756195068	0.166128	No	
row_26	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	5310	0.5974888801574707	0.15341976	No	
row_27	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	5469	0.5816499590873718	0.15466082	No	
row_28	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	5613	0.5628923177719116	0.15611799	No	
row_29	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	5657	0.5578346848487854	0.16011496	No	
row_30	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	5798	0.5419523119926453	0.16145793	No	
row_31	SYTL2	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	5817	0.5390151143074036	0.16592906	No	
row_32	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	7732	0.5015276074409485	0.12102408	No	
row_33	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	7740	0.5007278919219971	0.12542903	No	
row_34	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	7815	0.49110332131385803	0.12801313	No	
row_35	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	7900	0.48384639620780945	0.13027216	No	
row_36	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	8138	0.45535191893577576	0.12831347	No	
row_37	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	8338	0.4391990303993225	0.12718955	No	
row_38	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	8697	0.3982548117637634	0.12157872	No	
row_39	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	8822	0.38482916355133057	0.12189644	No	
row_40	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	9020	0.3684881627559662	0.120176636	No	
row_41	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	9087	0.3617543578147888	0.12178297	No	
row_42	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	9266	0.34530535340309143	0.1203422	No	
row_43	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	9390	0.3347395956516266	0.12022703	No	
row_44	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	9425	0.3319093883037567	0.12238759	No	
row_45	PSME3	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]	9514	0.324489027261734	0.12308368	No	
row_46	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	9798	0.3069499433040619	0.118576206	No	
row_47	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9859	0.3002625107765198	0.11977453	No	
row_48	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	9882	0.29768842458724976	0.121932	No	
row_49	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	9958	0.2892860174179077	0.12264188	No	
row_50	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	10021	0.28540143370628357	0.12365237	No	
row_51	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	10093	0.278994083404541	0.124371424	No	
row_52	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	10234	0.2664450407028198	0.12319113	No	
row_53	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	10426	0.24967537820339203	0.12053833	No	
row_54	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	10477	0.24613189697265625	0.1214995	No	
row_55	PSMB5	proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]	10585	0.23772546648979187	0.120909594	No	
row_56	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	10901	0.2216053456068039	0.11479293	No	
row_57	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	10952	0.21767808496952057	0.1154935	No	
row_58	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	11047	0.21130400896072388	0.114997804	No	
row_59	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	11146	0.20209430158138275	0.11431432	No	
row_60	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	11364	0.181831955909729	0.11036777	No	
row_61	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	11434	0.17512160539627075	0.110187225	No	
row_62	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	11640	0.16013050079345703	0.106352255	No	
row_63	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11696	0.15876957774162292	0.106384	No	
row_64	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	11808	0.14864714443683624	0.10487482	No	
row_65	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	11852	0.14365094900131226	0.10507843	No	
row_66	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	11912	0.1420760452747345	0.104853846	No	
row_67	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	12138	0.12468092143535614	0.10017698	No	
row_68	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	12371	0.1123894527554512	0.09520652	No	
row_69	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	12632	0.09387412667274475	0.08934238	No	
row_70	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	12671	0.09060106426477432	0.08918943	No	
row_71	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12944	0.06963606923818588	0.08279297	No	
row_72	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	12985	0.06664924323558807	0.08236893	No	
row_73	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	13094	0.05792712792754173	0.08010646	No	
row_74	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	13207	0.0491395927965641	0.077660054	No	
row_75	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	13261	0.04564812406897545	0.07670749	No	
row_76	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	13277	0.04397539049386978	0.076722324	No	
row_77	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	13433	0.031031182035803795	0.07299805	No	
row_78	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	13559	0.021042879670858383	0.06995812	No	
row_79	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	13710	0.011536185629665852	0.0661846	No	
row_80	FKBP2	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]	20470	0.0	-0.1086111	No	
row_81	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	21296	0.0	-0.12994657	No	
row_82	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	26172	-0.0015642748912796378	-0.2560055	No	
row_83	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	26242	-0.005952933803200722	-0.2577354	No	
row_84	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	26416	-0.018252043053507805	-0.26204222	No	
row_85	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	26507	-0.024392472580075264	-0.26414633	No	
row_86	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	26511	-0.025017138570547104	-0.26399478	No	
row_87	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	26551	-0.027729075402021408	-0.2647494	No	
row_88	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	26783	-0.04634276032447815	-0.2702989	No	
row_89	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	26797	-0.04759562388062477	-0.27019918	No	
row_90	SDF2L1	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	26873	-0.052179936319589615	-0.27166086	No	
row_91	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	26989	-0.060185134410858154	-0.2740837	No	
row_92	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	26997	-0.06084122136235237	-0.2737075	No	
row_93	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	27016	-0.061890263110399246	-0.27360618	No	
