NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	18	4.212600231170654	0.029688664	Yes	
row_1	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.05821848	Yes	
row_2	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	39	3.9496824741363525	0.08620618	Yes	
row_3	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	54	3.7935924530029297	0.11299899	Yes	
row_4	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	78	3.6152074337005615	0.13828216	Yes	
row_5	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	94	3.5525357723236084	0.16332361	Yes	
row_6	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	126	3.2677035331726074	0.18591243	Yes	
row_7	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	256	2.822582960128784	0.20278063	Yes	
row_8	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	295	2.6771440505981445	0.22096114	Yes	
row_9	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	336	2.5603315830230713	0.23825377	Yes	
row_10	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	544	2.326512575149536	0.24955389	Yes	
row_11	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	683	2.2829408645629883	0.26232654	Yes	
row_12	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	714	2.2152957916259766	0.27740797	Yes	
row_13	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	835	2.000094413757324	0.2886215	Yes	
row_14	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	842	1.9960122108459473	0.30275396	Yes	
row_15	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	914	1.9352343082427979	0.3147704	Yes	
row_16	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	1058	1.7837995290756226	0.32384086	Yes	
row_17	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	1171	1.6829501390457153	0.3329911	Yes	
row_18	SIT1	signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	1223	1.6829501390457153	0.3437189	Yes	
row_19	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	1257	1.6745446920394897	0.354852	Yes	
row_20	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1262	1.6711091995239258	0.3667105	Yes	
row_21	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	1279	1.6621217727661133	0.37819433	Yes	
row_22	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	1458	1.5277713537216187	0.38452697	Yes	
row_23	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	1587	1.4963032007217407	0.39192742	Yes	
row_24	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1599	1.4863898754119873	0.40228266	Yes	
row_25	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1615	1.4791392087936401	0.41248253	Yes	
row_26	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1733	1.4138264656066895	0.4195771	Yes	
row_27	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	1736	1.4121795892715454	0.42963386	Yes	
row_28	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	1743	1.41002357006073	0.43957177	Yes	
row_29	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	1976	1.2817853689193726	0.44274712	Yes	
row_30	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	1988	1.275320053100586	0.4515915	Yes	
row_31	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	2090	1.2451722621917725	0.45789257	Yes	
row_32	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	2156	1.2220852375030518	0.46495938	Yes	
row_33	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	2167	1.2166950702667236	0.47340998	Yes	
row_34	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2308	1.1698895692825317	0.4781636	Yes	
row_35	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	2397	1.1300864219665527	0.48397708	Yes	
row_36	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	2524	1.0872797966003418	0.4885014	Yes	
row_37	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2527	1.0857510566711426	0.49622157	Yes	
