NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	98	3.4888200759887695	0.047398485	Yes	
row_1	TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	110	3.435859203338623	0.0962832	Yes	
row_2	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	315	2.430142641067505	0.12579739	Yes	
row_3	KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	368	2.4227302074432373	0.15912628	Yes	
row_4	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	524	2.3577070236206055	0.18886782	Yes	
row_5	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	802	1.9375196695327759	0.2094494	Yes	
row_6	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	833	1.9009325504302979	0.23587863	Yes	
row_7	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	844	1.8881165981292725	0.26264036	Yes	
row_8	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	908	1.7977722883224487	0.28674212	Yes	
row_9	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	1079	1.6183781623840332	0.30551666	Yes	
row_10	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1189	1.530617117881775	0.32460877	Yes	
row_11	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	1202	1.5238606929779053	0.34610626	Yes	
row_12	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	1206	1.5168094635009766	0.367735	Yes	
row_13	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1244	1.4974852800369263	0.3882102	Yes	
row_14	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	1535	1.3523708581924438	0.40008274	Yes	
row_15	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	1547	1.3435120582580566	0.41902518	Yes	
row_16	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	1679	1.2647968530654907	0.43374583	Yes	
row_17	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	1685	1.2591136693954468	0.45163524	Yes	
row_18	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1832	1.194891333580017	0.4649686	Yes	
row_19	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2335	1.0208418369293213	0.4666284	Yes	
row_20	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	2726	0.9025481939315796	0.4694844	Yes	
row_21	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	3072	0.8109970688819885	0.47219098	Yes	
row_22	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	3329	0.7591967582702637	0.47645196	Yes	
row_23	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	3336	0.7574499249458313	0.4871366	Yes	
row_24	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	3620	0.6952891945838928	0.48978662	Yes	
row_25	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	4314	0.6171596646308899	0.48074284	Yes	
row_26	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	4571	0.6002442836761475	0.4827292	Yes	
row_27	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	4630	0.5925503373146057	0.48971272	Yes	
row_28	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4727	0.5819070339202881	0.49556378	Yes	
row_29	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	4867	0.562586784362793	0.50002915	Yes	
row_30	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	5436	0.5538427829742432	0.49330363	No	
row_31	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	5526	0.5424720644950867	0.4987709	No	
row_32	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	6877	0.4785155653953552	0.47079608	No	
row_33	ADRM1	adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]	7305	0.43312010169029236	0.46597996	No	
row_34	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	7421	0.42325732111930847	0.46907058	No	
row_35	NCOA4	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]	7749	0.39299559593200684	0.4662597	No	
row_36	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	8368	0.3384033739566803	0.4551614	No	
row_37	UBE2J1	ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]	8494	0.32817283272743225	0.45663336	No	
row_38	PGM3	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]	8662	0.3147019147872925	0.4568292	No	
