NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC52A2	solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224]	2224	1.0589200258255005	-0.04491975	No	
row_1	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2 [Source:HGNC Symbol;Acc:HGNC:16037]	3690	0.6822627782821655	-0.074690074	No	
row_2	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	4693	0.5862765908241272	-0.09363661	No	
row_3	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5608	0.5374714136123657	-0.11088742	No	
row_4	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	6939	0.4734216034412384	-0.13964105	No	
row_5	LAGE3	L antigen family member 3 [Source:HGNC Symbol;Acc:HGNC:26058]	7152	0.4521212577819824	-0.13976894	No	
row_6	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	7704	0.3989824056625366	-0.1492817	No	
row_7	MRPL12	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]	8072	0.3680778741836548	-0.15440732	No	
row_8	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	8320	0.34222424030303955	-0.1567392	No	
row_9	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	8684	0.3130042254924774	-0.16241297	No	
row_10	ITCH	itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]	9574	0.25052306056022644	-0.18241228	No	
row_11	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	9635	0.2455597221851349	-0.18105741	No	
row_12	PFDN6	prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926]	10021	0.22419649362564087	-0.1883499	No	
row_13	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	10242	0.20676760375499725	-0.19158666	No	
row_14	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	10368	0.19968757033348083	-0.19245334	No	
row_15	TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]	10384	0.19839565455913544	-0.19049402	No	
row_16	SNRPC	small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157]	10837	0.16699524223804474	-0.20019373	No	
row_17	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	11314	0.13479575514793396	-0.21089424	No	
