# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-t" "histone" "-g" "histone_id" "-a" "../1-GTF/histone_annotation.gtf" "-o" "counts.txt" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam
h3k27ac_input_peak_39	chr1	28545	29316	.	772	0	0	0	0	3	1
h3k27ac_input_peak_40	chr1	713336	713984	.	649	35	40	36	23	37	28
h3k27ac_input_peak_41	chr1	761804	762898	.	1095	35	42	57	22	46	24
h3k27ac_input_peak_42	chr1	839549	840531	.	983	1	0	2	1	5	0
h3k27ac_input_peak_43	chr1	895410	896319	.	910	0	0	0	0	3	0
h3k27ac_input_peak_44	chr1	901935	902393	.	459	5	36	60	20	40	36
h3k27ac_input_peak_45	chr1	912093	912639	.	547	0	0	0	0	0	0
h3k27ac_input_peak_46	chr1	935243	935763	.	521	3	4	22	6	14	18
h3k27ac_input_peak_47	chr1	936451	937160	.	710	2	2	8	3	4	8
h3k27ac_input_peak_48	chr1	948044	948704	.	661	2	5	11	2	4	4
h3k27ac_input_peak_49	chr1	949071	949660	.	590	328	963	2044	546	1290	2223
h3k27ac_input_peak_50	chr1	949881	950531	.	651	144	299	539	175	367	677
h3k27ac_input_peak_51	chr1	955052	957415	.	2364	69	88	170	87	146	153
h3k27ac_input_peak_52	chr1	957656	959656	.	2001	317	485	779	401	656	787
h3k27ac_input_peak_53	chr1	960320	961802	.	1483	13	14	18	8	7	11
h3k27ac_input_peak_54	chr1	996549	996847	.	299	8	8	17	1	14	16
h3k27ac_input_peak_55	chr1	998055	998723	.	669	36	52	94	39	66	102
h3k27ac_input_peak_56	chr1	1013561	1013942	.	382	0	0	0	0	0	0
h3k27ac_input_peak_57	chr1	1014272	1015674	.	1403	1	1	6	0	3	1
h3k27ac_input_peak_58	chr1	1050640	1051463	.	824	11	18	12	11	7	11
h3k27ac_input_peak_59	chr1	1092943	1095047	.	2105	5	9	7	10	18	8
h3k27ac_input_peak_60	chr1	1166178	1167361	.	1184	69	191	252	153	254	207
h3k27ac_input_peak_61	chr1	1198465	1198991	.	527	51	73	67	66	85	66
h3k27ac_input_peak_62	chr1	1199356	1200134	.	779	8	22	21	12	17	14
h3k27ac_input_peak_63	chr1	1200617	1203127	.	2511	41	34	58	38	50	28
h3k27ac_input_peak_64	chr1	1203377	1203778	.	402	11	15	16	8	16	18
h3k27ac_input_peak_65	chr1	1206015	1207436	.	1422	34	42	51	29	46	35
h3k27ac_input_peak_66	chr1	1207947	1210567	.	2621	97	118	195	110	149	152
h3k27ac_input_peak_67	chr1	1241373	1241737	.	365	22	28	45	18	22	27
h3k27ac_input_peak_68	chr1	1242282	1243235	.	954	24	54	70	35	62	54
h3k27ac_input_peak_69	chr1	1243452	1243821	.	370	0	1	2	1	0	0
h3k27ac_input_peak_70	chr1	1259455	1259894	.	440	0	0	0	1	1	0
h3k27ac_input_peak_71	chr1	1261174	1261634	.	461	7	17	17	7	5	11
h3k27ac_input_peak_72	chr1	1278295	1284694	.	6400	195	364	515	262	479	350
h3k27ac_input_peak_73	chr1	1284961	1285375	.	415	0	0	2	0	1	5
h3k27ac_input_peak_74	chr1	1291904	1295839	.	3936	37	68	99	50	112	97
h3k27ac_input_peak_75	chr1	1309436	1310572	.	1137	282	477	540	359	616	438
h3k27ac_input_peak_76	chr1	1333457	1334571	.	1115	197	300	337	210	360	338
h3k27ac_input_peak_77	chr1	1335086	1335853	.	768	63	99	133	68	133	85
h3k27ac_input_peak_78	chr1	1342193	1343315	.	1123	168	259	247	238	266	242
h3k27ac_input_peak_79	chr1	1366547	1366914	.	368	1	1	1	1	1	4
h3k27ac_input_peak_80	chr1	1367558	1367888	.	331	5	2	4	0	3	2
h3k27ac_input_peak_81	chr1	1368921	1369328	.	408	6	6	11	8	11	11
h3k27ac_input_peak_82	chr1	1406017	1406804	.	788	4	6	7	5	10	6
h3k27ac_input_peak_83	chr1	1407225	1408303	.	1079	27	33	79	40	39	39
h3k27ac_input_peak_84	chr1	1446624	1446950	.	327	1	3	0	1	3	1
h3k27ac_input_peak_85	chr1	1447643	1448113	.	471	31	41	61	44	63	44
h3k27ac_input_peak_86	chr1	1509138	1510223	.	1086	62	93	112	88	114	117
h3k27ac_input_peak_87	chr1	1550835	1552106	.	1272	10	26	42	21	45	46
h3k27ac_input_peak_88	chr1	1589766	1591733	.	1968	45	73	56	62	79	64
h3k27ac_input_peak_89	chr1	1616991	1617604	.	614	1	1	3	2	3	2
h3k27ac_input_peak_90	chr1	1618148	1619631	.	1484	4	11	11	8	15	10
h3k27ac_input_peak_91	chr1	1623147	1624492	.	1346	18	37	71	39	74	69
h3k27ac_input_peak_92	chr1	1655196	1655729	.	534	33	20	22	25	37	29
h3k27ac_input_peak_93	chr1	1656077	1656921	.	845	7	5	10	12	14	7
