NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	0	4.712593078613281	0.011814704	Yes	
row_1	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15	4.247020244598389	0.022098841	Yes	
row_2	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	18	4.212600231170654	0.032608133	Yes	
row_3	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	27	4.014577865600586	0.042465247	Yes	
row_4	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	49	3.8745083808898926	0.0516338	Yes	
row_5	HSH2D	hematopoietic SH2 domain containing [Source:HGNC Symbol;Acc:HGNC:24920]	53	3.802654981613159	0.061089385	Yes	
row_6	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	68	3.70039439201355	0.0700031	Yes	
row_7	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	72	3.629004955291748	0.07902334	Yes	
row_8	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	73	3.628873825073242	0.0881211	Yes	
row_9	TCIM	transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]	76	3.6152074337005615	0.0971327	Yes	
row_10	KLHDC7B	kelch domain containing 7B [Source:HGNC Symbol;Acc:HGNC:25145]	77	3.6152074337005615	0.1061962	Yes	
row_11	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	78	3.6152074337005615	0.11525971	Yes	
row_12	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.12387699	Yes	
row_13	NUAK2	NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]	93	3.5577328205108643	0.1327964	Yes	
row_14	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	94	3.5525357723236084	0.14170279	Yes	
row_15	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	99	3.454678535461426	0.15026002	Yes	
row_16	IDO1	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]	104	3.4223666191101074	0.15873624	Yes	
row_17	IFNL1	interferon lambda 1 [Source:HGNC Symbol;Acc:HGNC:18363]	118	3.319201946258545	0.16672026	Yes	
row_18	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	129	3.259359836578369	0.17463209	Yes	
row_19	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	138	3.1930606365203857	0.18242963	Yes	
row_20	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	182	3.1425933837890625	0.18919225	Yes	
row_21	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	188	3.119262933731079	0.19688262	Yes	
row_22	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	200	3.057419776916504	0.20426223	Yes	
row_23	GBP1P1	guanylate binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39561]	237	2.9195609092712402	0.21064737	Yes	
row_24	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	242	2.9127743244171143	0.21784604	Yes	
row_25	STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	249	2.874448299407959	0.2248967	Yes	
row_26	MX2	MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]	253	2.8454365730285645	0.23195249	Yes	
row_27	C1QTNF1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	257	2.821415901184082	0.23894805	Yes	
