# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-t" "exon" "-g" "gene_id" "-a" "/home/lorenzo/univ/bioinfo/refs/Gencode/Gene_Annotations/release35_GRCh37/basic/gencode.v35lift37.basic.annotation.gtf" "-o" "counts.txt" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam"
Geneid	Chr	Start	End	Strand	Length	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam
ENSG00000082929.8_7	chr4;chr4;chr4;chr4;chr4;chr4;chr4	5526296;5527117;5527134;5527922;5527943;5529115;5529115	5526455;5527223;5527223;5528060;5528060;5529527;5529322	+;+;+;+;+;+;+	819	1	1	1	0	4	5
ENSG00000083622.8_9	chr7;chr7;chr7	117244845;117256283;117287405	117245043;117256394;117287469	-;-;-	376	0	0	0	0	1	0
ENSG00000093100.13_9	chr22;chr22;chr22;chr22;chr22	18270418;18273764;18273968;18291610;18293469	18273682;18273837;18274067;18291703;18294263	-;-;-;-;-	4328	13	4	14	9	13	13
ENSG00000099869.8_9	chr11;chr11;chr11	2161747;2167475;2168548	2162177;2167757;2169896	+;+;+	2063	0	0	0	0	0	0
ENSG00000103472.10_6	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	29086297;29087977;29089222;29095764;29095960;29096538;29097535;29102061;29105559;29107452;29108514;29110426;29113308;29115396;29124371;29127448	29086442;29088082;29089278;29095853;29096089;29096597;29097596;29102159;29105651;29107582;29108637;29110534;29113460;29115483;29124462;29128039	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2132	0	0	0	0	0	0
ENSG00000115934.11_8	chr12;chr12	23334268;23404395	23335557;23404433	-;-	1329	0	0	0	0	0	0
ENSG00000116652.6_6	chr1	64012753	64016307	+	3555	26	31	45	28	28	39
ENSG00000117242.7_9	chr1;chr1;chr1	20969150;20972078;20974808	20969611;20972179;20978686	-;-;-	4443	108	99	127	122	125	116
ENSG00000120664.11_9	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	36920569;36934791;36936256;36939637;36939867;36939867;36942335;36943625	36920644;36934877;36939741;36939741;36939980;36940918;36942480;36943662	+;+;+;+;+;+;+;+	4885	5	6	10	6	4	9
ENSG00000122043.11_5	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	30509926;30510042;30510144;30510653;30510653;30511339;30512043;30512043;30516234;30521740;30524454	30510035;30510361;30510361;30510838;30510838;30511418;30512146;30512146;30516705;30521908;30524625	+;+;+;+;+;+;+;+;+;+;+	1613	0	0	0	0	0	0
ENSG00000122548.5_6	chr7;chr7	26572740;26578025	26576639;26578407	-;-	4283	0	0	0	0	0	0
ENSG00000124835.2_8	chr2;chr2;chr2;chr2;chr2;chr2;chr2	237957242;237958055;237959586;237962990;237963643;237964032;237964690	237957609;237958823;237959953;237963134;237963764;237964369;237964810	-;-;-;-;-;-;-	2231	2	1	0	0	3	4
ENSG00000124915.10_9	chr11;chr11;chr11;chr11;chr11;chr11	61513965;61514823;61516015;61523107;61524555;61524961	61514613;61514935;61517214;61523168;61524835;61525121	-;-;-;-;-;-	2466	1	1	3	0	1	0
ENSG00000125514.9_8	chr20;chr20;chr20;chr20;chr20;chr20;chr20	61665569;61665569;61666635;61666917;61666917;61667400;61667400	61666020;61666061;61666793;61667073;61667073;61667748;61668380	-;-;-;-;-;-;-	1790	0	0	0	0	0	0
ENSG00000125804.14_5	chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20	25965939;25968177;25968756;26031354;26035291;26040275;26040276;26046283;26047198;26047620;26049553;26049553;26049553;26049675;26054406;26054406;26054406;26054406;26056970;26056970;26061800;26061800;26061824;26063530;26063530;26063530	25966031;25968225;25969991;26033341;26035721;26040496;26040496;26046420;26047273;26047810;26049840;26049840;26049840;26049840;26054448;26054505;26054505;26054505;26057141;26057141;26062026;26062026;26062026;26063601;26067553;26063595	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9235	1	1	2	1	1	1
ENSG00000125899.8_5	chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20	10976941;10978969;10979235;10981408;11007093;11008399;11008399;11008810;11008810;11009839;11009839	10977187;10979346;10979346;10981929;11007222;11008554;11008554;11008932;11008932;11010014;11010103	+;+;+;+;+;+;+;+;+;+;+	1821	1	1	4	0	0	1
ENSG00000128254.16_6	chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22	32321505;32321739;32322188;32322200;32323080;32323080;32323085;32324149;32324149;32324149;32324149;32326283;32327854;32329322;32329436;32329507;32333902;32333902;32333975;32333975;32341219;32341219	32322537;32322537;32322537;32322537;32323296;32323277;32323296;32324254;32324393;32324970;32324254;32330435;32327946;32330435;32330435;32330435;32334101;32334403;32334101;32334440;32341346;32341332	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6892	29	34	46	26	34	32
ENSG00000129816.5_3	chrY;chrY;chrY;chrY;chrY	6258472;6262141;6269164;6271629;6279348	6258716;6262300;6269272;6271766;6279605	+;+;+;+;+	910	0	0	0	0	0	0
ENSG00000129845.5_5	chrY;chrY;chrY;chrY;chrY	9590765;9598604;9601098;9608070;9611654	9591022;9598741;9601206;9608229;9611898	-;-;-;-;-	910	0	0	0	0	0	0
ENSG00000130600.19_8	chr11;chr11;chr11;chr11;chr11	2016406;2017106;2017309;2017517;2017748	2017024;2017228;2017421;2017651;2019105	-;-;-;-;-	2348	1	11	2	0	18	7
ENSG00000131007.9_9	chrY;chrY;chrY;chrY;chrY	20743092;20749298;20750017;20750492;20752266	20744234;20749434;20750130;20750592;20752407	-;-;-;-;-	1637	0	0	0	0	0	0
ENSG00000131484.4_7	chr17;chr17	43611329;43611871	43611669;43612076	+;+	547	3	4	7	3	3	4
ENSG00000131538.7_5	chrY;chrY;chrY	24585740;24587136;24587492	24585978;24587273;24587605	-;-;-	491	0	0	0	0	0	0
ENSG00000131548.7_5	chrY;chrY;chrY	24291113;24291445;24292740	24291226;24291582;24292978	+;+;+	491	0	0	0	0	0	0
ENSG00000132204.14_8	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	1254384;1254583;1254598;1267498;1268312;1269524;1269526;1269527;1269529;1269671;1269671;1269688;1269822;1272443;1272443;1272443;1272443;1272443;1272443;1272443;1272443;1272443;1273362;1273362;1273362;1273362;1275967;1275967;1275967;1275967;1275967;1275967;1275967;1275967;1275967;1278569;1349151;1353408;1358727;1358727;1358727;1358727;1358727;1358727;1358727;1358727;1358727;1359388;1361144;1361144;1361144;1361144;1361178;1361737;1365918;1365918;1366291;1368486;1368486;1368486;1368486;1368486;1368486;1368486;1368486;1406988;1406988;1406988;1406988;1406988;1406988;1406988;1406988	1255215;1255215;1255215;1267549;1269853;1269853;1269853;1269853;1269853;1269853;1269853;1269853;1269853;1272512;1272512;1272512;1272512;1272512;1272512;1272512;1272512;1272512;1273534;1273534;1273534;1273534;1276078;1276078;1276078;1276078;1276088;1276078;1276078;1276078;1276078;1278634;1349622;1353463;1358761;1358895;1358895;1358895;1358761;1360086;1358761;1358895;1358761;1359630;1361222;1361222;1361222;1361222;1361222;1361835;1366226;1366187;1366462;1368598;1368598;1368598;1368598;1368598;1368598;1368598;1368598;1407232;1407189;1407235;1407187;1407181;1407054;1407221;1407212	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5765	3	1	4	5	8	2
ENSG00000132832.10_8	chr20;chr20;chr20;chr20;chr20;chr20	43285092;43287636;43288352;43291846;43324032;43324644	43285692;43287822;43288419;43292194;43324148;43324737	-;-;-;-;-;-	1416	0	2	0	0	0	0
ENSG00000136275.10_8	chr7;chr7;chr7;chr7	47835022;47853024;47857624;47859105	47835041;47853167;47857793;47859445	+;+;+;+	675	3	7	3	2	6	4
ENSG00000136315.4_6	chr14;chr14	21387520;21388166	21387563;21388458	+;+	337	0	0	0	0	0	1
ENSG00000137808.12_9	chr15;chr15;chr15;chr15	69222843;69267068;69318868;69320555	69223056;69267171;69318991;69321229	+;+;+;+	1117	1	0	0	0	0	0
ENSG00000145063.15_8	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	11245443;11246822;11260889;11263278;11264345;11264709;11267614;11268847;11268847;11269110;11269110;11269453;11272124;11272141;11272399	11245788;11246913;11261088;11263415;11264911;11264911;11269870;11269012;11269012;11269224;11269224;11269578;11272294;11272302;11272896	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4277	0	0	0	0	0	0
