NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	111	3.374764919281006	0.105046004	No	
row_1	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	443	2.3495006561279297	0.17164266	No	
row_2	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	865	1.9737577438354492	0.22390679	No	
row_3	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	1355	1.6018553972244263	0.2625279	No	
row_4	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	2930	0.9811678528785706	0.25335282	No	
row_5	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	3809	0.7862781286239624	0.25587565	No	
row_6	HMOX2	heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]	6615	0.5344451069831848	0.20070568	No	
row_7	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	7760	0.49836742877960205	0.18717048	No	
row_8	OXSR1	oxidative stress responsive kinase 1 [Source:HGNC Symbol;Acc:HGNC:8508]	8484	0.42330753803253174	0.1820805	No	
row_9	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:HGNC Symbol;Acc:HGNC:17955]	8982	0.37273818254470825	0.1811955	No	
row_10	SRXN1	sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]	9638	0.31538859009742737	0.17440662	No	
row_11	EGLN2	egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]	10053	0.2825974225997925	0.17277756	No	
row_12	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	10093	0.278994083404541	0.18069352	No	
row_13	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	11044	0.21145987510681152	0.16298223	No	
row_14	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	12274	0.12040162831544876	0.13517222	No	
row_15	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	12441	0.10544373095035553	0.13426743	No	
row_16	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	13046	0.06181258708238602	0.12068446	No	
row_17	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	13782	0.0048807584680616856	0.10190649	No	
row_18	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	15863	0.0	0.048324484	No	
row_19	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	26353	-0.013731507584452629	-0.2214392	No	
row_20	SCAF4	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	26852	-0.050759073346853256	-0.23264498	No	
row_21	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	27149	-0.07200963795185089	-0.23796767	No	
row_22	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	27555	-0.09276710450649261	-0.24543454	No	
row_23	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	28085	-0.12074536830186844	-0.25520116	No	
row_24	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	28462	-0.1377086490392685	-0.260484	No	
row_25	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	29860	-0.22685687243938446	-0.28921798	No	
row_26	GLRX2	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]	29916	-0.2320512980222702	-0.28321514	No	
