NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	35	3.980649948120117	0.036908858	Yes	
row_1	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	39	3.9496824741363525	0.07434977	Yes	
row_2	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	50	3.8717408180236816	0.11086957	Yes	
row_3	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	71	3.6319797039031982	0.14485367	Yes	
row_4	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	240	2.9179439544677734	0.16823386	Yes	
row_5	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	244	2.9105985164642334	0.19580442	Yes	
row_6	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	246	2.900545835494995	0.22333112	Yes	
row_7	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	254	2.8426971435546875	0.25015342	Yes	
row_8	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	330	2.581235408782959	0.27273634	Yes	
row_9	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	374	2.4502854347229004	0.29490158	Yes	
row_10	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	676	2.289825677871704	0.30888128	Yes	
row_11	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	737	2.165992498397827	0.3279071	Yes	
row_12	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	1009	1.840549111366272	0.33839363	Yes	
row_13	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	1031	1.814788579940796	0.35509026	Yes	
row_14	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	1121	1.7283916473388672	0.3692105	Yes	
row_15	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1422	1.547574520111084	0.3761653	Yes	
row_16	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1434	1.5419299602508545	0.39052823	Yes	
row_17	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	1444	1.5355747938156128	0.4048824	Yes	
row_18	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1806	1.3801733255386353	0.4086721	Yes	
row_19	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	2066	1.2532835006713867	0.41388997	Yes	
row_20	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2126	1.2330058813095093	0.4240791	Yes	
row_21	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	2228	1.1966538429260254	0.43283847	Yes	
row_22	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	2509	1.0892032384872437	0.43595555	Yes	
row_23	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	2524	1.0872797966003418	0.44592223	Yes	
row_24	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	2648	1.055670976638794	0.4527744	Yes	
row_25	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	2706	1.0401383638381958	0.46118307	Yes	
row_26	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	2742	1.029447317123413	0.4700582	Yes	
row_27	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	2834	1.011884093284607	0.47732064	Yes	
row_28	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	2864	0.999273955821991	0.48606408	Yes	
row_29	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	2931	0.9808887839317322	0.49367756	Yes	
row_30	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	2947	0.9770675301551819	0.5025715	Yes	
row_31	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	2960	0.9743739366531372	0.51151735	Yes	
row_32	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	3048	0.9477678537368774	0.518274	Yes	
row_33	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	3205	0.9160419702529907	0.5229478	Yes	
row_34	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	3209	0.9144527912139893	0.5315568	Yes	
row_35	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	3473	0.8606638312339783	0.5329419	Yes	
row_36	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	3830	0.7816081047058105	0.53117484	Yes	
row_37	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	3966	0.7585752010345459	0.53489506	Yes	
row_38	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	4072	0.7375000715255737	0.5391896	Yes	
row_39	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	4146	0.7239941358566284	0.54418206	Yes	
row_40	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	4427	0.6822597980499268	0.5434336	Yes	
row_41	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	4449	0.677618682384491	0.54932815	Yes	
row_42	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	4609	0.6538515686988831	0.55143386	Yes	
row_43	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	4622	0.6527089476585388	0.5573242	Yes	
row_44	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	4882	0.6178017854690552	0.5565056	Yes	
row_45	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	4915	0.6135438084602356	0.56150746	Yes	
row_46	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	4935	0.6103398203849792	0.5668146	Yes	
row_47	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	5629	0.5608338713645935	0.55424935	No	
row_48	DUSP14	dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]	5771	0.545067310333252	0.5557865	No	
row_49	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	5979	0.5368697047233582	0.5555417	No	
row_50	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	6672	0.5303168296813965	0.5427124	No	
row_51	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	6706	0.5303168296813965	0.5468979	No	
row_52	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	6804	0.5303168296813965	0.54943097	No	
row_53	CPN1	carboxypeptidase N subunit 1 [Source:HGNC Symbol;Acc:HGNC:2312]	7173	0.5303168296813965	0.54496706	No	
row_54	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	7668	0.5087025165557861	0.53704464	No	
row_55	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	7752	0.4991050660610199	0.5396427	No	
